@relation TestInstances

@attribute room {stube,kueche,wcgross}
@attribute rss0 numeric
@attribute rss1 numeric
@attribute rss2 numeric
@attribute rss3 numeric
@attribute rss4 numeric
@attribute rss5 numeric
@attribute rss6 numeric
@attribute light numeric
@attribute pressure numeric

@data
stube,-58,-90,-90,-90,-85,-85,-85,2,959.062866
stube,-58,-90,-90,-90,-85,-85,-85,2,959.492676
stube,-58,-90,-90,-90,-85,-85,-85,2,959.492676
stube,-58,-90,-90,-90,-86,-86,-86,2,960.262207
stube,-58,-84,-89,-88,-88,-88,-88,2,959.422668
stube,-58,-84,-86,-88,-88,-88,-88,3,959.442688
stube,-62,-84,-85,-88,-88,-88,-88,3,959.922424
stube,-62,-88,-83,-85,-85,-85,-85,2,958.513184
stube,-62,-84,-83,-85,-85,-85,-85,3,959.922424
stube,-61,-82,-79,-85,-85,-85,-85,15,959.852417
stube,-61,-85,-83,-85,-85,-85,-85,2,959.862427
stube,-61,-78,-83,-85,-85,-85,-85,2,959.302734
stube,-61,-91,-91,-91,-91,-91,-91,1,959.302734
stube,-57,-91,-91,-91,-91,-91,-91,1,959.222778
stube,-57,-91,-91,-91,-85,-85,-85,1,959.3927
stube,-57,-91,-91,-91,-85,-85,-85,1,959.512634
stube,-57,-91,-91,-91,-85,-85,-85,1,959.212769
stube,-53,-91,-91,-91,-85,-85,-85,2,958.703064
stube,-53,-91,-85,-93,-85,-85,-85,10,959.512634
stube,-53,-85,-85,-84,-88,-88,-88,2,959.512634
stube,-53,-84,-84,-84,-88,-88,-88,2,959.482666
stube,-47,-84,-86,-86,-86,-86,-86,3,959.272766
stube,-47,-84,-86,-92,-92,-92,-92,3,959.572632
stube,-47,-83,-86,-92,-92,-92,-92,4,959.512634
stube,-47,-83,-86,-92,-92,-92,-92,4,959.482666
stube,-46,-83,-86,-92,-92,-92,-92,15,959.482666
stube,-46,-90,-86,-92,-92,-92,-92,14,959.042908
stube,-46,-82,-90,-92,-92,-92,-92,5,959.472656
stube,-46,-82,-90,-87,-86,-86,-86,3,959.562622
stube,-52,-88,-88,-88,-88,-88,-88,4,959.362732
stube,-52,-88,-88,-88,-88,-88,-88,2,959.41272
stube,-52,-88,-88,-88,-88,-88,-88,2,959.502625
stube,-52,-88,-86,-86,-86,-86,-86,3,959.442688
stube,-52,-88,-86,-86,-86,-86,-86,2,959.472656
stube,-52,-88,-90,-90,-90,-90,-90,2,959.482666
stube,-52,-89,-89,-89,-89,-89,-89,3,959.502625
stube,-52,-89,-89,-89,-89,-89,-89,3,959.352722
stube,-48,-93,-93,-93,-93,-93,-93,2,959.41272
stube,-48,-93,-93,-91,-91,-91,-91,2,959.832458
stube,-48,-93,-93,-91,-91,-91,-91,3,959.952393
stube,-48,-93,-93,-91,-91,-91,-91,6,959.172852
stube,-48,-93,-93,-91,-91,-91,-91,2,959.032898
stube,-48,-85,-85,-88,-88,-88,-88,10,959.372681
stube,-48,-80,-80,-88,-88,-88,-88,8,959.712524
stube,-48,-85,-85,-88,-88,-88,-88,22,959.41272
stube,-50,-85,-85,-88,-88,-88,-88,7,959.922424
