@relation TestInstances

@attribute room {stube,kueche,nicola,badgross,badklein,reduit,tobias,joel,gang}
@attribute rssValue0 numeric
@attribute rssValue1 numeric
@attribute rssValue2 numeric
@attribute rssValue3 numeric
@attribute rssValue4 numeric
@attribute rssValue5 numeric
@attribute rssValue6 numeric
@attribute rssValue7 numeric
@attribute mean numeric
@attribute rssVariance0 numeric
@attribute rssVariance1 numeric
@attribute rssVariance2 numeric
@attribute rssVariance3 numeric
@attribute rssVariance4 numeric
@attribute rssVariance5 numeric
@attribute rssVariance6 numeric
@attribute rssVariance7 numeric

@data
stube,0,12,36,36,36,36,36,36,28.5,28.5,16.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5
stube,0,17,39,39,39,39,39,39,31.375,31.375,14.375,-7.625,-7.625,-7.625,-7.625,-7.625,-7.625
stube,0,17,39,39,39,39,39,39,31.375,31.375,14.375,-7.625,-7.625,-7.625,-7.625,-7.625,-7.625
stube,0,17,39,39,39,39,39,39,31.375,31.375,14.375,-7.625,-7.625,-7.625,-7.625,-7.625,-7.625
stube,0,11,39,39,39,39,39,39,30.625,30.625,19.625,-8.375,-8.375,-8.375,-8.375,-8.375,-8.375
stube,0,12,36,36,36,36,36,36,28.5,28.5,16.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5
stube,0,4,32,32,32,32,32,32,24.5,24.5,20.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5
stube,0,8,32,32,32,32,32,32,25,25,17,-7,-7,-7,-7,-7,-7
stube,0,8,32,32,32,32,32,32,25,25,17,-7,-7,-7,-7,-7,-7
stube,0,9,32,32,32,32,32,32,25.125,25.125,16.125,-6.875,-6.875,-6.875,-6.875,-6.875,-6.875
stube,0,8,31,31,31,31,31,31,24.25,24.25,16.25,-6.75,-6.75,-6.75,-6.75,-6.75,-6.75
stube,0,8,31,31,31,31,31,31,24.25,24.25,16.25,-6.75,-6.75,-6.75,-6.75,-6.75,-6.75
stube,0,7,35,35,35,35,35,35,27.125,27.125,20.125,-7.875,-7.875,-7.875,-7.875,-7.875,-7.875
stube,0,5,28,28,28,28,28,28,21.625,21.625,16.625,-6.375,-6.375,-6.375,-6.375,-6.375,-6.375
stube,0,3,27,27,27,27,27,27,20.625,20.625,17.625,-6.375,-6.375,-6.375,-6.375,-6.375,-6.375
stube,0,8,27,27,27,27,27,27,21.25,21.25,13.25,-5.75,-5.75,-5.75,-5.75,-5.75,-5.75
stube,0,5,24,24,24,24,24,24,18.625,18.625,13.625,-5.375,-5.375,-5.375,-5.375,-5.375,-5.375
stube,0,9,26,26,26,26,26,26,20.625,20.625,11.625,-5.375,-5.375,-5.375,-5.375,-5.375,-5.375
stube,0,8,28,28,28,28,28,28,22,22,14,-6,-6,-6,-6,-6,-6
stube,0,15,28,28,28,28,28,28,22.875,22.875,7.875,-5.125,-5.125,-5.125,-5.125,-5.125,-5.125
stube,0,12,28,28,28,28,28,28,22.5,22.5,10.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5
stube,0,4,28,28,28,28,28,28,21.5,21.5,17.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5
stube,5,0,39,39,39,39,39,39,29.875,24.875,29.875,-9.125,-9.125,-9.125,-9.125,-9.125,-9.125
stube,1,0,35,35,35,35,35,35,26.375,25.375,26.375,-8.625,-8.625,-8.625,-8.625,-8.625,-8.625
stube,0,4,36,36,36,36,36,36,27.5,27.5,23.5,-8.5,-8.5,-8.5,-8.5,-8.5,-8.5
stube,0,1,33,33,33,33,33,33,24.875,24.875,23.875,-8.125,-8.125,-8.125,-8.125,-8.125,-8.125
stube,0,6,32,32,32,32,32,32,24.75,24.75,18.75,-7.25,-7.25,-7.25,-7.25,-7.25,-7.25
stube,0,6,32,32,32,32,32,32,24.75,24.75,18.75,-7.25,-7.25,-7.25,-7.25,-7.25,-7.25
stube,0,5,32,32,32,32,32,32,24.625,24.625,19.625,-7.375,-7.375,-7.375,-7.375,-7.375,-7.375
stube,0,15,38,38,38,38,38,38,30.375,30.375,15.375,-7.625,-7.625,-7.625,-7.625,-7.625,-7.625
stube,0,27,38,38,38,38,38,38,31.875,31.875,4.875,-6.125,-6.125,-6.125,-6.125,-6.125,-6.125
stube,0,25,38,38,38,38,38,38,31.625,31.625,6.625,-6.375,-6.375,-6.375,-6.375,-6.375,-6.375
stube,0,21,38,38,38,38,38,38,31.125,31.125,10.125,-6.875,-6.875,-6.875,-6.875,-6.875,-6.875
stube,0,18,39,39,39,39,39,39,31.5,31.5,13.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5
stube,0,17,44,44,44,44,44,44,35.125,35.125,18.125,-8.875,-8.875,-8.875,-8.875,-8.875,-8.875
stube,0,20,44,44,44,44,44,44,35.5,35.5,15.5,-8.5,-8.5,-8.5,-8.5,-8.5,-8.5
stube,0,22,47,47,47,47,47,47,38,38,16,-9,-9,-9,-9,-9,-9
stube,0,22,36,36,36,36,36,36,29.75,29.75,7.75,-6.25,-6.25,-6.25,-6.25,-6.25,-6.25
stube,0,16,31,31,31,31,31,31,25.25,25.25,9.25,-5.75,-5.75,-5.75,-5.75,-5.75,-5.75
stube,0,11,31,31,31,31,31,31,24.625,24.625,13.625,-6.375,-6.375,-6.375,-6.375,-6.375,-6.375
stube,0,12,38,38,38,38,38,38,30,30,18,-8,-8,-8,-8,-8,-8
stube,0,9,41,41,41,41,41,41,31.875,31.875,22.875,-9.125,-9.125,-9.125,-9.125,-9.125,-9.125
stube,0,15,37,37,37,37,37,37,29.625,29.625,14.625,-7.375,-7.375,-7.375,-7.375,-7.375,-7.375
stube,0,13,37,37,37,37,37,37,29.375,29.375,16.375,-7.625,-7.625,-7.625,-7.625,-7.625,-7.625
stube,0,19,40,40,40,40,40,40,32.375,32.375,13.375,-7.625,-7.625,-7.625,-7.625,-7.625,-7.625
kueche,0,16,34,34,34,34,34,34,27.5,27.5,11.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5
kueche,0,14,34,34,34,34,34,34,27.25,27.25,13.25,-6.75,-6.75,-6.75,-6.75,-6.75,-6.75
kueche,0,9,36,36,36,36,36,36,28.125,28.125,19.125,-7.875,-7.875,-7.875,-7.875,-7.875,-7.875
kueche,0,13,36,36,36,36,36,36,28.625,28.625,15.625,-7.375,-7.375,-7.375,-7.375,-7.375,-7.375
kueche,0,14,36,36,36,36,36,36,28.75,28.75,14.75,-7.25,-7.25,-7.25,-7.25,-7.25,-7.25
kueche,0,13,36,36,36,36,36,36,28.625,28.625,15.625,-7.375,-7.375,-7.375,-7.375,-7.375,-7.375
kueche,0,14,37,37,37,37,37,37,29.5,29.5,15.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5
kueche,0,14,37,37,37,37,37,37,29.5,29.5,15.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5
kueche,0,15,36,36,36,36,36,36,28.875,28.875,13.875,-7.125,-7.125,-7.125,-7.125,-7.125,-7.125
kueche,0,11,36,36,36,36,36,36,28.375,28.375,17.375,-7.625,-7.625,-7.625,-7.625,-7.625,-7.625
kueche,0,14,35,35,35,35,35,35,28,28,14,-7,-7,-7,-7,-7,-7
kueche,0,17,35,35,35,35,35,35,28.375,28.375,11.375,-6.625,-6.625,-6.625,-6.625,-6.625,-6.625
kueche,0,12,35,35,35,35,35,35,27.75,27.75,15.75,-7.25,-7.25,-7.25,-7.25,-7.25,-7.25
kueche,0,12,35,35,35,35,35,35,27.75,27.75,15.75,-7.25,-7.25,-7.25,-7.25,-7.25,-7.25
kueche,0,10,33,33,33,33,33,33,26,26,16,-7,-7,-7,-7,-7,-7
kueche,0,21,33,33,33,33,33,33,27.375,27.375,6.375,-5.625,-5.625,-5.625,-5.625,-5.625,-5.625
kueche,0,16,33,33,33,33,33,33,26.75,26.75,10.75,-6.25,-6.25,-6.25,-6.25,-6.25,-6.25
kueche,0,15,36,36,36,36,36,36,28.875,28.875,13.875,-7.125,-7.125,-7.125,-7.125,-7.125,-7.125
kueche,0,14,37,37,37,37,37,37,29.5,29.5,15.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5
kueche,0,7,37,37,37,37,37,37,28.625,28.625,21.625,-8.375,-8.375,-8.375,-8.375,-8.375,-8.375
kueche,0,10,28,28,28,28,28,28,22.25,22.25,12.25,-5.75,-5.75,-5.75,-5.75,-5.75,-5.75
kueche,0,15,38,38,38,38,38,38,30.375,30.375,15.375,-7.625,-7.625,-7.625,-7.625,-7.625,-7.625
kueche,0,13,34,34,34,34,34,34,27.125,27.125,14.125,-6.875,-6.875,-6.875,-6.875,-6.875,-6.875
kueche,0,17,34,34,34,34,34,34,27.625,27.625,10.625,-6.375,-6.375,-6.375,-6.375,-6.375,-6.375
kueche,0,15,34,34,34,34,34,34,27.375,27.375,12.375,-6.625,-6.625,-6.625,-6.625,-6.625,-6.625
kueche,0,12,35,35,35,35,35,35,27.75,27.75,15.75,-7.25,-7.25,-7.25,-7.25,-7.25,-7.25
kueche,0,11,37,37,37,37,37,37,29.125,29.125,18.125,-7.875,-7.875,-7.875,-7.875,-7.875,-7.875
kueche,0,6,35,35,35,35,35,35,27,27,21,-8,-8,-8,-8,-8,-8
kueche,0,10,35,35,35,35,35,35,27.5,27.5,17.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5
kueche,0,17,35,35,35,35,35,35,28.375,28.375,11.375,-6.625,-6.625,-6.625,-6.625,-6.625,-6.625
kueche,0,12,35,35,35,35,35,35,27.75,27.75,15.75,-7.25,-7.25,-7.25,-7.25,-7.25,-7.25
kueche,0,12,35,35,35,35,35,35,27.75,27.75,15.75,-7.25,-7.25,-7.25,-7.25,-7.25,-7.25
kueche,0,22,39,39,39,39,39,39,32,32,10,-7,-7,-7,-7,-7,-7
nicola,0,23,37,37,37,37,37,37,30.625,30.625,7.625,-6.375,-6.375,-6.375,-6.375,-6.375,-6.375
nicola,0,23,37,37,37,37,37,37,30.625,30.625,7.625,-6.375,-6.375,-6.375,-6.375,-6.375,-6.375
nicola,0,17,33,33,33,33,33,33,26.875,26.875,9.875,-6.125,-6.125,-6.125,-6.125,-6.125,-6.125
nicola,0,23,33,33,33,33,33,33,27.625,27.625,4.625,-5.375,-5.375,-5.375,-5.375,-5.375,-5.375
nicola,0,19,33,33,33,33,33,33,27.125,27.125,8.125,-5.875,-5.875,-5.875,-5.875,-5.875,-5.875
nicola,0,20,33,33,33,33,33,33,27.25,27.25,7.25,-5.75,-5.75,-5.75,-5.75,-5.75,-5.75
nicola,0,14,14,31,31,31,31,31,22.875,22.875,8.875,8.875,-8.125,-8.125,-8.125,-8.125,-8.125
nicola,0,14,14,23,23,23,23,23,17.875,17.875,3.875,3.875,-5.125,-5.125,-5.125,-5.125,-5.125
nicola,0,11,32,32,32,32,32,32,25.375,25.375,14.375,-6.625,-6.625,-6.625,-6.625,-6.625,-6.625
nicola,0,13,32,32,32,32,32,32,25.625,25.625,12.625,-6.375,-6.375,-6.375,-6.375,-6.375,-6.375
nicola,0,18,32,32,32,32,32,32,26.25,26.25,8.25,-5.75,-5.75,-5.75,-5.75,-5.75,-5.75
nicola,0,17,32,32,32,32,32,32,26.125,26.125,9.125,-5.875,-5.875,-5.875,-5.875,-5.875,-5.875
nicola,0,13,32,32,32,32,32,32,25.625,25.625,12.625,-6.375,-6.375,-6.375,-6.375,-6.375,-6.375
nicola,0,10,33,33,33,33,33,33,26,26,16,-7,-7,-7,-7,-7,-7
nicola,0,15,15,27,27,27,27,27,20.625,20.625,5.625,5.625,-6.375,-6.375,-6.375,-6.375,-6.375
nicola,0,17,17,26,26,26,26,26,20.5,20.5,3.5,3.5,-5.5,-5.5,-5.5,-5.5,-5.5
nicola,0,15,34,34,34,34,34,34,27.375,27.375,12.375,-6.625,-6.625,-6.625,-6.625,-6.625,-6.625
nicola,0,15,34,34,34,34,34,34,27.375,27.375,12.375,-6.625,-6.625,-6.625,-6.625,-6.625,-6.625
nicola,0,19,34,34,34,34,34,34,27.875,27.875,8.875,-6.125,-6.125,-6.125,-6.125,-6.125,-6.125
nicola,0,23,34,34,34,34,34,34,28.375,28.375,5.375,-5.625,-5.625,-5.625,-5.625,-5.625,-5.625
nicola,0,19,32,32,32,32,32,32,26.375,26.375,7.375,-5.625,-5.625,-5.625,-5.625,-5.625,-5.625
nicola,0,22,32,32,32,32,32,32,26.75,26.75,4.75,-5.25,-5.25,-5.25,-5.25,-5.25,-5.25
nicola,0,19,19,32,32,32,32,32,24.75,24.75,5.75,5.75,-7.25,-7.25,-7.25,-7.25,-7.25
nicola,0,17,17,32,32,32,32,32,24.25,24.25,7.25,7.25,-7.75,-7.75,-7.75,-7.75,-7.75
nicola,0,16,16,33,33,33,33,33,24.625,24.625,8.625,8.625,-8.375,-8.375,-8.375,-8.375,-8.375
nicola,0,26,26,33,33,33,33,33,27.125,27.125,1.125,1.125,-5.875,-5.875,-5.875,-5.875,-5.875
nicola,0,21,21,33,33,33,33,33,25.875,25.875,4.875,4.875,-7.125,-7.125,-7.125,-7.125,-7.125
nicola,0,22,22,33,33,33,33,33,26.125,26.125,4.125,4.125,-6.875,-6.875,-6.875,-6.875,-6.875
nicola,0,21,21,32,32,32,32,32,25.25,25.25,4.25,4.25,-6.75,-6.75,-6.75,-6.75,-6.75
nicola,0,22,32,32,32,32,32,32,26.75,26.75,4.75,-5.25,-5.25,-5.25,-5.25,-5.25,-5.25
nicola,0,19,32,32,32,32,32,32,26.375,26.375,7.375,-5.625,-5.625,-5.625,-5.625,-5.625,-5.625
nicola,0,19,32,32,32,32,32,32,26.375,26.375,7.375,-5.625,-5.625,-5.625,-5.625,-5.625,-5.625
nicola,0,22,31,31,31,31,31,31,26,26,4,-5,-5,-5,-5,-5,-5
nicola,0,21,31,23,23,23,23,23,20.875,20.875,-0.125,-10.125,-2.125,-2.125,-2.125,-2.125,-2.125
nicola,0,17,31,23,23,23,23,23,20.375,20.375,3.375,-10.625,-2.625,-2.625,-2.625,-2.625,-2.625
nicola,0,17,31,23,23,23,23,23,20.375,20.375,3.375,-10.625,-2.625,-2.625,-2.625,-2.625,-2.625
nicola,0,13,31,23,23,23,23,23,19.875,19.875,6.875,-11.125,-3.125,-3.125,-3.125,-3.125,-3.125
badgross,0,18,32,32,32,32,32,32,26.25,26.25,8.25,-5.75,-5.75,-5.75,-5.75,-5.75,-5.75
badgross,0,19,32,32,32,32,32,32,26.375,26.375,7.375,-5.625,-5.625,-5.625,-5.625,-5.625,-5.625
badgross,0,15,32,32,32,32,32,32,25.875,25.875,10.875,-6.125,-6.125,-6.125,-6.125,-6.125,-6.125
badgross,0,25,34,34,34,34,34,34,28.625,28.625,3.625,-5.375,-5.375,-5.375,-5.375,-5.375,-5.375
badgross,0,25,25,32,32,32,32,32,26.25,26.25,1.25,1.25,-5.75,-5.75,-5.75,-5.75,-5.75
badgross,0,25,25,32,32,32,32,32,26.25,26.25,1.25,1.25,-5.75,-5.75,-5.75,-5.75,-5.75
badgross,0,25,25,32,32,32,32,32,26.25,26.25,1.25,1.25,-5.75,-5.75,-5.75,-5.75,-5.75
badgross,0,29,29,35,35,35,35,35,29.125,29.125,0.125,0.125,-5.875,-5.875,-5.875,-5.875,-5.875
badgross,0,18,18,32,32,32,32,32,24.5,24.5,6.5,6.5,-7.5,-7.5,-7.5,-7.5,-7.5
badgross,0,15,15,26,26,26,26,26,20,20,5,5,-6,-6,-6,-6,-6
