@relation TestInstances

@attribute room {stube,kueche,badgross,badklein,gang}
@attribute rssValue0 numeric
@attribute rssValue1 numeric
@attribute rssValue2 numeric
@attribute rssValue3 numeric
@attribute rssValue4 numeric
@attribute rssValue5 numeric
@attribute rssValue6 numeric
@attribute rssValue7 numeric
@attribute mean numeric
@attribute rssVariance0 numeric
@attribute rssVariance1 numeric
@attribute rssVariance2 numeric
@attribute rssVariance3 numeric
@attribute rssVariance4 numeric
@attribute rssVariance5 numeric
@attribute rssVariance6 numeric
@attribute rssVariance7 numeric

@data
stube,60,67,82,82,82,0,0,0,46.625,-13.375,-20.375,-35.375,-35.375,-35.375,46.625,46.625,46.625
stube,60,66,90,90,90,0,0,0,49.5,-10.5,-16.5,-40.5,-40.5,-40.5,49.5,49.5,49.5
stube,57,66,85,85,85,0,0,0,47.25,-9.75,-18.75,-37.75,-37.75,-37.75,47.25,47.25,47.25
stube,57,66,89,89,89,0,0,0,48.75,-8.25,-17.25,-40.25,-40.25,-40.25,48.75,48.75,48.75
stube,57,64,91,91,91,0,0,0,49.25,-7.75,-14.75,-41.75,-41.75,-41.75,49.25,49.25,49.25
stube,57,64,86,86,86,0,0,0,47.375,-9.625,-16.625,-38.625,-38.625,-38.625,47.375,47.375,47.375
stube,57,63,88,88,88,0,0,0,48,-9,-15,-40,-40,-40,48,48,48
stube,57,60,86,86,86,0,0,0,46.875,-10.125,-13.125,-39.125,-39.125,-39.125,46.875,46.875,46.875
stube,57,60,89,89,89,0,0,0,48,-9,-12,-41,-41,-41,48,48,48
stube,57,56,89,89,89,0,0,0,47.5,-9.5,-8.5,-41.5,-41.5,-41.5,47.5,47.5,47.5
stube,57,63,88,88,88,0,0,0,48,-9,-15,-40,-40,-40,48,48,48
stube,57,60,88,88,88,0,0,0,47.625,-9.375,-12.375,-40.375,-40.375,-40.375,47.625,47.625,47.625
stube,52,66,90,90,90,0,0,0,48.5,-3.5,-17.5,-41.5,-41.5,-41.5,48.5,48.5,48.5
stube,52,66,90,90,90,0,0,0,48.5,-3.5,-17.5,-41.5,-41.5,-41.5,48.5,48.5,48.5
stube,52,62,90,90,90,0,0,0,48,-4,-14,-42,-42,-42,48,48,48
stube,52,65,90,90,90,0,0,0,48.375,-3.625,-16.625,-41.625,-41.625,-41.625,48.375,48.375,48.375
stube,50,64,90,90,90,0,0,0,48,-2,-16,-42,-42,-42,48,48,48
stube,50,61,87,87,87,0,0,0,46.5,-3.5,-14.5,-40.5,-40.5,-40.5,46.5,46.5,46.5
stube,50,55,87,87,87,0,0,0,45.75,-4.25,-9.25,-41.25,-41.25,-41.25,45.75,45.75,45.75
stube,50,63,87,87,87,0,0,0,46.75,-3.25,-16.25,-40.25,-40.25,-40.25,46.75,46.75,46.75
stube,50,68,87,87,87,0,0,0,47.375,-2.625,-20.625,-39.625,-39.625,-39.625,47.375,47.375,47.375
stube,50,67,91,91,91,0,0,0,48.75,-1.25,-18.25,-42.25,-42.25,-42.25,48.75,48.75,48.75
stube,50,77,91,91,91,0,0,0,50,0,-27,-41,-41,-41,50,50,50
stube,50,69,86,86,86,0,0,0,47.125,-2.875,-21.875,-38.875,-38.875,-38.875,47.125,47.125,47.125
stube,54,67,86,86,86,0,0,0,47.375,-6.625,-19.625,-38.625,-38.625,-38.625,47.375,47.375,47.375
stube,54,68,86,86,86,0,0,0,47.5,-6.5,-20.5,-38.5,-38.5,-38.5,47.5,47.5,47.5
stube,54,64,86,86,86,0,0,0,47,-7,-17,-39,-39,-39,47,47,47
stube,54,67,86,86,86,0,0,0,47.375,-6.625,-19.625,-38.625,-38.625,-38.625,47.375,47.375,47.375
stube,51,67,89,89,89,0,0,0,48.125,-2.875,-18.875,-40.875,-40.875,-40.875,48.125,48.125,48.125
stube,51,66,91,91,91,0,0,0,48.75,-2.25,-17.25,-42.25,-42.25,-42.25,48.75,48.75,48.75
stube,51,64,91,91,91,0,0,0,48.5,-2.5,-15.5,-42.5,-42.5,-42.5,48.5,48.5,48.5
stube,51,62,88,88,88,0,0,0,47.125,-3.875,-14.875,-40.875,-40.875,-40.875,47.125,47.125,47.125
stube,52,62,88,88,88,0,0,0,47.25,-4.75,-14.75,-40.75,-40.75,-40.75,47.25,47.25,47.25
stube,52,60,89,89,89,0,0,0,47.375,-4.625,-12.625,-41.625,-41.625,-41.625,47.375,47.375,47.375
stube,52,63,89,89,89,0,0,0,47.75,-4.25,-15.25,-41.25,-41.25,-41.25,47.75,47.75,47.75
stube,48,67,89,89,89,0,0,0,47.75,-0.25,-19.25,-41.25,-41.25,-41.25,47.75,47.75,47.75
