@relation TestInstances

@attribute room {kueche,stube,nicola,gang}
@attribute rssValue0 numeric
@attribute rssValue1 numeric
@attribute rssValue2 numeric
@attribute rssValue3 numeric
@attribute rssValue4 numeric
@attribute rssValue5 numeric
@attribute rssValue6 numeric
@attribute rssValue7 numeric
@attribute mean numeric
@attribute rssVariance0 numeric
@attribute rssVariance1 numeric
@attribute rssVariance2 numeric
@attribute rssVariance3 numeric
@attribute rssVariance4 numeric
@attribute rssVariance5 numeric
@attribute rssVariance6 numeric
@attribute rssVariance7 numeric
@attribute magneticY numeric
@attribute magneticZ numeric

@data
kueche,0,-10,-32,-32,-32,-32,-32,-32,-25.25,-25.25,-15.25,6.75,6.75,6.75,6.75,6.75,6.75,18.667393,-34.763062
kueche,0,-19,-33,-33,-33,-33,-33,-33,-27.125,-27.125,-8.125,5.875,5.875,5.875,5.875,5.875,5.875,17.208591,-33.957169
kueche,0,-11,-33,-33,-33,-33,-33,-33,-26.125,-26.125,-15.125,6.875,6.875,6.875,6.875,6.875,6.875,17.821964,-34.274525
kueche,0,-12,-33,-33,-33,-33,-33,-33,-26.25,-26.25,-14.25,6.75,6.75,6.75,6.75,6.75,6.75,18.128323,-34.761181
kueche,0,-17,-33,-33,-33,-33,-33,-33,-26.875,-26.875,-9.875,6.125,6.125,6.125,6.125,6.125,6.125,18.901577,-36.639713
kueche,0,-18,-38,-38,-38,-38,-38,-38,-30.75,-30.75,-12.75,7.25,7.25,7.25,7.25,7.25,7.25,19.014036,-36.54702
kueche,0,-11,-11,-30,-30,-30,-30,-30,-21.5,-21.5,-10.5,-10.5,8.5,8.5,8.5,8.5,8.5,19.166672,-38.684151
kueche,0,-11,-11,-30,-30,-30,-30,-30,-21.5,-21.5,-10.5,-10.5,8.5,8.5,8.5,8.5,8.5,19.10083,-38.569641
kueche,0,-8,-8,-27,-27,-27,-27,-27,-18.875,-18.875,-10.875,-10.875,8.125,8.125,8.125,8.125,8.125,18.011972,-38.464661
kueche,0,-12,-12,-30,-30,-30,-30,-30,-21.75,-21.75,-9.75,-9.75,8.25,8.25,8.25,8.25,8.25,17.535666,-39.689278
kueche,0,-13,-39,-39,-39,-39,-39,-39,-30.875,-30.875,-17.875,8.125,8.125,8.125,8.125,8.125,8.125,17.243446,-40.646523
kueche,0,-13,-39,-39,-39,-39,-39,-39,-30.875,-30.875,-17.875,8.125,8.125,8.125,8.125,8.125,8.125,16.467497,-42.741562
kueche,0,-13,-39,-39,-39,-39,-39,-39,-30.875,-30.875,-17.875,8.125,8.125,8.125,8.125,8.125,8.125,15.099686,-42.317535
kueche,0,-16,-36,-36,-36,-36,-36,-36,-29,-29,-13,7,7,7,7,7,7,14.21897,-41.374969
kueche,0,-12,-33,-33,-33,-33,-33,-33,-26.25,-26.25,-14.25,6.75,6.75,6.75,6.75,6.75,6.75,15.273501,-40.349392
kueche,0,-7,-33,-33,-33,-33,-33,-33,-25.625,-25.625,-18.625,7.375,7.375,7.375,7.375,7.375,7.375,18.131777,-38.551662
kueche,0,-12,-33,-33,-33,-33,-33,-33,-26.25,-26.25,-14.25,6.75,6.75,6.75,6.75,6.75,6.75,16.633738,-38.513493
kueche,0,-10,-33,-33,-33,-33,-33,-33,-26,-26,-16,7,7,7,7,7,7,13.200102,-38.089474
kueche,0,-10,-33,-33,-33,-33,-33,-33,-26,-26,-16,7,7,7,7,7,7,14.192038,-39.255951
kueche,0,-8,-34,-34,-34,-34,-34,-34,-26.5,-26.5,-18.5,7.5,7.5,7.5,7.5,7.5,7.5,20.643532,-38.282791
kueche,0,-13,-34,-34,-34,-34,-34,-34,-27.125,-27.125,-14.125,6.875,6.875,6.875,6.875,6.875,6.875,22.181112,-39.331379
kueche,0,-11,-35,-35,-35,-35,-35,-35,-27.625,-27.625,-16.625,7.375,7.375,7.375,7.375,7.375,7.375,17.827913,-38.39283
kueche,0,-16,-40,-40,-40,-40,-40,-40,-32,-32,-16,8,8,8,8,8,8,30.202213,-48.604519
kueche,0,-23,-40,-40,-40,-40,-40,-40,-32.875,-32.875,-9.875,7.125,7.125,7.125,7.125,7.125,7.125,10.97803,-48.320801
kueche,0,-23,-36,-36,-36,-36,-36,-36,-29.875,-29.875,-6.875,6.125,6.125,6.125,6.125,6.125,6.125,15.395682,-36.160645
kueche,0,-11,-32,-32,-32,-32,-32,-32,-25.375,-25.375,-14.375,6.625,6.625,6.625,6.625,6.625,6.625,24.070667,-37.285927
kueche,0,-6,-32,-32,-32,-32,-32,-32,-24.75,-24.75,-18.75,7.25,7.25,7.25,7.25,7.25,7.25,20.283804,-37.987785
kueche,0,-9,-32,-32,-32,-32,-32,-32,-25.125,-25.125,-16.125,6.875,6.875,6.875,6.875,6.875,6.875,19.48752,-39.545025
kueche,0,-13,-32,-32,-32,-32,-32,-32,-25.625,-25.625,-12.625,6.375,6.375,6.375,6.375,6.375,6.375,22.722025,-36.21497
kueche,0,-10,-32,-32,-32,-32,-32,-32,-25.25,-25.25,-15.25,6.75,6.75,6.75,6.75,6.75,6.75,22.133167,-41.978676
kueche,0,-13,-30,-30,-30,-30,-30,-30,-24.125,-24.125,-11.125,5.875,5.875,5.875,5.875,5.875,5.875,26.104275,-37.885139
kueche,0,-11,-30,-30,-30,-30,-30,-30,-23.875,-23.875,-12.875,6.125,6.125,6.125,6.125,6.125,6.125,20.640862,-35.652901
kueche,0,-14,-30,-30,-30,-30,-30,-30,-24.25,-24.25,-10.25,5.75,5.75,5.75,5.75,5.75,5.75,21.589834,-38.235336
