@relation TestInstances

@attribute room {307,bathroom,corridor}
@attribute magneticY numeric
@attribute magneticZ numeric
@attribute rssValue0 numeric
@attribute rssValue1 numeric
@attribute rssValue2 numeric
@attribute rssValue3 numeric
@attribute rssValue4 numeric
@attribute rssValue5 numeric
@attribute rssValue6 numeric
@attribute rssValue7 numeric
@attribute mean numeric
@attribute rssVariance0 numeric
@attribute rssVariance1 numeric
@attribute rssVariance2 numeric
@attribute rssVariance3 numeric
@attribute rssVariance4 numeric
@attribute rssVariance5 numeric
@attribute rssVariance6 numeric
@attribute rssVariance7 numeric

@data
307,19.7,-25.5,-60,-68,-68,-68,-68,-62,-83,-58,-66.875,-6.875,1.125,1.125,1.125,1.125,-4.875,16.125,-8.875
307,20.5,-25,-60,-68,-68,-68,-68,-62,-83,-58,-66.875,-6.875,1.125,1.125,1.125,1.125,-4.875,16.125,-8.875
307,21.4,-24.2,-60,-68,-68,-68,-68,-62,-83,-58,-66.875,-6.875,1.125,1.125,1.125,1.125,-4.875,16.125,-8.875
307,21.9,-23.6,-60,-68,-68,-68,-68,-62,-83,-58,-66.875,-6.875,1.125,1.125,1.125,1.125,-4.875,16.125,-8.875
307,21.9,-23.6,-60,-68,-68,-68,-68,-64,-83,-58,-67.125,-7.125,0.875,0.875,0.875,0.875,-3.125,15.875,-9.125
307,22.6,-23.2,-60,-68,-68,-68,-68,-64,-83,-58,-67.125,-7.125,0.875,0.875,0.875,0.875,-3.125,15.875,-9.125
307,22.3,-23.5,-60,-68,-68,-68,-68,-64,-83,-58,-67.125,-7.125,0.875,0.875,0.875,0.875,-3.125,15.875,-9.125
307,20.6,-25.4,-60,-68,-68,-68,-68,-64,-83,-58,-67.125,-7.125,0.875,0.875,0.875,0.875,-3.125,15.875,-9.125
307,20.6,-25.4,-60,-63,-63,-63,-63,-63,-83,-63,-65.125,-5.125,-2.125,-2.125,-2.125,-2.125,-2.125,17.875,-2.125
307,18.4,-27.1,-60,-63,-63,-63,-63,-63,-83,-63,-65.125,-5.125,-2.125,-2.125,-2.125,-2.125,-2.125,17.875,-2.125
307,16.2,-29.1,-60,-63,-63,-63,-63,-63,-83,-63,-65.125,-5.125,-2.125,-2.125,-2.125,-2.125,-2.125,17.875,-2.125
307,18.2,-28,-60,-63,-63,-63,-63,-63,-83,-63,-65.125,-5.125,-2.125,-2.125,-2.125,-2.125,-2.125,17.875,-2.125
307,20.4,-26.3,-60,-63,-63,-63,-63,-63,-83,-63,-65.125,-5.125,-2.125,-2.125,-2.125,-2.125,-2.125,17.875,-2.125
307,20.5,-26.2,-60,-63,-63,-63,-63,-63,-83,-63,-65.125,-5.125,-2.125,-2.125,-2.125,-2.125,-2.125,17.875,-2.125
307,20.5,-26.2,-61,-59,-59,-59,-59,-66,-83,-65,-63.875,-2.875,-4.875,-4.875,-4.875,-4.875,2.125,19.125,1.125
307,20.5,-26,-61,-59,-59,-59,-59,-66,-83,-65,-63.875,-2.875,-4.875,-4.875,-4.875,-4.875,2.125,19.125,1.125
307,20,-26.3,-61,-59,-59,-59,-59,-66,-83,-65,-63.875,-2.875,-4.875,-4.875,-4.875,-4.875,2.125,19.125,1.125
307,19.8,-26.3,-61,-59,-59,-59,-59,-66,-83,-65,-63.875,-2.875,-4.875,-4.875,-4.875,-4.875,2.125,19.125,1.125
307,20,-26.1,-61,-59,-59,-59,-59,-66,-83,-65,-63.875,-2.875,-4.875,-4.875,-4.875,-4.875,2.125,19.125,1.125
307,20.6,-25.4,-61,-59,-59,-59,-59,-66,-83,-65,-63.875,-2.875,-4.875,-4.875,-4.875,-4.875,2.125,19.125,1.125
307,17.2,-29.2,-64,-56,-56,-56,-56,-66,-83,-58,-61.875,2.125,-5.875,-5.875,-5.875,-5.875,4.125,21.125,-3.875
307,16.6,-29.5,-64,-56,-56,-56,-56,-66,-83,-58,-61.875,2.125,-5.875,-5.875,-5.875,-5.875,4.125,21.125,-3.875
307,16.8,-29.2,-64,-56,-56,-56,-56,-66,-83,-58,-61.875,2.125,-5.875,-5.875,-5.875,-5.875,4.125,21.125,-3.875
307,16.6,-28.8,-64,-56,-56,-56,-56,-66,-83,-58,-61.875,2.125,-5.875,-5.875,-5.875,-5.875,4.125,21.125,-3.875
307,17.2,-28.6,-64,-56,-56,-56,-56,-66,-83,-58,-61.875,2.125,-5.875,-5.875,-5.875,-5.875,4.125,21.125,-3.875
307,17.2,-28.6,-64,-58,-58,-58,-58,-71,-78,-58,-62.875,1.125,-4.875,-4.875,-4.875,-4.875,8.125,15.125,-4.875
307,18.4,-27.2,-64,-58,-58,-58,-58,-71,-78,-58,-62.875,1.125,-4.875,-4.875,-4.875,-4.875,8.125,15.125,-4.875
307,19.2,-25.9,-64,-58,-58,-58,-58,-71,-78,-58,-62.875,1.125,-4.875,-4.875,-4.875,-4.875,8.125,15.125,-4.875
307,21.6,-22.1,-64,-58,-58,-58,-58,-71,-78,-58,-62.875,1.125,-4.875,-4.875,-4.875,-4.875,8.125,15.125,-4.875
307,22.8,-20,-64,-58,-58,-58,-58,-71,-78,-58,-62.875,1.125,-4.875,-4.875,-4.875,-4.875,8.125,15.125,-4.875
307,22.1,-20.3,-64,-58,-58,-58,-58,-71,-78,-58,-62.875,1.125,-4.875,-4.875,-4.875,-4.875,8.125,15.125,-4.875
307,22.1,-20.3,-66,-62,-62,-62,-62,-66,-78,-58,-64.5,1.5,-2.5,-2.5,-2.5,-2.5,1.5,13.5,-6.5
307,21.8,-21.1,-66,-62,-62,-62,-62,-66,-78,-58,-64.5,1.5,-2.5,-2.5,-2.5,-2.5,1.5,13.5,-6.5
307,20.2,-23.5,-66,-62,-62,-62,-62,-66,-78,-58,-64.5,1.5,-2.5,-2.5,-2.5,-2.5,1.5,13.5,-6.5
307,18.5,-25.7,-66,-62,-62,-62,-62,-66,-78,-58,-64.5,1.5,-2.5,-2.5,-2.5,-2.5,1.5,13.5,-6.5
307,17.3,-27.4,-66,-62,-62,-62,-62,-66,-78,-58,-64.5,1.5,-2.5,-2.5,-2.5,-2.5,1.5,13.5,-6.5
307,17.5,-28.4,-66,-62,-62,-62,-62,-66,-78,-58,-64.5,1.5,-2.5,-2.5,-2.5,-2.5,1.5,13.5,-6.5
307,17.5,-28.4,-70,-54,-54,-54,-54,-63,-78,-64,-61.375,8.625,-7.375,-7.375,-7.375,-7.375,1.625,16.625,2.625
307,17.1,-29.2,-70,-54,-54,-54,-54,-63,-78,-64,-61.375,8.625,-7.375,-7.375,-7.375,-7.375,1.625,16.625,2.625
307,16.5,-30.2,-70,-54,-54,-54,-54,-63,-78,-64,-61.375,8.625,-7.375,-7.375,-7.375,-7.375,1.625,16.625,2.625
307,16.3,-30.6,-70,-54,-54,-54,-54,-63,-78,-64,-61.375,8.625,-7.375,-7.375,-7.375,-7.375,1.625,16.625,2.625
307,16.6,-30.4,-70,-54,-54,-54,-54,-63,-78,-64,-61.375,8.625,-7.375,-7.375,-7.375,-7.375,1.625,16.625,2.625
307,18.7,-29,-70,-54,-54,-54,-54,-63,-78,-64,-61.375,8.625,-7.375,-7.375,-7.375,-7.375,1.625,16.625,2.625
307,18.7,-29,-69,-54,-54,-54,-54,-64,-78,-62,-61.125,7.875,-7.125,-7.125,-7.125,-7.125,2.875,16.875,0.875
307,20.8,-27.3,-69,-54,-54,-54,-54,-64,-78,-62,-61.125,7.875,-7.125,-7.125,-7.125,-7.125,2.875,16.875,0.875
307,20.9,-26.1,-69,-54,-54,-54,-54,-64,-78,-62,-61.125,7.875,-7.125,-7.125,-7.125,-7.125,2.875,16.875,0.875
307,20.3,-25.9,-69,-54,-54,-54,-54,-64,-78,-62,-61.125,7.875,-7.125,-7.125,-7.125,-7.125,2.875,16.875,0.875
307,18.3,-26.8,-69,-54,-54,-54,-54,-64,-78,-62,-61.125,7.875,-7.125,-7.125,-7.125,-7.125,2.875,16.875,0.875
307,19.9,-25.3,-69,-54,-54,-54,-54,-64,-78,-62,-61.125,7.875,-7.125,-7.125,-7.125,-7.125,2.875,16.875,0.875
307,19.9,-25.3,-65,-59,-59,-59,-59,-61,-73,-73,-63.5,1.5,-4.5,-4.5,-4.5,-4.5,-2.5,9.5,9.5
307,19.4,-25.6,-65,-59,-59,-59,-59,-61,-73,-73,-63.5,1.5,-4.5,-4.5,-4.5,-4.5,-2.5,9.5,9.5
307,15.6,-27.9,-65,-59,-59,-59,-59,-61,-73,-73,-63.5,1.5,-4.5,-4.5,-4.5,-4.5,-2.5,9.5,9.5
307,15.8,-27.8,-65,-59,-59,-59,-59,-61,-73,-73,-63.5,1.5,-4.5,-4.5,-4.5,-4.5,-2.5,9.5,9.5
307,19.9,-24.8,-65,-59,-59,-59,-59,-61,-73,-73,-63.5,1.5,-4.5,-4.5,-4.5,-4.5,-2.5,9.5,9.5
307,21.5,-23.1,-65,-59,-59,-59,-59,-61,-73,-73,-63.5,1.5,-4.5,-4.5,-4.5,-4.5,-2.5,9.5,9.5
307,21.5,-23.1,-70,-61,-61,-61,-61,-64,-73,-73,-65.5,4.5,-4.5,-4.5,-4.5,-4.5,-1.5,7.5,7.5
307,21.1,-23,-70,-61,-61,-61,-61,-64,-73,-73,-65.5,4.5,-4.5,-4.5,-4.5,-4.5,-1.5,7.5,7.5
307,21.9,-22,-70,-61,-61,-61,-61,-64,-73,-73,-65.5,4.5,-4.5,-4.5,-4.5,-4.5,-1.5,7.5,7.5
307,22.9,-21.6,-70,-61,-61,-61,-61,-64,-73,-73,-65.5,4.5,-4.5,-4.5,-4.5,-4.5,-1.5,7.5,7.5
307,25.4,-19.8,-70,-61,-61,-61,-61,-64,-73,-73,-65.5,4.5,-4.5,-4.5,-4.5,-4.5,-1.5,7.5,7.5
307,27.5,-18.6,-70,-61,-61,-61,-61,-64,-73,-73,-65.5,4.5,-4.5,-4.5,-4.5,-4.5,-1.5,7.5,7.5
307,27.5,-18.6,-76,-62,-62,-62,-62,-65,-73,-73,-66.875,9.125,-4.875,-4.875,-4.875,-4.875,-1.875,6.125,6.125
307,29.4,-19.6,-76,-62,-62,-62,-62,-65,-73,-73,-66.875,9.125,-4.875,-4.875,-4.875,-4.875,-1.875,6.125,6.125
307,29.8,-22.6,-76,-62,-62,-62,-62,-65,-73,-73,-66.875,9.125,-4.875,-4.875,-4.875,-4.875,-1.875,6.125,6.125
307,29.7,-23.3,-76,-62,-62,-62,-62,-65,-73,-73,-66.875,9.125,-4.875,-4.875,-4.875,-4.875,-1.875,6.125,6.125
307,28.2,-22.5,-76,-62,-62,-62,-62,-65,-73,-73,-66.875,9.125,-4.875,-4.875,-4.875,-4.875,-1.875,6.125,6.125
307,22.9,-24.3,-76,-62,-62,-62,-62,-65,-73,-73,-66.875,9.125,-4.875,-4.875,-4.875,-4.875,-1.875,6.125,6.125
307,22.9,-24.3,-72,-57,-57,-57,-57,-68,-73,-73,-64.25,7.75,-7.25,-7.25,-7.25,-7.25,3.75,8.75,8.75
307,17.8,-25,-72,-57,-57,-57,-57,-68,-73,-73,-64.25,7.75,-7.25,-7.25,-7.25,-7.25,3.75,8.75,8.75
307,17.2,-22.2,-72,-57,-57,-57,-57,-68,-73,-73,-64.25,7.75,-7.25,-7.25,-7.25,-7.25,3.75,8.75,8.75
307,21.2,-14.1,-72,-57,-57,-57,-57,-68,-73,-73,-64.25,7.75,-7.25,-7.25,-7.25,-7.25,3.75,8.75,8.75
307,21.4,-9.4,-72,-57,-57,-57,-57,-68,-73,-73,-64.25,7.75,-7.25,-7.25,-7.25,-7.25,3.75,8.75,8.75
307,20.8,-9.2,-72,-57,-57,-57,-57,-68,-73,-73,-64.25,7.75,-7.25,-7.25,-7.25,-7.25,3.75,8.75,8.75
307,20.8,-9.2,-65,-62,-62,-62,-62,-65,-72,-72,-65.25,-0.25,-3.25,-3.25,-3.25,-3.25,-0.25,6.75,6.75
307,20.5,-10.3,-65,-62,-62,-62,-62,-65,-72,-72,-65.25,-0.25,-3.25,-3.25,-3.25,-3.25,-0.25,6.75,6.75
307,19.8,-12.5,-65,-62,-62,-62,-62,-65,-72,-72,-65.25,-0.25,-3.25,-3.25,-3.25,-3.25,-0.25,6.75,6.75
307,20.6,-13.6,-65,-62,-62,-62,-62,-65,-72,-72,-65.25,-0.25,-3.25,-3.25,-3.25,-3.25,-0.25,6.75,6.75
307,21.2,-15.8,-65,-62,-62,-62,-62,-65,-72,-72,-65.25,-0.25,-3.25,-3.25,-3.25,-3.25,-0.25,6.75,6.75
307,20.7,-18,-70,-59,-59,-59,-59,-63,-72,-72,-64.125,5.875,-5.125,-5.125,-5.125,-5.125,-1.125,7.875,7.875
307,18,-22,-70,-59,-59,-59,-59,-63,-72,-72,-64.125,5.875,-5.125,-5.125,-5.125,-5.125,-1.125,7.875,7.875
307,15.7,-24.9,-70,-59,-59,-59,-59,-63,-72,-72,-64.125,5.875,-5.125,-5.125,-5.125,-5.125,-1.125,7.875,7.875
307,15.8,-26.5,-70,-59,-59,-59,-59,-63,-72,-72,-64.125,5.875,-5.125,-5.125,-5.125,-5.125,-1.125,7.875,7.875
307,14.6,-28.8,-70,-59,-59,-59,-59,-63,-72,-72,-64.125,5.875,-5.125,-5.125,-5.125,-5.125,-1.125,7.875,7.875
307,14.6,-28.8,-66,-52,-52,-52,-52,-63,-72,-72,-60.125,5.875,-8.125,-8.125,-8.125,-8.125,2.875,11.875,11.875
307,13.5,-30.5,-66,-52,-52,-52,-52,-63,-72,-72,-60.125,5.875,-8.125,-8.125,-8.125,-8.125,2.875,11.875,11.875
307,17.6,-29.6,-66,-52,-52,-52,-52,-63,-72,-72,-60.125,5.875,-8.125,-8.125,-8.125,-8.125,2.875,11.875,11.875
307,23.3,-26.3,-66,-52,-52,-52,-52,-63,-72,-72,-60.125,5.875,-8.125,-8.125,-8.125,-8.125,2.875,11.875,11.875
307,27.3,-22.7,-66,-52,-52,-52,-52,-63,-72,-72,-60.125,5.875,-8.125,-8.125,-8.125,-8.125,2.875,11.875,11.875
307,27.3,-22.7,-69,-57,-57,-57,-57,-61,-70,-70,-62.25,6.75,-5.25,-5.25,-5.25,-5.25,-1.25,7.75,7.75
307,25.9,-24.7,-69,-57,-57,-57,-57,-61,-70,-70,-62.25,6.75,-5.25,-5.25,-5.25,-5.25,-1.25,7.75,7.75
307,26.3,-24.4,-69,-57,-57,-57,-57,-61,-70,-70,-62.25,6.75,-5.25,-5.25,-5.25,-5.25,-1.25,7.75,7.75
307,28.5,-21.6,-69,-57,-57,-57,-57,-61,-70,-70,-62.25,6.75,-5.25,-5.25,-5.25,-5.25,-1.25,7.75,7.75
307,28.2,-21.4,-69,-57,-57,-57,-57,-61,-70,-70,-62.25,6.75,-5.25,-5.25,-5.25,-5.25,-1.25,7.75,7.75
307,27.1,-26.7,-70,-63,-63,-63,-63,-62,-75,-75,-66.75,3.25,-3.75,-3.75,-3.75,-3.75,-4.75,8.25,8.25
307,28.3,-24.4,-70,-63,-63,-63,-63,-62,-75,-75,-66.75,3.25,-3.75,-3.75,-3.75,-3.75,-4.75,8.25,8.25
307,28,-22.8,-70,-63,-63,-63,-63,-62,-75,-75,-66.75,3.25,-3.75,-3.75,-3.75,-3.75,-4.75,8.25,8.25
307,25.2,-23.8,-70,-63,-63,-63,-63,-62,-75,-75,-66.75,3.25,-3.75,-3.75,-3.75,-3.75,-4.75,8.25,8.25
307,21.8,-25.3,-70,-63,-63,-63,-63,-62,-75,-75,-66.75,3.25,-3.75,-3.75,-3.75,-3.75,-4.75,8.25,8.25
307,21.8,-25.3,-70,-67,-67,-67,-67,-58,-74,-75,-68.125,1.875,-1.125,-1.125,-1.125,-1.125,-10.125,5.875,6.875
307,21.4,-24.3,-70,-67,-67,-67,-67,-58,-74,-75,-68.125,1.875,-1.125,-1.125,-1.125,-1.125,-10.125,5.875,6.875
307,20.7,-23.2,-70,-67,-67,-67,-67,-58,-74,-75,-68.125,1.875,-1.125,-1.125,-1.125,-1.125,-10.125,5.875,6.875
307,20.1,-21.7,-70,-67,-67,-67,-67,-58,-74,-75,-68.125,1.875,-1.125,-1.125,-1.125,-1.125,-10.125,5.875,6.875
307,20.1,-20.1,-70,-67,-67,-67,-67,-58,-74,-75,-68.125,1.875,-1.125,-1.125,-1.125,-1.125,-10.125,5.875,6.875
307,21.9,-15.9,-70,-67,-67,-67,-67,-58,-74,-75,-68.125,1.875,-1.125,-1.125,-1.125,-1.125,-10.125,5.875,6.875
307,21.9,-15.9,-71,-61,-61,-61,-61,-64,-74,-75,-66,5,-5,-5,-5,-5,-2,8,9
307,22.3,-12.4,-71,-61,-61,-61,-61,-64,-74,-75,-66,5,-5,-5,-5,-5,-2,8,9
307,22.2,-9.3,-71,-61,-61,-61,-61,-64,-74,-75,-66,5,-5,-5,-5,-5,-2,8,9
307,21.6,-6.3,-71,-61,-61,-61,-61,-64,-74,-75,-66,5,-5,-5,-5,-5,-2,8,9
307,21.5,-1.8,-71,-61,-61,-61,-61,-64,-74,-75,-66,5,-5,-5,-5,-5,-2,8,9
307,21.5,-1.8,-62,-52,-52,-52,-52,-62,-74,-75,-60.125,1.875,-8.125,-8.125,-8.125,-8.125,1.875,13.875,14.875
307,21.6,2.2,-62,-52,-52,-52,-52,-62,-74,-75,-60.125,1.875,-8.125,-8.125,-8.125,-8.125,1.875,13.875,14.875
307,21.8,8.3,-62,-52,-52,-52,-52,-62,-74,-75,-60.125,1.875,-8.125,-8.125,-8.125,-8.125,1.875,13.875,14.875
307,21.8,14.5,-62,-52,-52,-52,-52,-62,-74,-75,-60.125,1.875,-8.125,-8.125,-8.125,-8.125,1.875,13.875,14.875
307,22.6,18.2,-62,-52,-52,-52,-52,-62,-74,-75,-60.125,1.875,-8.125,-8.125,-8.125,-8.125,1.875,13.875,14.875
307,22.3,21,-62,-52,-52,-52,-52,-62,-74,-75,-60.125,1.875,-8.125,-8.125,-8.125,-8.125,1.875,13.875,14.875
307,22.3,21,-71,-56,-56,-56,-56,-63,-74,-75,-63.375,7.625,-7.375,-7.375,-7.375,-7.375,-0.375,10.625,11.625
307,22.1,18.6,-71,-56,-56,-56,-56,-63,-74,-75,-63.375,7.625,-7.375,-7.375,-7.375,-7.375,-0.375,10.625,11.625
307,21.8,13.8,-71,-56,-56,-56,-56,-63,-74,-75,-63.375,7.625,-7.375,-7.375,-7.375,-7.375,-0.375,10.625,11.625
307,21.4,8.6,-71,-56,-56,-56,-56,-63,-74,-75,-63.375,7.625,-7.375,-7.375,-7.375,-7.375,-0.375,10.625,11.625
307,21.5,2.3,-71,-56,-56,-56,-56,-63,-74,-75,-63.375,7.625,-7.375,-7.375,-7.375,-7.375,-0.375,10.625,11.625
307,21.1,-1.6,-71,-56,-56,-56,-56,-63,-74,-75,-63.375,7.625,-7.375,-7.375,-7.375,-7.375,-0.375,10.625,11.625
307,21.5,-4.8,-67,-57,-57,-57,-57,-60,-73,-75,-62.875,4.125,-5.875,-5.875,-5.875,-5.875,-2.875,10.125,12.125
307,22.3,-6.2,-67,-57,-57,-57,-57,-60,-73,-75,-62.875,4.125,-5.875,-5.875,-5.875,-5.875,-2.875,10.125,12.125
307,22.9,-8.3,-67,-57,-57,-57,-57,-60,-73,-75,-62.875,4.125,-5.875,-5.875,-5.875,-5.875,-2.875,10.125,12.125
307,23.3,-10.7,-67,-57,-57,-57,-57,-60,-73,-75,-62.875,4.125,-5.875,-5.875,-5.875,-5.875,-2.875,10.125,12.125
