@relation TestInstances

@attribute room {windowright,windowleft,doorright,doorleft}
@attribute magneticY numeric
@attribute magneticZ numeric
@attribute rssValue0 numeric
@attribute rssValue1 numeric
@attribute rssValue2 numeric
@attribute rssValue3 numeric
@attribute rssValue4 numeric
@attribute rssValue5 numeric
@attribute rssValue6 numeric
@attribute rssValue7 numeric

@data
windowright,28,-15,-80,-47,-46,-59,-49,-65,-88,-76
windowright,29,-15,-80,-47,-46,-59,-49,-65,-88,-76
windowright,29,-14,-80,-47,-46,-59,-49,-65,-88,-76
windowright,29,-15,-80,-47,-46,-59,-49,-65,-88,-76
windowright,30,-14,-80,-47,-46,-59,-49,-65,-88,-76
windowright,30,-15,-80,-47,-46,-59,-49,-65,-88,-76
windowright,31,-15,-80,-47,-46,-59,-49,-65,-88,-76
windowright,31,-14,-80,-47,-46,-59,-49,-65,-88,-76
windowright,31,-14,-77,-55,-43,-63,-53,-63,-81,-79
windowright,31,-13,-77,-55,-43,-63,-53,-63,-81,-79
windowright,32,-12,-77,-55,-43,-63,-53,-63,-81,-79
windowright,33,-11,-77,-55,-43,-63,-53,-63,-81,-79
windowright,34,-10,-77,-55,-43,-63,-53,-63,-81,-79
windowright,35,-9,-77,-55,-43,-63,-53,-63,-81,-79
windowright,35,-10,-77,-55,-43,-63,-53,-63,-81,-79
windowright,36,-9,-77,-55,-43,-63,-53,-63,-81,-79
windowright,36,-8,-77,-55,-43,-63,-53,-63,-81,-79
windowright,37,-7,-77,-55,-43,-63,-53,-63,-81,-79
windowright,37,-6,-77,-55,-43,-63,-53,-63,-81,-79
windowright,38,-6,-77,-55,-43,-63,-53,-63,-81,-79
windowright,38,-5,-77,-55,-43,-63,-53,-63,-81,-79
windowright,39,-4,-77,-55,-43,-63,-53,-63,-81,-79
windowright,39,-6,-77,-55,-43,-63,-53,-63,-81,-79
windowright,39,-7,-77,-55,-43,-63,-53,-63,-81,-79
windowright,38,-8,-77,-55,-43,-63,-53,-63,-81,-79
windowright,37,-9,-77,-55,-43,-63,-53,-63,-81,-79
windowright,37,-10,-77,-55,-43,-63,-53,-63,-81,-79
windowright,36,-10,-77,-55,-43,-63,-53,-63,-81,-79
windowright,36,-11,-81,-55,-47,-67,-45,-66,-83,-85
windowright,36,-12,-81,-55,-47,-67,-45,-66,-83,-85
windowright,35,-13,-81,-55,-47,-67,-45,-66,-83,-85
windowright,34,-14,-81,-55,-47,-67,-45,-66,-83,-85
windowright,33,-14,-81,-55,-47,-67,-45,-66,-83,-85
windowright,34,-14,-81,-55,-47,-67,-45,-66,-83,-85
windowright,34,-13,-81,-55,-47,-67,-45,-66,-83,-85
windowright,35,-12,-81,-55,-47,-67,-45,-66,-83,-85
windowright,36,-11,-81,-55,-47,-67,-45,-66,-83,-85
windowright,36,-10,-81,-55,-47,-67,-45,-66,-83,-85
windowright,37,-10,-81,-55,-47,-67,-45,-66,-83,-85
windowright,38,-9,-81,-55,-47,-67,-45,-66,-83,-85
windowright,37,-9,-81,-55,-47,-67,-45,-66,-83,-85
windowright,38,-9,-76,-50,-43,-64,-51,-65,-83,-85
windowright,39,-7,-76,-50,-43,-64,-51,-65,-83,-85
windowright,38,-7,-76,-50,-43,-64,-51,-65,-83,-85
windowright,38,-8,-76,-50,-43,-64,-51,-65,-83,-85
windowright,37,-8,-76,-50,-43,-64,-51,-65,-83,-85
windowright,36,-9,-76,-50,-43,-64,-51,-65,-83,-85
windowright,36,-10,-76,-50,-43,-64,-51,-65,-83,-85
windowright,35,-10,-76,-50,-43,-64,-51,-65,-83,-85
windowright,35,-11,-76,-50,-43,-64,-51,-65,-83,-85
windowright,34,-12,-76,-50,-43,-64,-51,-65,-83,-85
windowright,34,-13,-76,-50,-43,-64,-51,-65,-83,-85
windowright,33,-14,-76,-50,-43,-64,-51,-65,-83,-85
windowright,33,-15,-76,-50,-43,-64,-51,-65,-83,-85
windowright,33,-14,-76,-50,-43,-64,-51,-65,-83,-85
windowright,33,-15,-76,-50,-43,-64,-51,-65,-83,-85
windowright,33,-14,-83,-53,-45,-65,-52,-66,-83,-85
windowright,34,-14,-83,-53,-45,-65,-52,-66,-83,-85
windowright,34,-13,-83,-53,-45,-65,-52,-66,-83,-85
windowright,34,-12,-83,-53,-45,-65,-52,-66,-83,-85
windowright,36,-12,-83,-53,-45,-65,-52,-66,-83,-85
windowright,36,-11,-83,-53,-45,-65,-52,-66,-83,-85
windowright,37,-11,-83,-53,-45,-65,-52,-66,-83,-85
windowright,37,-10,-83,-53,-45,-65,-52,-66,-83,-85
windowright,37,-9,-83,-53,-45,-65,-52,-66,-83,-85
windowright,38,-9,-83,-53,-45,-65,-52,-66,-83,-85
windowright,38,-8,-83,-53,-45,-65,-52,-66,-83,-85
windowright,39,-8,-83,-53,-45,-65,-52,-66,-83,-85
windowright,39,-7,-83,-53,-45,-65,-52,-66,-83,-85
windowright,39,-8,-83,-53,-45,-65,-52,-66,-83,-85
windowright,38,-9,-83,-53,-45,-65,-52,-66,-83,-85
windowright,37,-10,-80,-52,-45,-64,-53,-67,-87,-85
windowright,36,-10,-80,-52,-45,-64,-53,-67,-87,-85
windowright,35,-11,-80,-52,-45,-64,-53,-67,-87,-85
windowright,34,-12,-80,-52,-45,-64,-53,-67,-87,-85
windowright,33,-13,-80,-52,-45,-64,-53,-67,-87,-85
windowright,32,-13,-80,-52,-45,-64,-53,-67,-87,-85
windowright,32,-14,-80,-52,-45,-64,-53,-67,-87,-85
windowright,33,-13,-80,-52,-45,-64,-53,-67,-87,-85
windowright,34,-12,-80,-52,-45,-64,-53,-67,-87,-85
windowright,36,-11,-80,-52,-45,-64,-53,-67,-87,-85
windowright,37,-10,-80,-52,-45,-64,-53,-67,-87,-85
windowright,37,-9,-80,-52,-45,-64,-53,-67,-87,-85
windowright,37,-10,-75,-58,-47,-63,-53,-67,-82,-79
windowright,38,-10,-75,-58,-47,-63,-53,-67,-82,-79
windowright,38,-9,-75,-58,-47,-63,-53,-67,-82,-79
windowright,39,-9,-75,-58,-47,-63,-53,-67,-82,-79
windowright,39,-8,-75,-58,-47,-63,-53,-67,-82,-79
windowright,38,-9,-75,-58,-47,-63,-53,-67,-82,-79
windowright,37,-9,-75,-58,-47,-63,-53,-67,-82,-79
windowright,36,-10,-75,-58,-47,-63,-53,-67,-82,-79
windowright,35,-11,-75,-58,-47,-63,-53,-67,-82,-79
windowright,35,-12,-75,-58,-47,-63,-53,-67,-82,-79
windowright,33,-13,-75,-58,-47,-63,-53,-67,-82,-79
windowright,34,-12,-75,-58,-47,-63,-53,-67,-82,-79
windowright,33,-13,-75,-58,-47,-63,-53,-67,-82,-79
windowright,33,-14,-75,-58,-47,-63,-53,-67,-82,-79
windowright,32,-14,-75,-58,-47,-63,-53,-67,-82,-79
windowright,33,-14,-78,-54,-45,-66,-57,-65,-82,-87
windowright,32,-14,-78,-54,-45,-66,-57,-65,-82,-87
windowright,33,-13,-78,-54,-45,-66,-57,-65,-82,-87
windowright,34,-13,-78,-54,-45,-66,-57,-65,-82,-87
windowright,34,-12,-78,-54,-45,-66,-57,-65,-82,-87
windowright,35,-11,-78,-54,-45,-66,-57,-65,-82,-87
windowright,35,-10,-78,-54,-45,-66,-57,-65,-82,-87
windowright,36,-9,-78,-54,-45,-66,-57,-65,-82,-87
windowright,37,-9,-78,-54,-45,-66,-57,-65,-82,-87
windowright,37,-10,-78,-54,-45,-66,-57,-65,-82,-87
windowright,38,-9,-78,-54,-45,-66,-57,-65,-82,-87
windowright,38,-10,-78,-54,-45,-66,-57,-65,-82,-87
windowright,38,-9,-78,-54,-45,-66,-57,-65,-82,-87
windowright,38,-8,-78,-54,-45,-66,-57,-65,-82,-87
windowright,38,-7,-78,-54,-45,-66,-57,-65,-82,-87
windowright,38,-8,-78,-54,-45,-66,-57,-65,-82,-87
windowright,38,-7,-78,-54,-45,-66,-57,-65,-82,-87
windowright,38,-8,-78,-54,-45,-66,-57,-65,-82,-87
windowright,37,-8,-78,-54,-45,-66,-57,-65,-82,-87
windowright,37,-9,-78,-54,-45,-66,-57,-65,-82,-87
windowright,37,-9,-78,-50,-45,-66,-53,-69,-89,-83
windowright,36,-10,-78,-50,-45,-66,-53,-69,-89,-83
windowright,35,-11,-78,-50,-45,-66,-53,-69,-89,-83
windowright,34,-12,-78,-50,-45,-66,-53,-69,-89,-83
windowright,34,-13,-78,-50,-45,-66,-53,-69,-89,-83
windowright,33,-13,-78,-50,-45,-66,-53,-69,-89,-83
windowright,34,-12,-78,-50,-45,-66,-53,-69,-89,-83
windowright,34,-11,-78,-50,-45,-66,-53,-69,-89,-83
windowright,35,-10,-78,-50,-45,-66,-53,-69,-89,-83
windowright,35,-9,-78,-50,-45,-66,-53,-69,-89,-83
windowright,36,-8,-78,-50,-45,-66,-53,-69,-89,-83
windowright,36,-7,-78,-50,-45,-66,-53,-69,-89,-83
windowright,38,-6,-78,-50,-45,-66,-53,-69,-89,-83
windowright,37,-7,-78,-50,-45,-66,-53,-69,-89,-83
windowright,38,-6,-78,-50,-45,-66,-53,-69,-89,-83
windowright,39,-4,-78,-50,-45,-66,-53,-69,-89,-83
windowright,41,-2,-78,-51,-49,-68,-49,-64,-89,-83
windowright,40,-2,-78,-51,-49,-68,-49,-64,-89,-83
windowright,40,-1,-78,-51,-49,-68,-49,-64,-89,-83
windowright,40,-2,-78,-51,-49,-68,-49,-64,-89,-83
windowright,40,-3,-78,-51,-49,-68,-49,-64,-89,-83
windowright,39,-5,-78,-51,-49,-68,-49,-64,-89,-83
windowright,37,-7,-78,-51,-49,-68,-49,-64,-89,-83
windowright,37,-8,-78,-51,-49,-68,-49,-64,-89,-83
windowright,36,-9,-78,-51,-49,-68,-49,-64,-89,-83
windowright,35,-10,-78,-51,-49,-68,-49,-64,-89,-83
windowright,35,-11,-78,-51,-49,-68,-49,-64,-89,-83
windowright,34,-11,-78,-51,-49,-68,-49,-64,-89,-83
windowright,34,-12,-78,-51,-49,-68,-49,-64,-89,-83
windowright,35,-11,-78,-51,-49,-68,-49,-64,-89,-83
windowright,35,-10,-78,-51,-49,-68,-49,-64,-89,-83
windowright,35,-9,-78,-51,-49,-68,-49,-64,-89,-83
windowright,36,-8,-78,-51,-49,-68,-49,-64,-89,-83
windowright,36,-6,-78,-51,-49,-68,-49,-64,-89,-83
windowright,38,-2,-78,-51,-49,-68,-49,-64,-89,-83
windowright,38,-3,-78,-53,-47,-64,-54,-67,-89,-83
windowright,43,0,-78,-53,-47,-64,-54,-67,-89,-83
windowright,46,1,-78,-53,-47,-64,-54,-67,-89,-83
windowright,50,3,-78,-53,-47,-64,-54,-67,-89,-83
windowright,51,4,-78,-53,-47,-64,-54,-67,-89,-83
windowright,51,2,-78,-53,-47,-64,-54,-67,-89,-83
windowright,49,2,-78,-53,-47,-64,-54,-67,-89,-83
windowright,49,4,-78,-53,-47,-64,-54,-67,-89,-83
windowright,46,3,-78,-53,-47,-64,-54,-67,-89,-83
windowright,46,4,-78,-53,-47,-64,-54,-67,-89,-83
windowright,43,3,-78,-53,-47,-64,-54,-67,-89,-83
windowright,43,4,-78,-53,-47,-64,-54,-67,-89,-83
windowright,42,3,-78,-53,-47,-64,-54,-67,-89,-83
windowright,41,3,-78,-53,-47,-64,-54,-67,-89,-83
windowright,41,4,-78,-53,-47,-64,-54,-67,-89,-83
windowright,40,2,-78,-53,-47,-64,-54,-67,-89,-83
windowright,39,-1,-78,-53,-47,-64,-54,-67,-89,-83
windowright,39,-2,-78,-53,-47,-64,-54,-67,-89,-83
windowright,38,-4,-78,-53,-47,-64,-54,-67,-89,-83
windowright,38,-5,-78,-53,-47,-64,-54,-67,-89,-83
windowright,38,-6,-78,-51,-46,-69,-54,-73,-89,-83
windowright,38,-8,-78,-51,-46,-69,-54,-73,-89,-83
windowright,38,-9,-78,-51,-46,-69,-54,-73,-89,-83
windowright,38,-8,-78,-51,-46,-69,-54,-73,-89,-83
windowright,38,-9,-78,-51,-46,-69,-54,-73,-89,-83
windowright,38,-8,-78,-51,-46,-69,-54,-73,-89,-83
windowright,38,-10,-78,-51,-46,-69,-54,-73,-89,-83
windowright,37,-10,-78,-51,-46,-69,-54,-73,-89,-83
windowright,38,-10,-78,-51,-46,-69,-54,-73,-89,-83
windowright,37,-10,-78,-51,-46,-69,-54,-73,-89,-83
windowright,37,-9,-78,-51,-46,-69,-54,-73,-89,-83
windowright,36,-9,-78,-51,-46,-69,-54,-73,-89,-83
windowright,36,-8,-78,-51,-46,-69,-54,-73,-89,-83
windowright,35,-7,-78,-51,-46,-69,-54,-73,-89,-83
windowright,34,-5,-78,-51,-46,-69,-54,-73,-89,-83
windowright,32,-3,-78,-51,-46,-69,-54,-73,-89,-83
windowright,32,-3,-70,-55,-46,-62,-56,-67,-82,-83
windowright,31,-2,-70,-55,-46,-62,-56,-67,-82,-83
windowright,31,-1,-70,-55,-46,-62,-56,-67,-82,-83
windowright,31,-2,-70,-55,-46,-62,-56,-67,-82,-83
windowright,31,-3,-70,-55,-46,-62,-56,-67,-82,-83
windowright,32,-4,-70,-55,-46,-62,-56,-67,-82,-83
windowright,33,-5,-70,-55,-46,-62,-56,-67,-82,-83
windowright,33,-6,-70,-55,-46,-62,-56,-67,-82,-83
