@relation TestInstances

@attribute room {wc,307,gang}
@attribute magneticY numeric
@attribute magneticZ numeric
@attribute rssValue0 numeric
@attribute rssValue1 numeric
@attribute rssValue2 numeric
@attribute rssValue3 numeric
@attribute rssValue4 numeric
@attribute rssValue5 numeric
@attribute rssValue6 numeric
@attribute rssValue7 numeric
@attribute mean numeric
@attribute rssVariance0 numeric
@attribute rssVariance1 numeric
@attribute rssVariance2 numeric
@attribute rssVariance3 numeric
@attribute rssVariance4 numeric
@attribute rssVariance5 numeric
@attribute rssVariance6 numeric
@attribute rssVariance7 numeric

@data
wc,24.3,-34.9,0,2,0,0,0,0,12,12,3.25,3.25,1.25,3.25,3.25,3.25,3.25,-8.75,-8.75
wc,24.5,-34.8,0,2,0,0,0,0,12,12,3.25,3.25,1.25,3.25,3.25,3.25,3.25,-8.75,-8.75
wc,25,-34.6,0,2,0,0,0,0,12,12,3.25,3.25,1.25,3.25,3.25,3.25,3.25,-8.75,-8.75
wc,24.2,-35.2,5,4,0,0,0,0,10,10,3.625,-1.375,-0.375,3.625,3.625,3.625,3.625,-6.375,-6.375
wc,25.1,-35,5,4,0,0,0,0,10,10,3.625,-1.375,-0.375,3.625,3.625,3.625,3.625,-6.375,-6.375
wc,24.7,-35.2,5,4,0,0,0,0,10,10,3.625,-1.375,-0.375,3.625,3.625,3.625,3.625,-6.375,-6.375
wc,24.7,-35.5,5,4,0,0,0,0,10,10,3.625,-1.375,-0.375,3.625,3.625,3.625,3.625,-6.375,-6.375
wc,24.7,-35.4,5,4,0,0,0,0,10,10,3.625,-1.375,-0.375,3.625,3.625,3.625,3.625,-6.375,-6.375
wc,24.5,-35.7,5,4,0,0,0,0,10,10,3.625,-1.375,-0.375,3.625,3.625,3.625,3.625,-6.375,-6.375
wc,24.5,-35.7,9,15,0,0,0,0,21,21,8.25,-0.75,-6.75,8.25,8.25,8.25,8.25,-12.75,-12.75
wc,24.1,-35.9,9,15,0,0,0,0,21,21,8.25,-0.75,-6.75,8.25,8.25,8.25,8.25,-12.75,-12.75
wc,23.7,-35.9,9,15,0,0,0,0,21,21,8.25,-0.75,-6.75,8.25,8.25,8.25,8.25,-12.75,-12.75
wc,23.5,-35.5,9,15,0,0,0,0,21,21,8.25,-0.75,-6.75,8.25,8.25,8.25,8.25,-12.75,-12.75
wc,22.8,-35.3,6,11,0,0,0,0,21,21,7.375,1.375,-3.625,7.375,7.375,7.375,7.375,-13.625,-13.625
wc,22.6,-35.1,6,11,0,0,0,0,21,21,7.375,1.375,-3.625,7.375,7.375,7.375,7.375,-13.625,-13.625
wc,22.7,-34.9,6,11,0,0,0,0,21,21,7.375,1.375,-3.625,7.375,7.375,7.375,7.375,-13.625,-13.625
wc,22.6,-34.7,0,12,0,0,0,0,16,16,5.5,5.5,-6.5,5.5,5.5,5.5,5.5,-10.5,-10.5
wc,22.1,-34.5,0,12,0,0,0,0,16,16,5.5,5.5,-6.5,5.5,5.5,5.5,5.5,-10.5,-10.5
wc,21.6,-34.2,0,12,0,0,0,0,16,16,5.5,5.5,-6.5,5.5,5.5,5.5,5.5,-10.5,-10.5
wc,21.8,-33.8,0,12,0,0,0,0,16,16,5.5,5.5,-6.5,5.5,5.5,5.5,5.5,-10.5,-10.5
wc,21.8,-33.8,0,8,0,0,0,0,24,16,6,6,-2,6,6,6,6,-18,-10
wc,21.8,-33.4,0,8,0,0,0,0,24,16,6,6,-2,6,6,6,6,-18,-10
wc,21.2,-33.3,0,8,0,0,0,0,24,16,6,6,-2,6,6,6,6,-18,-10
wc,20.9,-33.3,0,8,0,0,0,0,24,16,6,6,-2,6,6,6,6,-18,-10
wc,20.9,-33.3,6,14,0,0,0,0,33,33,10.75,4.75,-3.25,10.75,10.75,10.75,10.75,-22.25,-22.25
wc,20,-33,6,14,0,0,0,0,33,33,10.75,4.75,-3.25,10.75,10.75,10.75,10.75,-22.25,-22.25
wc,19.2,-32.4,6,14,0,0,0,0,33,33,10.75,4.75,-3.25,10.75,10.75,10.75,10.75,-22.25,-22.25
wc,17.7,-33.1,6,14,0,0,0,0,33,33,10.75,4.75,-3.25,10.75,10.75,10.75,10.75,-22.25,-22.25
wc,16.1,-33.2,6,14,0,0,0,0,33,33,10.75,4.75,-3.25,10.75,10.75,10.75,10.75,-22.25,-22.25
wc,16.1,-33.2,16,18,0,0,0,0,33,33,12.5,-3.5,-5.5,12.5,12.5,12.5,12.5,-20.5,-20.5
wc,15,-33.4,16,18,0,0,0,0,33,33,12.5,-3.5,-5.5,12.5,12.5,12.5,12.5,-20.5,-20.5
wc,14.5,-33.5,16,18,0,0,0,0,33,33,12.5,-3.5,-5.5,12.5,12.5,12.5,12.5,-20.5,-20.5
wc,14.6,-33.6,16,18,0,0,0,0,33,33,12.5,-3.5,-5.5,12.5,12.5,12.5,12.5,-20.5,-20.5
wc,14.4,-33.4,16,13,0,0,0,0,27,27,10.375,-5.625,-2.625,10.375,10.375,10.375,10.375,-16.625,-16.625
