@relation TestInstances

@attribute room {stube,kueche,badgross,badklein,gang}
@attribute magneticY numeric
@attribute magneticZ numeric
@attribute rssValue0 numeric
@attribute rssValue1 numeric
@attribute rssValue2 numeric
@attribute rssValue3 numeric
@attribute rssValue4 numeric
@attribute rssValue5 numeric
@attribute rssValue6 numeric
@attribute rssValue7 numeric
@attribute mean numeric
@attribute rssVariance0 numeric
@attribute rssVariance1 numeric
@attribute rssVariance2 numeric
@attribute rssVariance3 numeric
@attribute rssVariance4 numeric
@attribute rssVariance5 numeric
@attribute rssVariance6 numeric
@attribute rssVariance7 numeric

@data
stube,21.3,-37.2,0,13,26,26,26,26,18,18,19.125,19.125,6.125,-6.875,-6.875,-6.875,-6.875,1.125,1.125
stube,20.8,-37.7,0,13,26,26,26,26,18,18,19.125,19.125,6.125,-6.875,-6.875,-6.875,-6.875,1.125,1.125
stube,23.4,-36.2,0,13,26,26,26,26,18,18,19.125,19.125,6.125,-6.875,-6.875,-6.875,-6.875,1.125,1.125
stube,23.4,-36.2,0,10,30,30,30,30,14,14,19.75,19.75,9.75,-10.25,-10.25,-10.25,-10.25,5.75,5.75
stube,24.1,-35.9,0,10,30,30,30,30,14,14,19.75,19.75,9.75,-10.25,-10.25,-10.25,-10.25,5.75,5.75
stube,24.4,-35.7,0,10,30,30,30,30,14,14,19.75,19.75,9.75,-10.25,-10.25,-10.25,-10.25,5.75,5.75
stube,25.2,-35.1,0,10,30,30,30,30,14,14,19.75,19.75,9.75,-10.25,-10.25,-10.25,-10.25,5.75,5.75
stube,25.2,-35.1,0,13,29,29,29,29,17,17,20.375,20.375,7.375,-8.625,-8.625,-8.625,-8.625,3.375,3.375
stube,26.9,-33.6,0,13,29,29,29,29,17,17,20.375,20.375,7.375,-8.625,-8.625,-8.625,-8.625,3.375,3.375
stube,26.3,-33.6,0,13,29,29,29,29,17,17,20.375,20.375,7.375,-8.625,-8.625,-8.625,-8.625,3.375,3.375
stube,24.1,-34.4,0,13,29,29,29,29,17,17,20.375,20.375,7.375,-8.625,-8.625,-8.625,-8.625,3.375,3.375
stube,23.8,-33.6,0,13,29,29,29,29,17,17,20.375,20.375,7.375,-8.625,-8.625,-8.625,-8.625,3.375,3.375
stube,23.8,-33.6,0,5,29,29,29,29,17,17,19.375,19.375,14.375,-9.625,-9.625,-9.625,-9.625,2.375,2.375
stube,25.9,-30.9,0,5,29,29,29,29,17,17,19.375,19.375,14.375,-9.625,-9.625,-9.625,-9.625,2.375,2.375
stube,26.6,-28.9,0,5,29,29,29,29,17,17,19.375,19.375,14.375,-9.625,-9.625,-9.625,-9.625,2.375,2.375
stube,22.3,-31.1,0,5,29,29,29,29,17,17,19.375,19.375,14.375,-9.625,-9.625,-9.625,-9.625,2.375,2.375
stube,22.3,-31.1,0,2,29,29,29,29,17,17,19,19,17,-10,-10,-10,-10,2,2
stube,18.2,-32.6,0,2,29,29,29,29,17,17,19,19,17,-10,-10,-10,-10,2,2
stube,15.6,-33,0,2,29,29,29,29,17,17,19,19,17,-10,-10,-10,-10,2,2
stube,17.1,-31.5,0,2,29,29,29,29,17,17,19,19,17,-10,-10,-10,-10,2,2
stube,19.4,-29.5,0,2,29,29,29,29,17,17,19,19,17,-10,-10,-10,-10,2,2
stube,19.4,-29.5,4,0,31,31,31,31,21,21,21.25,17.25,21.25,-9.75,-9.75,-9.75,-9.75,0.25,0.25
stube,19.2,-29.4,4,0,31,31,31,31,21,21,21.25,17.25,21.25,-9.75,-9.75,-9.75,-9.75,0.25,0.25
stube,18.2,-29.7,4,0,31,31,31,31,21,21,21.25,17.25,21.25,-9.75,-9.75,-9.75,-9.75,0.25,0.25
stube,16.2,-30.7,4,0,31,31,31,31,21,21,21.25,17.25,21.25,-9.75,-9.75,-9.75,-9.75,0.25,0.25
stube,16.2,-30.7,2,0,29,29,29,29,19,19,19.5,17.5,19.5,-9.5,-9.5,-9.5,-9.5,0.5,0.5
stube,13.7,-31.8,2,0,29,29,29,29,19,19,19.5,17.5,19.5,-9.5,-9.5,-9.5,-9.5,0.5,0.5
stube,12.4,-32.3,2,0,29,29,29,29,19,19,19.5,17.5,19.5,-9.5,-9.5,-9.5,-9.5,0.5,0.5
