@relation TestInstances

@attribute room {stube,kueche,nicola,badgross,badklein,reduit,joel,gangbad,gangeingang}
@attribute magneticY numeric
@attribute magneticZ numeric
@attribute rssValue0 numeric
@attribute rssValue1 numeric
@attribute rssValue2 numeric
@attribute rssValue3 numeric
@attribute rssValue4 numeric
@attribute rssValue5 numeric
@attribute rssValue6 numeric
@attribute rssValue7 numeric
@attribute mean numeric
@attribute rssVariance0 numeric
@attribute rssVariance1 numeric
@attribute rssVariance2 numeric
@attribute rssVariance3 numeric
@attribute rssVariance4 numeric
@attribute rssVariance5 numeric
@attribute rssVariance6 numeric
@attribute rssVariance7 numeric

@data
stube,20.1,-38.9,0,0,29,29,29,29,20,20,19.5,19.5,19.5,-9.5,-9.5,-9.5,-9.5,-0.5,-0.5
stube,19.2,-39.2,0,0,29,29,29,29,20,20,19.5,19.5,19.5,-9.5,-9.5,-9.5,-9.5,-0.5,-0.5
stube,19.1,-39.2,0,0,29,29,29,29,20,20,19.5,19.5,19.5,-9.5,-9.5,-9.5,-9.5,-0.5,-0.5
stube,19.1,-39.2,0,2,26,26,26,26,20,20,18.25,18.25,16.25,-7.75,-7.75,-7.75,-7.75,-1.75,-1.75
stube,20.3,-38.6,0,2,26,26,26,26,20,20,18.25,18.25,16.25,-7.75,-7.75,-7.75,-7.75,-1.75,-1.75
stube,20.7,-38.4,0,2,26,26,26,26,20,20,18.25,18.25,16.25,-7.75,-7.75,-7.75,-7.75,-1.75,-1.75
stube,20.1,-38.7,0,2,26,26,26,26,20,20,18.25,18.25,16.25,-7.75,-7.75,-7.75,-7.75,-1.75,-1.75
stube,18.7,-39.4,0,2,26,26,26,26,20,20,18.25,18.25,16.25,-7.75,-7.75,-7.75,-7.75,-1.75,-1.75
stube,18.7,-39.4,0,2,22,22,22,22,20,20,16.25,16.25,14.25,-5.75,-5.75,-5.75,-5.75,-3.75,-3.75
stube,17.7,-40,0,2,22,22,22,22,20,20,16.25,16.25,14.25,-5.75,-5.75,-5.75,-5.75,-3.75,-3.75
stube,17,-40.4,0,2,22,22,22,22,20,20,16.25,16.25,14.25,-5.75,-5.75,-5.75,-5.75,-3.75,-3.75
stube,18.4,-39.9,0,2,22,22,22,22,20,20,16.25,16.25,14.25,-5.75,-5.75,-5.75,-5.75,-3.75,-3.75
stube,18.4,-40,0,2,22,22,22,22,20,20,16.25,16.25,14.25,-5.75,-5.75,-5.75,-5.75,-3.75,-3.75
stube,18.4,-40,0,6,22,22,22,22,17,17,16,16,10,-6,-6,-6,-6,-1,-1
stube,17.6,-40.4,0,6,22,22,22,22,17,17,16,16,10,-6,-6,-6,-6,-1,-1
stube,17,-40.8,0,6,22,22,22,22,17,17,16,16,10,-6,-6,-6,-6,-1,-1
stube,17.3,-40.6,0,6,22,22,22,22,17,17,16,16,10,-6,-6,-6,-6,-1,-1
stube,19.4,-39.5,0,6,22,22,22,22,17,17,16,16,10,-6,-6,-6,-6,-1,-1
stube,19.4,-39.5,0,4,21,21,21,21,17,17,15.25,15.25,11.25,-5.75,-5.75,-5.75,-5.75,-1.75,-1.75
stube,21.4,-38.1,0,4,21,21,21,21,17,17,15.25,15.25,11.25,-5.75,-5.75,-5.75,-5.75,-1.75,-1.75
stube,22.7,-36.5,0,4,21,21,21,21,17,17,15.25,15.25,11.25,-5.75,-5.75,-5.75,-5.75,-1.75,-1.75
stube,19.6,-37.3,0,4,21,21,21,21,17,17,15.25,15.25,11.25,-5.75,-5.75,-5.75,-5.75,-1.75,-1.75
stube,19.6,-37.3,1,0,18,18,18,18,6,6,10.625,9.625,10.625,-7.375,-7.375,-7.375,-7.375,4.625,4.625
stube,18.1,-37.5,1,0,18,18,18,18,6,6,10.625,9.625,10.625,-7.375,-7.375,-7.375,-7.375,4.625,4.625
stube,16.9,-38.1,1,0,18,18,18,18,6,6,10.625,9.625,10.625,-7.375,-7.375,-7.375,-7.375,4.625,4.625
stube,17.1,-38,1,0,18,18,18,18,6,6,10.625,9.625,10.625,-7.375,-7.375,-7.375,-7.375,4.625,4.625
stube,17,-38,1,0,18,18,18,18,6,6,10.625,9.625,10.625,-7.375,-7.375,-7.375,-7.375,4.625,4.625
stube,17,-38,3,0,23,23,23,23,8,8,13.875,10.875,13.875,-9.125,-9.125,-9.125,-9.125,5.875,5.875
stube,15,-38.7,3,0,23,23,23,23,8,8,13.875,10.875,13.875,-9.125,-9.125,-9.125,-9.125,5.875,5.875
stube,11.9,-39.7,3,0,23,23,23,23,8,8,13.875,10.875,13.875,-9.125,-9.125,-9.125,-9.125,5.875,5.875
stube,10.9,-40,3,0,23,23,23,23,8,8,13.875,10.875,13.875,-9.125,-9.125,-9.125,-9.125,5.875,5.875
stube,11.1,-40.3,3,0,23,23,23,23,8,8,13.875,10.875,13.875,-9.125,-9.125,-9.125,-9.125,5.875,5.875
stube,11.1,-40.3,4,0,24,24,24,24,25,25,18.75,14.75,18.75,-5.25,-5.25,-5.25,-5.25,-6.25,-6.25
stube,9.7,-40.8,4,0,24,24,24,24,25,25,18.75,14.75,18.75,-5.25,-5.25,-5.25,-5.25,-6.25,-6.25
stube,9.5,-40.7,4,0,24,24,24,24,25,25,18.75,14.75,18.75,-5.25,-5.25,-5.25,-5.25,-6.25,-6.25
stube,10.2,-40.2,4,0,24,24,24,24,25,25,18.75,14.75,18.75,-5.25,-5.25,-5.25,-5.25,-6.25,-6.25
