@relation TestInstances

@attribute room {table,bed,door,undefined}
@attribute magneticY numeric
@attribute magneticZ numeric
@attribute rssValue0 numeric
@attribute rssValue1 numeric
@attribute rssValue2 numeric
@attribute rssValue3 numeric
@attribute rssValue4 numeric
@attribute rssValue5 numeric
@attribute rssValue6 numeric
@attribute rssValue7 numeric

@data
table,19,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,18,-42,-82,-82,-82,-85,-85,-85,-85,-85
table,17,-42,-82,-82,-82,-85,-85,-85,-85,-85
table,16,-42,-82,-82,-82,-85,-85,-85,-85,-85
table,18,-42,-82,-82,-82,-85,-85,-85,-85,-85
table,17,-42,-82,-82,-82,-85,-85,-85,-85,-85
table,18,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,19,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,17,-42,-82,-82,-82,-85,-85,-85,-85,-85
table,13,-43,-82,-82,-82,-85,-85,-85,-85,-85
table,14,-43,-82,-82,-82,-85,-85,-85,-85,-85
table,17,-42,-82,-82,-82,-85,-85,-85,-85,-85
table,20,-40,-82,-82,-82,-85,-85,-85,-85,-85
table,22,-40,-82,-82,-82,-85,-85,-85,-85,-85
table,20,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,21,-40,-82,-82,-82,-85,-85,-85,-85,-85
table,20,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,19,-42,-82,-82,-82,-85,-85,-85,-85,-85
table,20,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,21,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,22,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,23,-40,-82,-82,-82,-85,-85,-85,-85,-85
table,22,-40,-82,-82,-82,-85,-85,-85,-85,-85
table,23,-40,-82,-82,-82,-85,-85,-85,-85,-85
table,24,-39,-82,-82,-82,-85,-85,-85,-85,-85
table,22,-40,-82,-82,-82,-85,-85,-85,-85,-85
table,20,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,21,-40,-82,-82,-82,-85,-85,-85,-85,-85
table,20,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,19,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,18,-42,-82,-82,-82,-85,-85,-85,-85,-85
table,19,-42,-82,-82,-82,-85,-85,-85,-85,-85
table,20,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,21,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,22,-40,-82,-82,-82,-85,-85,-85,-85,-85
table,20,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,21,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,20,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,21,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,23,-40,-82,-82,-82,-85,-85,-85,-85,-85
table,24,-39,-82,-82,-82,-85,-85,-85,-85,-85
table,23,-40,-82,-82,-82,-85,-85,-85,-85,-85
table,22,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,21,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,20,-42,-82,-82,-82,-85,-85,-85,-85,-85
table,20,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,21,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,22,-40,-82,-82,-82,-85,-85,-85,-85,-85
table,21,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,20,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,19,-42,-82,-82,-82,-85,-85,-85,-85,-85
table,18,-42,-82,-82,-82,-85,-85,-85,-85,-85
table,19,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,20,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,21,-40,-82,-82,-82,-85,-85,-85,-85,-85
table,23,-39,-82,-82,-82,-85,-85,-85,-85,-85
table,22,-40,-82,-82,-82,-85,-85,-85,-85,-85
table,21,-40,-82,-82,-82,-85,-85,-85,-85,-85
table,21,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,22,-40,-82,-82,-82,-85,-85,-85,-85,-85
table,23,-40,-82,-82,-82,-85,-85,-85,-85,-85
table,22,-40,-82,-82,-82,-85,-85,-85,-85,-85
table,24,-39,-82,-82,-82,-85,-85,-85,-85,-85
table,23,-40,-82,-82,-82,-85,-85,-85,-85,-85
table,21,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,20,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,18,-42,-82,-82,-82,-85,-85,-85,-85,-85
table,19,-42,-82,-82,-82,-85,-85,-85,-85,-85
table,20,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,22,-40,-82,-82,-82,-85,-85,-85,-85,-85
table,21,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,20,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,19,-42,-82,-82,-82,-85,-85,-85,-85,-85
table,17,-43,-82,-82,-82,-85,-85,-85,-85,-85
table,18,-42,-82,-82,-82,-85,-85,-85,-85,-85
table,20,-42,-82,-82,-82,-85,-85,-85,-85,-85
table,20,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,22,-40,-82,-82,-82,-85,-85,-85,-85,-85
table,21,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,19,-42,-82,-82,-82,-85,-85,-85,-85,-85
table,18,-42,-82,-82,-82,-85,-85,-85,-85,-85
table,20,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,21,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,22,-40,-82,-82,-82,-85,-85,-85,-85,-85
table,21,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,20,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,19,-42,-82,-82,-82,-85,-85,-85,-85,-85
table,17,-42,-82,-82,-82,-85,-85,-85,-85,-85
table,18,-42,-82,-82,-82,-85,-85,-85,-85,-85
table,19,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,20,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,22,-40,-82,-82,-82,-85,-85,-85,-85,-85
table,20,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,19,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,18,-42,-82,-82,-82,-85,-85,-85,-85,-85
table,20,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,21,-40,-82,-82,-82,-85,-85,-85,-85,-85
table,20,-40,-82,-82,-82,-85,-85,-85,-85,-85
table,22,-40,-82,-82,-82,-85,-85,-85,-85,-85
table,21,-40,-82,-82,-82,-85,-85,-85,-85,-85
table,19,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,18,-42,-82,-82,-82,-85,-85,-85,-85,-85
table,19,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,20,-40,-82,-82,-82,-85,-85,-85,-85,-85
table,21,-40,-82,-82,-82,-85,-85,-85,-85,-85
table,22,-39,-82,-82,-82,-85,-85,-85,-85,-85
table,20,-40,-82,-82,-82,-85,-85,-85,-85,-85
table,19,-40,-82,-82,-82,-85,-85,-85,-85,-85
table,18,-40,-82,-82,-82,-85,-85,-85,-85,-85
table,19,-40,-82,-82,-82,-85,-85,-85,-85,-85
table,20,-39,-82,-82,-82,-85,-85,-85,-85,-85
table,21,-38,-82,-82,-82,-85,-85,-85,-85,-85
table,20,-39,-82,-82,-82,-85,-85,-85,-85,-85
table,19,-40,-82,-82,-82,-85,-85,-85,-85,-85
table,18,-40,-82,-82,-82,-85,-85,-85,-85,-85
table,17,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,18,-40,-82,-82,-82,-85,-85,-85,-85,-85
table,20,-39,-82,-82,-82,-85,-85,-85,-85,-85
table,19,-39,-82,-82,-82,-85,-85,-85,-85,-85
table,18,-40,-82,-82,-82,-85,-85,-85,-85,-85
table,17,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,16,-41,-82,-82,-82,-85,-85,-85,-85,-85
table,18,-40,-82,-82,-82,-85,-85,-85,-85,-85
table,19,-40,-82,-82,-82,-85,-85,-85,-85,-85
