@relation TestInstances

@attribute room {table,bed,door,shower,undefined}
@attribute magneticY numeric
@attribute magneticZ numeric
@attribute rssValue0 numeric
@attribute rssValue1 numeric
@attribute rssValue2 numeric
@attribute rssValue3 numeric
@attribute rssValue4 numeric
@attribute rssValue5 numeric
@attribute rssValue6 numeric
@attribute rssValue7 numeric

@data
table,21,-33,-56,-44,-87,-77,-71,-80,-78,-86
table,21,-33,-53,-42,-87,-77,-71,-83,-78,-86
table,21,-32,-53,-42,-87,-77,-71,-83,-78,-86
table,21,-33,-53,-42,-87,-77,-71,-83,-78,-86
table,18,-34,-49,-47,-87,-77,-71,-83,-78,-86
table,20,-33,-49,-47,-87,-77,-71,-83,-78,-86
table,20,-33,-49,-47,-87,-77,-70,-83,-78,-86
table,20,-33,-53,-47,-87,-77,-70,-86,-78,-86
table,20,-32,-53,-47,-87,-77,-70,-86,-78,-86
table,22,-31,-53,-47,-87,-77,-70,-86,-78,-86
table,22,-31,-58,-49,-87,-77,-70,-84,-86,-86
table,20,-33,-58,-49,-87,-77,-70,-84,-86,-86
table,20,-34,-58,-49,-87,-77,-70,-84,-86,-86
table,19,-35,-58,-49,-87,-77,-70,-84,-86,-86
table,19,-35,-60,-51,-87,-77,-70,-90,-86,-86
table,18,-37,-60,-51,-87,-77,-70,-90,-86,-86
table,19,-36,-60,-51,-87,-77,-70,-90,-86,-86
table,18,-37,-60,-51,-87,-77,-70,-90,-86,-86
table,18,-37,-62,-50,-87,-77,-70,-91,-86,-86
table,16,-38,-62,-50,-87,-77,-70,-91,-86,-86
table,17,-38,-62,-50,-87,-77,-70,-91,-86,-86
table,17,-38,-62,-43,-87,-86,-70,-87,-86,-86
table,19,-38,-62,-43,-87,-86,-70,-87,-86,-86
table,20,-37,-62,-43,-87,-86,-70,-87,-86,-86
table,22,-36,-62,-43,-87,-86,-70,-87,-86,-86
table,22,-36,-50,-44,-87,-86,-70,-82,-87,-86
table,23,-36,-50,-44,-87,-86,-70,-82,-87,-86
table,23,-37,-50,-44,-87,-86,-70,-82,-87,-86
table,22,-37,-50,-44,-87,-86,-70,-82,-87,-86
table,22,-37,-53,-48,-87,-85,-70,-85,-83,-86
table,20,-38,-53,-48,-87,-85,-70,-85,-83,-86
table,27,-33,-53,-48,-87,-85,-70,-85,-83,-86
table,27,-33,-59,-42,-87,-85,-70,-86,-86,-86
table,26,-34,-59,-42,-87,-85,-70,-86,-86,-86
table,22,-37,-59,-42,-87,-85,-70,-86,-86,-86
table,16,-40,-59,-42,-87,-85,-70,-86,-86,-86
table,16,-40,-55,-39,-87,-85,-70,-82,-86,-86
table,14,-42,-55,-39,-87,-85,-70,-82,-86,-86
table,14,-43,-55,-39,-87,-85,-70,-82,-86,-86
table,11,-44,-55,-39,-87,-85,-70,-82,-86,-86
table,11,-44,-59,-47,-87,-84,-70,-82,-86,-86
table,13,-44,-59,-47,-87,-84,-70,-82,-86,-86
table,13,-44,-55,-41,-87,-85,-70,-84,-85,-86
table,15,-43,-55,-41,-87,-85,-70,-84,-85,-86
table,16,-42,-55,-41,-87,-85,-70,-84,-85,-86
table,18,-40,-55,-41,-87,-85,-70,-84,-85,-86
table,18,-40,-54,-45,-87,-85,-70,-81,-85,-86
table,17,-40,-54,-45,-87,-85,-70,-81,-85,-86
table,16,-41,-54,-45,-87,-85,-70,-81,-85,-86
table,16,-41,-70,-49,-87,-85,-71,-88,-85,-86
table,18,-40,-70,-49,-87,-85,-71,-88,-85,-86
