@relation TestInstances

@attribute room {window,middle,kitchen,door}
@attribute magneticY numeric
@attribute magneticZ numeric
@attribute rssValue0 numeric
@attribute rssValue1 numeric
@attribute rssValue2 numeric
@attribute rssValue3 numeric
@attribute rssValue4 numeric
@attribute rssValue5 numeric
@attribute rssValue6 numeric
@attribute rssValue7 numeric

@data
window,12,-41,-46,-47,-77,-90,0,0,0,0
window,11,-42,-46,-47,-77,-90,0,0,0,0
window,10,-42,-46,-47,-77,-90,0,0,0,0
window,12,-42,-46,-47,-77,-90,0,0,0,0
window,12,-42,-40,-47,-77,-90,0,0,0,0
window,11,-43,-40,-47,-77,-90,0,0,0,0
window,13,-42,-40,-47,-77,-90,0,0,0,0
window,13,-42,-45,-70,-77,-90,0,0,0,0
window,14,-42,-45,-70,-77,-90,0,0,0,0
window,19,-41,-45,-70,-77,-90,0,0,0,0
window,19,-40,-45,-70,-77,-90,0,0,0,0
window,19,-40,-32,-74,-85,-90,0,0,0,0
window,18,-40,-32,-74,-85,-90,0,0,0,0
window,18,-40,-31,-75,-81,-90,0,0,0,0
window,16,-40,-31,-75,-81,-90,0,0,0,0
window,15,-41,-31,-75,-81,-90,0,0,0,0
window,15,-41,-38,-71,-81,-90,0,0,0,0
window,16,-40,-38,-71,-81,-90,0,0,0,0
window,15,-40,-38,-71,-81,-90,0,0,0,0
window,15,-40,-34,-71,-83,-96,0,0,0,0
window,14,-41,-34,-71,-83,-96,0,0,0,0
window,13,-41,-34,-71,-83,-96,0,0,0,0
window,13,-41,-41,-65,-86,-96,0,0,0,0
window,13,-42,-41,-65,-86,-96,0,0,0,0
window,14,-42,-41,-65,-86,-96,0,0,0,0
window,11,-43,-41,-65,-86,-96,0,0,0,0
window,11,-43,-44,-65,-86,-96,0,0,0,0
window,15,-42,-44,-65,-86,-96,0,0,0,0
window,13,-42,-44,-65,-86,-96,0,0,0,0
window,14,-42,-42,-72,-86,-96,0,0,0,0
window,16,-41,-42,-72,-86,-96,0,0,0,0
window,18,-40,-42,-72,-86,-96,0,0,0,0
window,18,-40,-43,-66,-82,-96,0,0,0,0
window,14,-41,-43,-66,-82,-96,0,0,0,0
window,18,-38,-43,-66,-82,-96,0,0,0,0
window,18,-38,-42,-65,-85,-96,0,0,0,0
window,18,-37,-42,-65,-85,-96,0,0,0,0
window,18,-37,-36,-62,-84,-96,0,0,0,0
window,20,-36,-36,-62,-84,-96,0,0,0,0
window,20,-36,-32,-68,-86,-96,0,0,0,0
window,19,-37,-32,-68,-86,-96,0,0,0,0
window,17,-38,-32,-68,-86,-96,0,0,0,0
window,17,-39,-32,-68,-86,-96,0,0,0,0
window,17,-39,-32,-68,-84,-96,0,0,0,0
window,18,-39,-32,-68,-84,-96,0,0,0,0
window,17,-39,-32,-68,-84,-96,0,0,0,0
window,17,-39,-33,-73,-79,-96,0,0,0,0
window,18,-39,-33,-73,-79,-96,0,0,0,0
window,18,-39,-29,-66,-83,-96,0,0,0,0
window,15,-41,-29,-66,-83,-96,0,0,0,0
