@relation TestInstances

@attribute room {window,door,kitchen,undefined}
@attribute magneticY numeric
@attribute magneticZ numeric
@attribute rssValue0 numeric
@attribute rssValue1 numeric
@attribute rssValue2 numeric
@attribute rssValue3 numeric
@attribute rssValue4 numeric
@attribute rssValue5 numeric
@attribute rssValue6 numeric
@attribute rssValue7 numeric

@data
window,16,-37,-63,-58,-84,-91,0,0,0,0
window,13,-38,-63,-58,-84,-91,0,0,0,0
window,11,-38,-63,-58,-84,-91,0,0,0,0
window,11,-38,-63,-54,-84,-91,0,0,0,0
window,13,-37,-63,-54,-84,-91,0,0,0,0
window,14,-37,-63,-54,-84,-91,0,0,0,0
window,14,-36,-63,-54,-84,-91,0,0,0,0
window,16,-36,-63,-54,-84,-91,0,0,0,0
window,17,-35,-63,-54,-84,-91,0,0,0,0
window,17,-35,-63,-64,-84,-91,0,0,0,0
window,18,-35,-63,-64,-84,-91,0,0,0,0
window,19,-35,-63,-64,-84,-91,0,0,0,0
window,19,-35,-65,-59,-84,-91,0,0,0,0
window,21,-35,-65,-59,-84,-91,0,0,0,0
window,19,-37,-65,-59,-84,-91,0,0,0,0
window,19,-37,-69,-47,-84,-91,0,0,0,0
window,17,-38,-69,-47,-84,-91,0,0,0,0
window,18,-39,-69,-47,-84,-91,0,0,0,0
window,17,-39,-69,-47,-84,-91,0,0,0,0
window,17,-39,-64,-45,-84,-91,0,0,0,0
window,17,-40,-64,-45,-84,-91,0,0,0,0
window,16,-40,-64,-45,-84,-91,0,0,0,0
window,16,-40,-66,-44,-84,-91,0,0,0,0
window,17,-40,-66,-44,-84,-91,0,0,0,0
window,15,-41,-66,-44,-84,-91,0,0,0,0
window,13,-42,-65,-35,-86,-91,0,0,0,0
window,16,-41,-65,-35,-86,-91,0,0,0,0
window,15,-41,-74,-33,-86,-91,0,0,0,0
window,16,-41,-74,-33,-86,-91,0,0,0,0
window,17,-41,-74,-33,-86,-91,0,0,0,0
window,15,-42,-74,-33,-86,-91,0,0,0,0
window,18,-41,-74,-33,-86,-91,0,0,0,0
window,19,-40,-74,-33,-86,-91,0,0,0,0
window,19,-40,-79,-32,-86,-91,0,0,0,0
window,21,-40,-79,-32,-86,-91,0,0,0,0
window,21,-40,-74,-32,-86,-91,0,0,0,0
window,19,-40,-74,-32,-86,-91,0,0,0,0
window,16,-42,-74,-32,-86,-91,0,0,0,0
window,18,-41,-74,-32,-86,-91,0,0,0,0
window,18,-41,-70,-34,-89,-91,0,0,0,0
window,19,-41,-70,-34,-89,-91,0,0,0,0
window,22,-39,-70,-34,-89,-91,0,0,0,0
window,22,-39,-66,-42,-89,-91,0,0,0,0
window,19,-41,-66,-42,-89,-91,0,0,0,0
window,19,-41,-69,-42,-89,-91,0,0,0,0
window,18,-41,-69,-42,-89,-91,0,0,0,0
window,19,-41,-69,-42,-89,-91,0,0,0,0
window,18,-42,-69,-42,-89,-91,0,0,0,0
window,18,-42,-67,-46,-89,-91,0,0,0,0
window,19,-41,-67,-46,-89,-91,0,0,0,0
window,21,-40,-67,-46,-89,-91,0,0,0,0
window,21,-40,-69,-42,-89,-91,0,0,0,0
window,20,-40,-69,-42,-89,-91,0,0,0,0
window,20,-40,-63,-34,-89,-91,0,0,0,0
window,19,-40,-63,-34,-89,-91,0,0,0,0
window,20,-40,-63,-34,-89,-91,0,0,0,0
window,20,-40,-70,-34,-86,-91,0,0,0,0
window,18,-40,-70,-34,-86,-91,0,0,0,0
window,17,-41,-70,-34,-86,-91,0,0,0,0
window,17,-41,-60,-40,-86,-91,0,0,0,0
window,18,-40,-60,-40,-86,-91,0,0,0,0
window,17,-41,-60,-40,-86,-91,0,0,0,0
window,18,-40,-60,-40,-86,-91,0,0,0,0
window,17,-40,-60,-40,-86,-91,0,0,0,0
window,15,-41,-60,-40,-86,-91,0,0,0,0
window,15,-41,-69,-48,-86,-91,0,0,0,0
window,18,-40,-69,-48,-86,-91,0,0,0,0
window,20,-39,-69,-48,-86,-91,0,0,0,0
window,19,-40,-69,-48,-86,-91,0,0,0,0
window,19,-40,-64,-43,-86,-91,0,0,0,0
window,19,-41,-64,-43,-86,-91,0,0,0,0
window,20,-40,-64,-43,-86,-91,0,0,0,0
window,20,-40,-68,-47,-86,-91,0,0,0,0
window,19,-41,-68,-47,-86,-91,0,0,0,0
window,18,-42,-68,-47,-86,-91,0,0,0,0
window,18,-42,-69,-44,-85,-91,0,0,0,0
window,17,-42,-69,-44,-85,-91,0,0,0,0
window,18,-42,-69,-44,-85,-91,0,0,0,0
window,18,-42,-73,-55,-86,-91,0,0,0,0
window,17,-42,-73,-55,-86,-91,0,0,0,0
window,15,-42,-73,-55,-86,-91,0,0,0,0
window,15,-42,-64,-55,-86,-91,0,0,0,0
window,15,-41,-64,-55,-86,-91,0,0,0,0
window,15,-41,-66,-51,-86,-91,0,0,0,0
window,17,-40,-66,-51,-86,-91,0,0,0,0
window,16,-39,-66,-51,-86,-91,0,0,0,0
window,19,-37,-66,-51,-86,-91,0,0,0,0
window,19,-37,-69,-59,-86,-91,0,0,0,0
window,21,-36,-69,-59,-86,-91,0,0,0,0
window,21,-35,-69,-59,-86,-91,0,0,0,0
window,20,-36,-69,-59,-86,-91,0,0,0,0
window,20,-36,-65,-51,-89,-91,0,0,0,0
window,19,-36,-65,-51,-89,-91,0,0,0,0
window,21,-36,-65,-51,-89,-91,0,0,0,0
window,21,-36,-67,-46,-88,-91,0,0,0,0
window,19,-38,-67,-46,-88,-91,0,0,0,0
window,19,-38,-69,-45,-82,-91,0,0,0,0
window,18,-39,-69,-45,-82,-91,0,0,0,0
window,18,-40,-69,-45,-82,-91,0,0,0,0
window,18,-40,-66,-40,-82,-91,0,0,0,0
window,17,-41,-66,-40,-82,-91,0,0,0,0
window,19,-40,-66,-40,-82,-91,0,0,0,0
window,20,-40,-66,-40,-82,-91,0,0,0,0
window,20,-40,-70,-31,-82,-91,0,0,0,0
window,19,-40,-70,-31,-82,-91,0,0,0,0
window,20,-39,-70,-31,-82,-91,0,0,0,0
window,21,-39,-70,-31,-82,-91,0,0,0,0
window,21,-39,-68,-39,-87,-91,0,0,0,0
window,18,-40,-68,-39,-87,-91,0,0,0,0
window,17,-41,-68,-39,-87,-91,0,0,0,0
window,17,-41,-77,-44,-88,-91,0,0,0,0
window,16,-42,-77,-44,-88,-91,0,0,0,0
window,16,-42,-68,-36,-88,-91,0,0,0,0
window,15,-42,-68,-36,-88,-91,0,0,0,0
window,16,-42,-68,-36,-88,-91,0,0,0,0
window,16,-42,-63,-31,-86,-91,0,0,0,0
window,15,-42,-63,-31,-86,-91,0,0,0,0
window,15,-42,-69,-40,-86,-91,0,0,0,0
window,16,-41,-69,-40,-86,-91,0,0,0,0
window,17,-41,-69,-40,-86,-91,0,0,0,0
window,19,-40,-69,-40,-86,-91,0,0,0,0
window,19,-40,-67,-47,-86,-91,0,0,0,0
window,20,-39,-67,-47,-86,-91,0,0,0,0
window,20,-39,-67,-52,-86,-91,0,0,0,0
window,17,-40,-67,-52,-86,-91,0,0,0,0
window,20,-39,-67,-52,-86,-91,0,0,0,0
window,21,-38,-67,-52,-86,-91,0,0,0,0
window,21,-38,-62,-56,-86,-91,0,0,0,0
window,20,-38,-62,-56,-86,-91,0,0,0,0
window,19,-38,-62,-56,-86,-91,0,0,0,0
window,19,-38,-74,-49,-86,-91,0,0,0,0
window,20,-37,-74,-49,-86,-91,0,0,0,0
window,22,-36,-74,-49,-86,-91,0,0,0,0
window,22,-36,-66,-49,-84,-91,0,0,0,0
window,21,-37,-66,-49,-84,-91,0,0,0,0
window,21,-37,-71,-37,-84,-91,0,0,0,0
window,23,-37,-71,-37,-84,-91,0,0,0,0
window,23,-36,-71,-37,-84,-91,0,0,0,0
window,23,-36,-70,-29,-84,-91,0,0,0,0
window,20,-38,-70,-29,-84,-91,0,0,0,0
window,16,-40,-70,-29,-84,-91,0,0,0,0
window,14,-41,-70,-29,-84,-91,0,0,0,0
window,14,-41,-65,-37,-84,-91,0,0,0,0
window,13,-41,-65,-37,-84,-91,0,0,0,0
window,13,-41,-72,-33,-84,-91,0,0,0,0
window,14,-41,-72,-33,-84,-91,0,0,0,0
window,15,-41,-72,-33,-84,-91,0,0,0,0
window,16,-41,-72,-33,-84,-91,0,0,0,0
window,16,-41,-72,-53,-84,-91,0,0,0,0
window,18,-40,-72,-53,-84,-91,0,0,0,0
window,17,-40,-72,-53,-84,-91,0,0,0,0
window,17,-40,-66,-37,-84,-91,0,0,0,0
window,19,-39,-66,-37,-84,-91,0,0,0,0
window,21,-38,-66,-37,-84,-91,0,0,0,0
window,21,-38,-66,-36,-83,-91,0,0,0,0
window,20,-38,-66,-36,-83,-91,0,0,0,0
window,18,-39,-66,-36,-83,-91,0,0,0,0
window,17,-40,-66,-36,-83,-91,0,0,0,0
window,17,-40,-65,-44,-85,-91,0,0,0,0
window,16,-40,-65,-44,-85,-91,0,0,0,0
window,17,-39,-65,-44,-85,-91,0,0,0,0
window,19,-38,-66,-44,-85,-91,0,0,0,0
window,20,-37,-66,-44,-85,-91,0,0,0,0
window,22,-36,-66,-44,-85,-91,0,0,0,0
window,22,-36,-62,-44,-85,-91,0,0,0,0
window,21,-37,-62,-44,-85,-91,0,0,0,0
window,20,-37,-62,-44,-85,-91,0,0,0,0
window,20,-37,-65,-46,-89,-91,0,0,0,0
window,22,-36,-65,-46,-89,-91,0,0,0,0
window,23,-36,-65,-46,-89,-91,0,0,0,0
window,24,-35,-65,-46,-89,-91,0,0,0,0
window,24,-35,-64,-39,-89,-91,0,0,0,0
window,23,-36,-64,-39,-89,-91,0,0,0,0
window,20,-38,-64,-40,-83,-91,0,0,0,0
window,17,-39,-64,-40,-83,-91,0,0,0,0
window,16,-40,-64,-40,-83,-91,0,0,0,0
window,15,-40,-64,-40,-83,-91,0,0,0,0
window,15,-40,-64,-36,-83,-96,0,0,0,0
window,16,-40,-64,-36,-83,-96,0,0,0,0
window,16,-41,-64,-36,-83,-96,0,0,0,0
window,16,-41,-65,-35,-83,-96,0,0,0,0
window,14,-41,-65,-35,-83,-96,0,0,0,0
window,13,-42,-65,-35,-83,-96,0,0,0,0
window,14,-42,-65,-35,-83,-96,0,0,0,0
window,14,-42,-65,-39,-83,-96,0,0,0,0
window,17,-41,-65,-39,-83,-96,0,0,0,0
window,19,-40,-65,-39,-83,-96,0,0,0,0
window,19,-39,-65,-39,-83,-96,0,0,0,0
