@relation TestInstances

@attribute room {door,table,bed,bathroom,undefined}
@attribute magneticY numeric
@attribute magneticZ numeric
@attribute rssValue0 numeric
@attribute rssValue1 numeric
@attribute rssValue2 numeric
@attribute rssValue3 numeric
@attribute rssValue4 numeric
@attribute rssValue5 numeric
@attribute rssValue6 numeric
@attribute rssValue7 numeric

@data
door,15,-44,-85,-85,-85,-85,-85,-85,-85,-85
door,14,-44,-85,-85,-85,-85,-85,-85,-85,-85
door,13,-44,-85,-85,-85,-85,-85,-85,-85,-85
door,12,-44,-85,-85,-85,-85,-85,-85,-85,-85
door,14,-44,-85,-85,-85,-85,-85,-85,-85,-85
door,14,-44,-94,-94,-94,-94,-94,-94,-94,-94
door,17,-43,-94,-94,-94,-94,-94,-94,-94,-94
door,21,-41,-94,-94,-94,-94,-94,-94,-94,-94
door,24,-39,-94,-94,-94,-94,-94,-94,-94,-94
door,26,-38,-94,-94,-94,-94,-94,-94,-94,-94
door,27,-37,-94,-94,-94,-94,-94,-94,-94,-94
door,26,-37,-94,-94,-94,-94,-94,-94,-94,-94
door,25,-38,-94,-94,-94,-94,-94,-94,-94,-94
door,24,-39,-94,-94,-94,-94,-94,-94,-94,-94
door,22,-40,-94,-94,-94,-94,-94,-94,-94,-94
door,20,-41,-93,-93,-93,-93,-93,-93,-93,-93
door,18,-42,-93,-93,-93,-93,-93,-93,-93,-93
door,16,-43,-93,-93,-93,-93,-93,-93,-93,-93
door,14,-44,-93,-93,-93,-93,-93,-93,-93,-93
door,15,-44,-93,-93,-93,-93,-93,-93,-93,-93
door,17,-43,-93,-93,-93,-93,-93,-93,-93,-93
door,18,-43,-93,-93,-93,-93,-93,-93,-93,-93
door,19,-43,-93,-93,-93,-93,-93,-93,-93,-93
door,20,-43,-93,-93,-93,-93,-93,-93,-93,-93
door,21,-42,-93,-93,-93,-93,-93,-93,-93,-93
door,22,-43,-93,-93,-93,-93,-93,-93,-93,-93
door,22,-43,-94,-94,-94,-94,-94,-94,-94,-94
door,21,-43,-94,-94,-94,-94,-94,-94,-94,-94
door,22,-43,-94,-94,-94,-94,-94,-94,-94,-94
door,21,-44,-94,-94,-94,-94,-94,-94,-94,-94
door,19,-44,-94,-94,-94,-94,-94,-94,-94,-94
door,20,-43,-94,-94,-94,-94,-94,-94,-94,-94
door,21,-43,-94,-94,-94,-94,-94,-94,-94,-94
door,21,-42,-94,-94,-94,-94,-94,-94,-94,-94
door,22,-42,-94,-94,-94,-94,-94,-94,-94,-94
door,21,-43,-94,-94,-94,-94,-94,-94,-94,-94
door,23,-42,-94,-94,-94,-94,-94,-94,-94,-94
door,24,-41,-94,-94,-94,-94,-94,-94,-94,-94
door,25,-41,-94,-94,-94,-94,-94,-94,-94,-94
door,23,-42,-94,-94,-94,-94,-94,-94,-94,-94
door,22,-43,-94,-94,-94,-94,-94,-94,-94,-94
door,21,-43,-94,-94,-94,-94,-94,-94,-94,-94
door,20,-44,-94,-94,-94,-94,-94,-94,-94,-94
door,20,-43,-94,-94,-94,-94,-94,-94,-94,-94
door,18,-44,-94,-94,-94,-94,-94,-94,-94,-94
door,19,-43,-94,-94,-94,-94,-94,-94,-94,-94
door,20,-43,-94,-94,-94,-94,-94,-94,-94,-94
door,21,-43,-94,-94,-94,-94,-94,-94,-94,-94
door,22,-42,-94,-94,-94,-94,-94,-94,-94,-94
door,22,-43,-94,-94,-94,-94,-94,-94,-94,-94
door,22,-43,-88,-88,-88,-88,-88,-88,-88,-88
door,23,-43,-88,-88,-88,-88,-88,-88,-88,-88
door,25,-42,-88,-88,-88,-88,-88,-88,-88,-88
door,24,-43,-88,-88,-88,-88,-88,-88,-88,-88
door,23,-43,-88,-88,-88,-88,-88,-88,-88,-88
door,22,-43,-88,-88,-88,-88,-88,-88,-88,-88
door,21,-44,-88,-88,-88,-88,-88,-88,-88,-88
door,20,-44,-88,-88,-88,-88,-88,-88,-88,-88
door,21,-44,-88,-88,-88,-88,-88,-88,-88,-88
door,20,-44,-88,-88,-88,-88,-88,-88,-88,-88
door,19,-44,-88,-88,-88,-88,-88,-88,-88,-88
door,19,-44,-87,-87,-87,-87,-87,-87,-87,-87
door,20,-44,-87,-87,-87,-87,-87,-87,-87,-87
door,21,-43,-87,-87,-87,-87,-87,-87,-87,-87
door,23,-42,-87,-87,-87,-87,-87,-87,-87,-87
door,22,-43,-87,-87,-87,-87,-87,-87,-87,-87
door,25,-41,-87,-87,-87,-87,-87,-87,-87,-87
door,24,-42,-87,-87,-87,-87,-87,-87,-87,-87
door,23,-43,-87,-87,-87,-87,-87,-87,-87,-87
door,22,-43,-87,-87,-87,-87,-87,-87,-87,-87
door,22,-42,-87,-87,-87,-87,-87,-87,-87,-87
door,19,-44,-87,-87,-87,-87,-87,-87,-87,-87
door,21,-43,-87,-87,-87,-87,-87,-87,-87,-87
door,19,-43,-87,-87,-87,-87,-87,-87,-87,-87
door,20,-43,-87,-87,-87,-87,-87,-87,-87,-87
door,19,-43,-87,-87,-87,-87,-87,-87,-87,-87
door,20,-43,-87,-87,-87,-87,-87,-87,-87,-87
door,21,-43,-87,-87,-87,-87,-87,-87,-87,-87
door,18,-44,-87,-87,-87,-87,-87,-87,-87,-87
door,20,-43,-87,-87,-87,-87,-87,-87,-87,-87
door,21,-43,-87,-87,-87,-87,-87,-87,-87,-87
door,24,-42,-87,-87,-87,-87,-87,-87,-87,-87
door,25,-42,-87,-87,-87,-87,-87,-87,-87,-87
door,24,-42,-87,-87,-87,-87,-87,-87,-87,-87
door,25,-42,-87,-87,-87,-87,-87,-87,-87,-87
door,24,-42,-87,-87,-87,-87,-87,-87,-87,-87
door,22,-43,-87,-87,-87,-87,-87,-87,-87,-87
door,20,-43,-87,-87,-87,-87,-87,-87,-87,-87
door,21,-43,-87,-87,-87,-87,-87,-87,-87,-87
door,20,-43,-87,-87,-87,-87,-87,-87,-87,-87
door,19,-43,-87,-87,-87,-87,-87,-87,-87,-87
door,20,-43,-87,-87,-87,-87,-87,-87,-87,-87
door,21,-42,-87,-87,-87,-87,-87,-87,-87,-87
door,21,-42,-88,-88,-88,-88,-88,-88,-88,-88
door,22,-42,-88,-88,-88,-88,-88,-88,-88,-88
door,23,-42,-88,-88,-88,-88,-88,-88,-88,-88
door,25,-41,-88,-88,-88,-88,-88,-88,-88,-88
door,26,-41,-88,-88,-88,-88,-88,-88,-88,-88
door,26,-42,-88,-88,-88,-88,-88,-88,-88,-88
door,25,-43,-88,-88,-88,-88,-88,-88,-88,-88
door,24,-43,-88,-88,-88,-88,-88,-88,-88,-88
door,25,-43,-88,-88,-88,-88,-88,-88,-88,-88
door,24,-43,-88,-88,-88,-88,-88,-88,-88,-88
door,24,-42,-88,-88,-88,-88,-88,-88,-88,-88
door,25,-42,-88,-88,-88,-88,-88,-88,-88,-88
door,24,-42,-88,-88,-88,-88,-88,-88,-88,-88
door,22,-42,-88,-88,-88,-88,-88,-88,-88,-88
door,22,-42,-94,-94,-94,-94,-94,-94,-94,-94
door,20,-43,-94,-94,-94,-94,-94,-94,-94,-94
door,19,-43,-94,-94,-94,-94,-94,-94,-94,-94
door,18,-42,-94,-94,-94,-94,-94,-94,-94,-94
door,19,-41,-94,-94,-94,-94,-94,-94,-94,-94
door,20,-41,-94,-94,-94,-94,-94,-94,-94,-94
door,19,-42,-94,-94,-94,-94,-94,-94,-94,-94
door,18,-42,-94,-94,-94,-94,-94,-94,-94,-94
door,19,-42,-94,-94,-94,-94,-94,-94,-94,-94
door,17,-43,-94,-94,-94,-94,-94,-94,-94,-94
door,18,-43,-94,-94,-94,-94,-94,-94,-94,-94
door,20,-42,-94,-94,-94,-94,-94,-94,-94,-94
door,19,-42,-94,-94,-94,-94,-94,-94,-94,-94
door,18,-43,-94,-94,-94,-94,-94,-94,-94,-94
door,19,-43,-94,-94,-94,-94,-94,-94,-94,-94
door,18,-43,-94,-94,-94,-94,-94,-94,-94,-94
door,20,-42,-94,-94,-94,-94,-94,-94,-94,-94
door,21,-42,-94,-94,-94,-94,-94,-94,-94,-94
door,20,-42,-94,-94,-94,-94,-94,-94,-94,-94
door,19,-42,-94,-94,-94,-94,-94,-94,-94,-94
door,21,-41,-94,-94,-94,-94,-94,-94,-94,-94
door,20,-41,-94,-94,-94,-94,-94,-94,-94,-94
door,19,-42,-94,-94,-94,-94,-94,-94,-94,-94
door,21,-41,-94,-94,-94,-94,-94,-94,-94,-94
door,21,-41,-95,-95,-95,-95,-95,-95,-95,-95
door,22,-40,-95,-95,-95,-95,-95,-95,-95,-95
door,22,-41,-95,-95,-95,-95,-95,-95,-95,-95
door,20,-42,-95,-95,-95,-95,-95,-95,-95,-95
door,19,-42,-95,-95,-95,-95,-95,-95,-95,-95
door,18,-43,-95,-95,-95,-95,-95,-95,-95,-95
door,17,-43,-95,-95,-95,-95,-95,-95,-95,-95
door,19,-42,-95,-95,-95,-95,-95,-95,-95,-95
door,18,-43,-95,-95,-95,-95,-95,-95,-95,-95
door,19,-42,-95,-95,-95,-95,-95,-95,-95,-95
door,17,-43,-95,-95,-95,-95,-95,-95,-95,-95
door,18,-43,-95,-95,-95,-95,-95,-95,-95,-95
door,19,-42,-95,-95,-95,-95,-95,-95,-95,-95
door,18,-43,-95,-95,-95,-95,-95,-95,-95,-95
door,19,-42,-95,-95,-95,-95,-95,-95,-95,-95
door,20,-42,-95,-95,-95,-95,-95,-95,-95,-95
door,21,-42,-95,-95,-95,-95,-95,-95,-95,-95
door,22,-41,-95,-95,-95,-95,-95,-95,-95,-95
door,21,-42,-95,-95,-95,-95,-95,-95,-95,-95
door,21,-41,-95,-95,-95,-95,-95,-95,-95,-95
door,21,-41,-94,-94,-94,-94,-94,-94,-94,-94
door,21,-42,-94,-94,-94,-94,-94,-94,-94,-94
door,20,-42,-94,-94,-94,-94,-94,-94,-94,-94
door,18,-43,-94,-94,-94,-94,-94,-94,-94,-94
door,19,-43,-94,-94,-94,-94,-94,-94,-94,-94
door,21,-42,-94,-94,-94,-94,-94,-94,-94,-94
door,20,-42,-94,-94,-94,-94,-94,-94,-94,-94
door,22,-41,-94,-94,-94,-94,-94,-94,-94,-94
door,22,-42,-94,-94,-94,-94,-94,-94,-94,-94
door,21,-42,-94,-94,-94,-94,-94,-94,-94,-94
door,20,-42,-94,-94,-94,-94,-94,-94,-94,-94
door,20,-43,-94,-94,-94,-94,-94,-94,-94,-94
door,22,-42,-94,-94,-94,-94,-94,-94,-94,-94
door,21,-42,-94,-94,-94,-94,-94,-94,-94,-94
door,20,-43,-94,-94,-94,-94,-94,-94,-94,-94
door,19,-43,-94,-94,-94,-94,-94,-94,-94,-94
door,21,-42,-94,-94,-94,-94,-94,-94,-94,-94
door,20,-43,-94,-94,-94,-94,-94,-94,-94,-94
door,21,-42,-94,-94,-94,-94,-94,-94,-94,-94
door,22,-42,-94,-94,-94,-94,-94,-94,-94,-94
door,21,-42,-94,-94,-94,-94,-94,-94,-94,-94
door,22,-42,-94,-94,-94,-94,-94,-94,-94,-94
door,21,-42,-94,-94,-94,-94,-94,-94,-94,-94
door,22,-42,-94,-94,-94,-94,-94,-94,-94,-94
door,22,-42,-91,-91,-91,-91,-91,-91,-91,-91
door,21,-42,-91,-91,-91,-91,-91,-91,-91,-91
door,19,-43,-91,-91,-91,-91,-91,-91,-91,-91
door,20,-43,-91,-91,-91,-91,-91,-91,-91,-91
door,21,-42,-91,-91,-91,-91,-91,-91,-91,-91
door,22,-42,-91,-91,-91,-91,-91,-91,-91,-91
door,21,-43,-91,-91,-91,-91,-91,-91,-91,-91
door,20,-43,-91,-91,-91,-91,-91,-91,-91,-91
door,20,-44,-91,-91,-91,-91,-91,-91,-91,-91
door,19,-44,-91,-91,-91,-91,-91,-91,-91,-91
door,20,-44,-91,-91,-91,-91,-91,-91,-91,-91
door,20,-43,-91,-91,-91,-91,-91,-91,-91,-91
door,19,-44,-91,-91,-91,-91,-91,-91,-91,-91
door,21,-43,-91,-91,-91,-91,-91,-91,-91,-91
door,23,-42,-91,-91,-91,-91,-91,-91,-91,-91
door,22,-43,-91,-91,-91,-91,-91,-91,-91,-91
door,21,-44,-91,-91,-91,-91,-91,-91,-91,-91
door,21,-43,-91,-91,-91,-91,-91,-91,-91,-91
door,21,-44,-91,-91,-91,-91,-91,-91,-91,-91
door,21,-45,-91,-91,-91,-91,-91,-91,-91,-91
door,21,-45,-84,-84,-84,-84,-84,-84,-84,-84
door,22,-45,-84,-84,-84,-84,-84,-84,-84,-84
door,23,-45,-84,-84,-84,-84,-84,-84,-84,-84
door,23,-45,-81,-81,-81,-81,-81,-81,-81,-81
door,25,-43,-81,-81,-81,-81,-81,-81,-81,-81
door,24,-44,-81,-81,-81,-81,-81,-81,-81,-81
door,23,-44,-81,-81,-81,-81,-81,-81,-81,-81
door,24,-43,-81,-81,-81,-81,-81,-81,-81,-81
door,24,-43,-84,-84,-84,-84,-84,-84,-84,-84
door,25,-42,-84,-84,-84,-84,-84,-84,-84,-84
door,26,-42,-84,-84,-84,-84,-84,-84,-84,-84
door,27,-41,-84,-84,-84,-84,-84,-84,-84,-84
door,28,-41,-84,-84,-84,-84,-84,-84,-84,-84
door,26,-42,-84,-84,-84,-84,-84,-84,-84,-84
door,26,-42,-94,-94,-94,-94,-94,-94,-94,-94
door,24,-43,-94,-94,-94,-94,-94,-94,-94,-94
door,22,-44,-94,-94,-94,-94,-94,-94,-94,-94
door,21,-44,-94,-94,-94,-94,-94,-94,-94,-94
door,22,-43,-94,-94,-94,-94,-94,-94,-94,-94
door,21,-43,-94,-94,-94,-94,-94,-94,-94,-94
door,22,-43,-94,-94,-94,-94,-94,-94,-94,-94
door,22,-42,-94,-94,-94,-94,-94,-94,-94,-94
door,19,-43,-94,-94,-94,-94,-94,-94,-94,-94
door,16,-44,-94,-94,-94,-94,-94,-94,-94,-94
door,15,-44,-94,-94,-94,-94,-94,-94,-94,-94
door,16,-44,-94,-94,-94,-94,-94,-94,-94,-94
door,17,-43,-94,-94,-94,-94,-94,-94,-94,-94
door,19,-43,-94,-94,-94,-94,-94,-94,-94,-94
door,20,-42,-94,-94,-94,-94,-94,-94,-94,-94
door,22,-41,-94,-94,-94,-94,-94,-94,-94,-94
door,24,-40,-94,-94,-94,-94,-94,-94,-94,-94
door,24,-41,-94,-94,-94,-94,-94,-94,-94,-94
door,22,-42,-94,-94,-94,-94,-94,-94,-94,-94
door,22,-42,-95,-95,-95,-95,-95,-95,-95,-95
door,24,-41,-95,-95,-95,-95,-95,-95,-95,-95
door,25,-41,-95,-95,-95,-95,-95,-95,-95,-95
door,23,-42,-95,-95,-95,-95,-95,-95,-95,-95
door,22,-42,-95,-95,-95,-95,-95,-95,-95,-95
door,21,-43,-95,-95,-95,-95,-95,-95,-95,-95
door,20,-42,-95,-95,-95,-95,-95,-95,-95,-95
door,21,-42,-95,-95,-95,-95,-95,-95,-95,-95
door,23,-41,-95,-95,-95,-95,-95,-95,-95,-95
door,23,-41,-95,-88,-88,-88,-88,-88,-88,-88
door,23,-40,-95,-88,-88,-88,-88,-88,-88,-88
door,19,-42,-95,-88,-88,-88,-88,-88,-88,-88
door,18,-42,-95,-88,-88,-88,-88,-88,-88,-88
door,19,-42,-95,-88,-88,-88,-88,-88,-88,-88
door,17,-43,-95,-88,-88,-88,-88,-88,-88,-88
door,16,-43,-95,-88,-88,-88,-88,-88,-88,-88
door,17,-43,-95,-88,-88,-88,-88,-88,-88,-88
door,19,-43,-95,-88,-88,-88,-88,-88,-88,-88
door,20,-43,-95,-88,-88,-88,-88,-88,-88,-88
door,21,-42,-95,-88,-88,-88,-88,-88,-88,-88
door,23,-42,-95,-88,-88,-88,-88,-88,-88,-88
door,22,-42,-95,-88,-88,-88,-88,-88,-88,-88
door,21,-42,-95,-88,-88,-88,-88,-88,-88,-88
door,22,-42,-95,-88,-88,-88,-88,-88,-88,-88
door,24,-42,-95,-88,-88,-88,-88,-88,-88,-88
door,25,-41,-95,-88,-88,-88,-88,-88,-88,-88
