@relation TestInstances

@attribute room {bed,door,undefined}
@attribute magneticY numeric
@attribute magneticZ numeric
@attribute rssValue0 numeric
@attribute rssValue1 numeric
@attribute rssValue2 numeric
@attribute rssValue3 numeric
@attribute rssValue4 numeric
@attribute rssValue5 numeric
@attribute rssValue6 numeric
@attribute rssValue7 numeric

@data
bed,26,-40,-49,-67,-81,-88,-74,-87,-86,-82
bed,27,-39,-49,-67,-81,-88,-74,-87,-86,-82
bed,27,-39,-48,-63,-81,-88,-71,-84,-86,-82
bed,29,-37,-48,-63,-81,-88,-71,-84,-86,-82
bed,30,-37,-48,-63,-81,-88,-71,-84,-86,-82
bed,31,-36,-48,-63,-81,-88,-71,-84,-86,-82
bed,34,-34,-48,-63,-81,-88,-71,-84,-86,-82
bed,36,-31,-48,-63,-81,-88,-71,-84,-86,-82
bed,36,-31,-44,-56,-85,-88,-71,-84,-86,-86
bed,35,-32,-44,-56,-85,-88,-71,-84,-86,-86
bed,34,-34,-44,-56,-85,-88,-71,-84,-86,-86
bed,33,-36,-44,-56,-85,-88,-71,-84,-86,-86
bed,33,-36,-53,-54,-89,-88,-72,-80,-86,-86
bed,32,-38,-53,-54,-89,-88,-72,-80,-86,-86
bed,29,-41,-53,-54,-89,-88,-72,-80,-86,-86
bed,26,-44,-53,-54,-89,-88,-72,-80,-86,-86
bed,24,-46,-53,-54,-89,-88,-72,-80,-86,-86
bed,24,-47,-53,-54,-89,-88,-72,-80,-86,-86
bed,26,-47,-53,-54,-89,-88,-72,-80,-86,-86
bed,26,-47,-56,-53,-85,-88,-72,-85,-86,-85
bed,31,-45,-56,-53,-85,-88,-72,-85,-86,-85
bed,33,-45,-56,-53,-85,-88,-72,-85,-86,-85
bed,34,-45,-56,-53,-85,-88,-72,-85,-86,-85
bed,36,-45,-56,-53,-85,-88,-72,-85,-86,-85
bed,32,-49,-56,-53,-85,-88,-72,-85,-86,-85
bed,32,-49,-48,-51,-84,-88,-72,-86,-86,-84
bed,29,-52,-48,-51,-84,-88,-72,-86,-86,-84
bed,26,-54,-48,-51,-84,-88,-72,-86,-86,-84
bed,25,-53,-48,-51,-84,-88,-72,-86,-86,-84
bed,25,-53,-48,-51,-84,-88,-70,-86,-86,-84
bed,23,-53,-48,-51,-84,-88,-70,-86,-86,-84
bed,25,-51,-48,-51,-84,-88,-70,-86,-86,-84
bed,25,-51,-47,-59,-85,-88,-69,-84,-86,-83
bed,29,-49,-47,-59,-85,-88,-69,-84,-86,-83
bed,34,-45,-47,-59,-85,-88,-69,-84,-86,-83
bed,33,-45,-47,-59,-85,-88,-69,-84,-86,-83
bed,34,-44,-47,-59,-85,-88,-69,-84,-86,-83
bed,33,-45,-47,-59,-85,-88,-69,-84,-86,-83
bed,30,-47,-47,-59,-85,-88,-69,-84,-86,-83
bed,30,-47,-58,-62,-85,-88,-69,-91,-86,-87
