@relation TestInstances

@attribute room {ne,nw,sw,se}
@attribute magneticY numeric
@attribute magneticZ numeric
@attribute rssValue0 numeric
@attribute rssValue1 numeric
@attribute rssValue2 numeric
@attribute rssValue3 numeric
@attribute rssValue4 numeric
@attribute rssValue5 numeric
@attribute rssValue6 numeric
@attribute rssValue7 numeric

@data
ne,27,-27,-58,-47,-89,-81,-69,-79,-81,-90
ne,28,-27,-58,-47,-89,-81,-69,-79,-81,-90
ne,28,-27,-59,-47,-89,-80,-69,-80,-79,-90
ne,28,-26,-59,-47,-89,-80,-69,-80,-79,-90
ne,29,-26,-59,-47,-89,-80,-69,-80,-79,-90
ne,29,-26,-57,-51,-89,-81,-69,-80,-83,-90
ne,28,-27,-57,-51,-89,-81,-69,-80,-83,-90
ne,28,-28,-57,-51,-89,-81,-69,-80,-83,-90
ne,28,-28,-61,-55,-89,-81,-69,-88,-83,-90
ne,29,-27,-61,-55,-89,-81,-69,-88,-83,-90
ne,28,-28,-61,-55,-89,-81,-69,-88,-83,-90
ne,28,-28,-56,-57,-89,-87,-69,-88,-87,-90
ne,28,-29,-56,-57,-89,-87,-69,-88,-87,-90
ne,29,-29,-56,-57,-89,-87,-69,-88,-87,-90
ne,29,-29,-64,-49,-89,-87,-69,-84,-87,-90
ne,30,-27,-64,-49,-89,-87,-69,-84,-87,-90
ne,32,-25,-64,-49,-89,-87,-69,-84,-87,-90
ne,32,-25,-64,-44,-89,-84,-69,-87,-83,-90
ne,31,-25,-64,-44,-89,-84,-69,-87,-83,-90
ne,31,-25,-65,-47,-89,-84,-69,-83,-83,-90
ne,30,-26,-65,-47,-89,-84,-69,-83,-83,-90
ne,30,-26,-61,-43,-89,-84,-69,-82,-83,-90
ne,30,-27,-61,-43,-89,-84,-69,-82,-83,-90
ne,29,-27,-61,-43,-89,-84,-69,-82,-83,-90
ne,29,-27,-62,-45,-89,-84,-69,-82,-83,-90
ne,31,-26,-62,-45,-89,-84,-69,-82,-83,-90
ne,31,-25,-62,-45,-89,-84,-69,-82,-83,-90
ne,31,-25,-58,-49,-89,-84,-69,-86,-83,-90
ne,28,-28,-58,-49,-89,-84,-69,-86,-83,-90
ne,26,-31,-58,-49,-89,-84,-69,-86,-83,-90
ne,26,-31,-65,-47,-89,-84,-69,-84,-83,-90
ne,27,-30,-65,-47,-89,-84,-69,-84,-83,-90
ne,28,-29,-65,-47,-89,-84,-69,-84,-83,-90
ne,29,-29,-65,-47,-89,-84,-69,-84,-83,-90
ne,29,-29,-60,-44,-89,-84,-69,-86,-83,-90
ne,30,-27,-60,-44,-89,-84,-69,-86,-83,-90
ne,29,-28,-60,-44,-89,-84,-69,-86,-83,-90
ne,29,-28,-61,-44,-89,-84,-69,-89,-85,-90
ne,29,-29,-61,-44,-89,-84,-69,-89,-85,-90
ne,29,-28,-61,-44,-89,-84,-69,-89,-85,-90
ne,30,-28,-61,-44,-89,-84,-69,-89,-85,-90
ne,30,-28,-59,-56,-89,-84,-69,-85,-86,-90
ne,29,-29,-59,-56,-89,-84,-69,-85,-86,-90
ne,28,-30,-59,-56,-89,-84,-69,-85,-86,-90
ne,29,-28,-60,-48,-89,-84,-69,-81,-86,-90
ne,31,-26,-60,-48,-89,-84,-69,-81,-86,-90
ne,32,-25,-60,-48,-89,-84,-69,-81,-86,-90
ne,32,-25,-57,-44,-89,-83,-69,-87,-82,-90
ne,32,-24,-57,-44,-89,-83,-69,-87,-82,-90
ne,32,-24,-52,-46,-89,-83,-69,-83,-86,-90
ne,31,-25,-52,-46,-89,-83,-69,-83,-86,-90
ne,30,-26,-52,-46,-89,-83,-69,-83,-86,-90
ne,29,-27,-52,-46,-89,-83,-69,-83,-86,-90
ne,29,-27,-60,-47,-89,-83,-69,-88,-87,-90
ne,30,-26,-60,-47,-89,-83,-69,-88,-87,-90
ne,29,-27,-60,-47,-89,-83,-69,-88,-87,-90
ne,29,-28,-61,-45,-89,-83,-69,-87,-87,-90
ne,31,-26,-61,-45,-89,-83,-69,-87,-87,-90
ne,31,-26,-51,-41,-89,-83,-69,-87,-87,-90
ne,32,-25,-51,-41,-89,-83,-69,-87,-87,-90
ne,33,-23,-51,-41,-89,-83,-69,-87,-87,-90
ne,32,-24,-51,-41,-89,-83,-69,-87,-87,-90
ne,32,-24,-59,-40,-89,-81,-69,-81,-81,-90
ne,30,-25,-59,-40,-89,-81,-69,-81,-81,-90
ne,30,-25,-52,-40,-89,-85,-69,-86,-85,-90
ne,30,-26,-52,-40,-89,-85,-69,-86,-85,-90
ne,31,-26,-52,-40,-89,-85,-69,-86,-85,-90
ne,31,-26,-62,-40,-89,-85,-70,-82,-85,-90
ne,30,-27,-62,-40,-89,-85,-70,-82,-85,-90
ne,31,-26,-62,-40,-89,-85,-70,-82,-85,-90
ne,31,-26,-59,-46,-89,-87,-70,-82,-85,-90
ne,30,-26,-59,-46,-89,-87,-70,-82,-85,-90
ne,29,-26,-59,-46,-89,-87,-70,-82,-85,-90
ne,29,-26,-52,-50,-89,-81,-70,-82,-80,-90
ne,30,-25,-52,-50,-89,-81,-70,-82,-80,-90
ne,30,-24,-52,-50,-89,-81,-70,-82,-80,-90
ne,29,-24,-53,-49,-89,-78,-70,-82,-76,-90
ne,27,-25,-53,-49,-89,-78,-70,-82,-76,-90
ne,26,-25,-53,-49,-89,-78,-70,-82,-76,-90
ne,26,-25,-49,-48,-89,-78,-70,-83,-77,-90
ne,26,-24,-49,-48,-89,-78,-70,-83,-77,-90
ne,25,-24,-49,-48,-89,-78,-70,-83,-77,-90
ne,22,-26,-49,-48,-89,-78,-70,-83,-77,-90
ne,22,-26,-49,-49,-85,-75,-70,-79,-77,-90
ne,24,-23,-49,-49,-85,-75,-70,-79,-77,-90
ne,25,-22,-49,-49,-85,-75,-70,-79,-77,-90
ne,24,-22,-49,-49,-85,-75,-70,-79,-77,-90
ne,24,-22,-49,-46,-85,-79,-68,-82,-79,-90
ne,23,-23,-49,-46,-85,-79,-68,-82,-79,-90
ne,24,-22,-49,-46,-85,-79,-68,-82,-79,-90
ne,23,-23,-49,-46,-85,-79,-68,-82,-79,-90
ne,23,-23,-48,-41,-85,-81,-68,-83,-80,-90
ne,23,-24,-48,-41,-85,-81,-68,-83,-80,-90
ne,21,-25,-48,-41,-85,-81,-68,-83,-80,-90
ne,20,-26,-48,-41,-85,-81,-68,-83,-80,-90
ne,20,-26,-48,-45,-85,-81,-68,-83,-80,-90
ne,19,-27,-48,-45,-85,-81,-68,-83,-80,-90
ne,19,-27,-55,-41,-85,-79,-68,-86,-78,-85
ne,20,-26,-55,-41,-85,-79,-68,-86,-78,-85
ne,21,-25,-55,-41,-85,-79,-68,-86,-78,-85
ne,22,-24,-55,-41,-85,-79,-68,-86,-78,-85
ne,22,-24,-51,-44,-85,-79,-68,-86,-78,-85
ne,22,-24,-51,-41,-85,-81,-68,-84,-82,-85
ne,23,-24,-51,-41,-85,-81,-68,-84,-82,-85
ne,23,-24,-46,-53,-85,-80,-65,-84,-79,-85
ne,22,-25,-46,-53,-85,-80,-65,-84,-79,-85
ne,22,-25,-42,-54,-87,-77,-65,-82,-75,-85
ne,21,-25,-42,-54,-87,-77,-65,-82,-75,-85
ne,21,-25,-50,-44,-83,-77,-65,-84,-75,-85
ne,21,-25,-48,-46,-83,-77,-65,-87,-75,-85
ne,20,-26,-48,-46,-83,-77,-65,-87,-75,-85
ne,21,-26,-48,-46,-83,-77,-65,-87,-75,-85
ne,22,-26,-48,-46,-83,-77,-65,-87,-75,-85
ne,22,-26,-48,-43,-83,-81,-65,-84,-79,-85
ne,23,-26,-48,-43,-83,-81,-65,-84,-79,-85
ne,24,-25,-48,-43,-83,-81,-65,-84,-79,-85
ne,23,-26,-48,-43,-83,-81,-65,-84,-79,-85
ne,23,-26,-52,-42,-83,-84,-65,-82,-82,-85
ne,22,-27,-52,-42,-83,-84,-65,-82,-82,-85
ne,22,-27,-55,-42,-83,-84,-65,-81,-86,-85
ne,23,-26,-55,-42,-83,-84,-65,-81,-86,-85
ne,24,-25,-54,-50,-83,-84,-65,-84,-86,-85
ne,23,-26,-54,-50,-83,-84,-65,-84,-86,-85
ne,23,-27,-54,-50,-83,-84,-65,-84,-86,-85
ne,25,-25,-55,-45,-88,-84,-65,-84,-84,-85
ne,25,-26,-55,-45,-88,-84,-65,-84,-84,-85
ne,25,-26,-53,-42,-88,-84,-65,-83,-84,-85
ne,26,-25,-53,-42,-88,-84,-65,-83,-84,-85
ne,24,-27,-53,-42,-88,-84,-65,-83,-84,-85
ne,24,-27,-52,-42,-88,-84,-65,-82,-86,-85
ne,24,-26,-52,-42,-88,-84,-65,-82,-86,-85
ne,25,-25,-52,-42,-88,-84,-65,-82,-86,-85
ne,24,-26,-52,-42,-88,-84,-65,-82,-86,-85
ne,24,-26,-62,-54,-86,-85,-65,-81,-83,-87
ne,23,-26,-62,-54,-86,-85,-65,-81,-83,-87
ne,25,-25,-62,-54,-86,-85,-65,-81,-83,-87
ne,25,-25,-61,-50,-84,-85,-70,-80,-83,-85
ne,24,-26,-61,-50,-84,-85,-70,-80,-83,-85
ne,23,-27,-61,-50,-84,-85,-70,-80,-83,-85
ne,23,-27,-52,-41,-84,-88,-70,-83,-87,-85
ne,24,-26,-52,-41,-84,-88,-70,-83,-87,-85
ne,25,-25,-52,-41,-84,-88,-70,-83,-87,-85
ne,24,-25,-52,-41,-84,-88,-70,-83,-87,-85
ne,24,-25,-51,-40,-84,-88,-70,-84,-87,-85
ne,26,-24,-51,-40,-84,-88,-70,-84,-87,-85
ne,23,-26,-51,-40,-84,-88,-70,-84,-87,-85
ne,23,-26,-51,-43,-84,-88,-70,-81,-87,-85
ne,22,-27,-51,-43,-84,-88,-70,-81,-87,-85
ne,21,-28,-51,-43,-84,-88,-70,-81,-87,-85
ne,21,-28,-57,-48,-85,-89,-70,-80,-88,-85
ne,20,-29,-57,-48,-85,-89,-70,-80,-88,-85
ne,22,-28,-57,-48,-85,-89,-70,-80,-88,-85
ne,23,-27,-57,-48,-85,-89,-70,-80,-88,-85
ne,23,-27,-52,-44,-85,-86,-70,-82,-84,-85
ne,25,-25,-52,-44,-85,-86,-70,-82,-84,-85
ne,24,-25,-52,-44,-85,-86,-70,-82,-84,-85
ne,24,-24,-52,-44,-85,-86,-70,-82,-84,-85
ne,23,-25,-56,-46,-85,-79,-71,-80,-77,-85
ne,21,-26,-56,-46,-85,-79,-71,-80,-77,-85
ne,20,-26,-56,-46,-85,-79,-71,-80,-77,-85
ne,20,-26,-61,-43,-85,-79,-71,-82,-77,-85
ne,20,-25,-61,-43,-85,-79,-71,-82,-77,-85
ne,21,-24,-61,-43,-85,-79,-71,-82,-77,-85
ne,22,-23,-61,-43,-85,-79,-71,-82,-77,-85
ne,22,-23,-57,-51,-85,-79,-71,-79,-77,-85
ne,21,-24,-57,-51,-85,-79,-71,-79,-77,-85
ne,20,-25,-57,-51,-85,-79,-71,-79,-77,-85
