@relation TestInstances

@attribute room {stube,kueche,nicola,badgross,badklein,reduit,tobias,joel,gangbad,gangeingang}
@attribute magneticY numeric
@attribute magneticZ numeric
@attribute rssValue0 numeric
@attribute rssValue1 numeric
@attribute rssValue2 numeric
@attribute rssValue3 numeric
@attribute rssValue4 numeric
@attribute rssValue5 numeric
@attribute rssValue6 numeric
@attribute rssValue7 numeric
@attribute mean numeric
@attribute rssVariance0 numeric
@attribute rssVariance1 numeric
@attribute rssVariance2 numeric
@attribute rssVariance3 numeric
@attribute rssVariance4 numeric
@attribute rssVariance5 numeric
@attribute rssVariance6 numeric
@attribute rssVariance7 numeric

@data
stube,30.299999,-41,0,9,24,24,24,24,16,16,17.125,17.125,8.125,-6.875,-6.875,-6.875,-6.875,1.125,1.125
stube,30.299999,-41,0,9,24,24,24,24,16,16,17.125,17.125,8.125,-6.875,-6.875,-6.875,-6.875,1.125,1.125
stube,30.299999,-41,0,9,24,24,24,24,16,16,17.125,17.125,8.125,-6.875,-6.875,-6.875,-6.875,1.125,1.125
stube,31.299999,-40.5,0,9,24,24,24,24,16,16,17.125,17.125,8.125,-6.875,-6.875,-6.875,-6.875,1.125,1.125
stube,31.299999,-40.5,0,9,24,24,24,24,16,16,17.125,17.125,8.125,-6.875,-6.875,-6.875,-6.875,1.125,1.125
stube,31.299999,-40.5,0,9,24,24,24,24,16,16,17.125,17.125,8.125,-6.875,-6.875,-6.875,-6.875,1.125,1.125
stube,31.299999,-40.5,0,9,24,24,24,24,16,16,17.125,17.125,8.125,-6.875,-6.875,-6.875,-6.875,1.125,1.125
stube,30.4,-41.200001,0,9,24,24,24,24,24,24,19.125,19.125,10.125,-4.875,-4.875,-4.875,-4.875,-4.875,-4.875
stube,30.4,-41.200001,0,9,24,24,24,24,24,24,19.125,19.125,10.125,-4.875,-4.875,-4.875,-4.875,-4.875,-4.875
stube,30.4,-41.200001,0,9,24,24,24,24,24,24,19.125,19.125,10.125,-4.875,-4.875,-4.875,-4.875,-4.875,-4.875
stube,30.4,-41.200001,0,9,24,24,24,24,24,24,19.125,19.125,10.125,-4.875,-4.875,-4.875,-4.875,-4.875,-4.875
stube,30.799999,-41,0,9,24,24,24,24,24,24,19.125,19.125,10.125,-4.875,-4.875,-4.875,-4.875,-4.875,-4.875
stube,30.799999,-41,0,9,24,24,24,24,24,24,19.125,19.125,10.125,-4.875,-4.875,-4.875,-4.875,-4.875,-4.875
stube,30.799999,-41,0,9,24,24,24,24,24,24,19.125,19.125,10.125,-4.875,-4.875,-4.875,-4.875,-4.875,-4.875
stube,30.799999,-41,0,9,24,24,24,24,24,24,19.125,19.125,10.125,-4.875,-4.875,-4.875,-4.875,-4.875,-4.875
stube,32.299999,-39.799999,0,9,24,24,24,24,24,24,19.125,19.125,10.125,-4.875,-4.875,-4.875,-4.875,-4.875,-4.875
stube,32.299999,-39.799999,0,9,24,24,24,24,24,24,19.125,19.125,10.125,-4.875,-4.875,-4.875,-4.875,-4.875,-4.875
stube,32.299999,-39.799999,0,9,24,24,24,24,24,24,19.125,19.125,10.125,-4.875,-4.875,-4.875,-4.875,-4.875,-4.875
stube,32.299999,-39.799999,0,9,24,24,24,24,24,24,19.125,19.125,10.125,-4.875,-4.875,-4.875,-4.875,-4.875,-4.875
stube,36.400002,-35.900002,0,9,24,24,24,24,24,24,19.125,19.125,10.125,-4.875,-4.875,-4.875,-4.875,-4.875,-4.875
stube,36.400002,-35.900002,0,9,24,24,24,24,24,24,19.125,19.125,10.125,-4.875,-4.875,-4.875,-4.875,-4.875,-4.875
stube,36.400002,-35.900002,0,9,24,24,24,24,24,24,19.125,19.125,10.125,-4.875,-4.875,-4.875,-4.875,-4.875,-4.875
stube,36.400002,-35.900002,0,12,24,24,24,24,21,21,18.75,18.75,6.75,-5.25,-5.25,-5.25,-5.25,-2.25,-2.25
stube,37.099998,-34.700001,0,12,24,24,24,24,21,21,18.75,18.75,6.75,-5.25,-5.25,-5.25,-5.25,-2.25,-2.25
stube,37.099998,-34.700001,0,12,24,24,24,24,21,21,18.75,18.75,6.75,-5.25,-5.25,-5.25,-5.25,-2.25,-2.25
stube,37.099998,-34.700001,0,12,24,24,24,24,21,21,18.75,18.75,6.75,-5.25,-5.25,-5.25,-5.25,-2.25,-2.25
stube,37.099998,-34.700001,0,12,24,24,24,24,21,21,18.75,18.75,6.75,-5.25,-5.25,-5.25,-5.25,-2.25,-2.25
stube,39.5,-30.9,0,12,24,24,24,24,21,21,18.75,18.75,6.75,-5.25,-5.25,-5.25,-5.25,-2.25,-2.25
stube,39.5,-30.9,0,12,24,24,24,24,21,21,18.75,18.75,6.75,-5.25,-5.25,-5.25,-5.25,-2.25,-2.25
stube,39.5,-30.9,0,12,24,24,24,24,21,21,18.75,18.75,6.75,-5.25,-5.25,-5.25,-5.25,-2.25,-2.25
stube,39.5,-30.9,0,12,24,24,24,24,21,21,18.75,18.75,6.75,-5.25,-5.25,-5.25,-5.25,-2.25,-2.25
stube,38.599998,-31.200001,0,12,24,24,24,24,21,21,18.75,18.75,6.75,-5.25,-5.25,-5.25,-5.25,-2.25,-2.25
stube,38.599998,-31.200001,0,12,24,24,24,24,21,21,18.75,18.75,6.75,-5.25,-5.25,-5.25,-5.25,-2.25,-2.25
stube,38.599998,-31.200001,0,12,24,24,24,24,21,21,18.75,18.75,6.75,-5.25,-5.25,-5.25,-5.25,-2.25,-2.25
stube,38.599998,-31.200001,0,12,24,24,24,24,21,21,18.75,18.75,6.75,-5.25,-5.25,-5.25,-5.25,-2.25,-2.25
stube,36.299999,-33.400002,0,12,24,24,24,24,21,21,18.75,18.75,6.75,-5.25,-5.25,-5.25,-5.25,-2.25,-2.25
stube,36.299999,-33.400002,0,11,23,23,23,23,20,20,17.875,17.875,6.875,-5.125,-5.125,-5.125,-5.125,-2.125,-2.125
stube,36.299999,-33.400002,0,8,8,19,19,19,19,19,13.875,13.875,5.875,5.875,-5.125,-5.125,-5.125,-5.125,-5.125
stube,36.299999,-33.400002,0,8,8,19,19,19,19,19,13.875,13.875,5.875,5.875,-5.125,-5.125,-5.125,-5.125,-5.125
stube,34.099998,-34.900002,0,8,8,19,19,19,19,19,13.875,13.875,5.875,5.875,-5.125,-5.125,-5.125,-5.125,-5.125
stube,34.099998,-34.900002,0,8,8,19,19,19,19,19,13.875,13.875,5.875,5.875,-5.125,-5.125,-5.125,-5.125,-5.125
stube,34.099998,-34.900002,0,8,8,19,19,19,19,19,13.875,13.875,5.875,5.875,-5.125,-5.125,-5.125,-5.125,-5.125
stube,34.099998,-34.900002,0,8,8,19,19,19,19,19,13.875,13.875,5.875,5.875,-5.125,-5.125,-5.125,-5.125,-5.125
stube,30.6,-37.099998,0,8,8,19,19,19,19,19,13.875,13.875,5.875,5.875,-5.125,-5.125,-5.125,-5.125,-5.125
stube,30.6,-37.099998,0,8,8,19,19,19,19,19,13.875,13.875,5.875,5.875,-5.125,-5.125,-5.125,-5.125,-5.125
stube,30.6,-37.099998,0,8,8,19,19,19,19,19,13.875,13.875,5.875,5.875,-5.125,-5.125,-5.125,-5.125,-5.125
stube,30.6,-37.099998,0,8,8,19,19,19,19,19,13.875,13.875,5.875,5.875,-5.125,-5.125,-5.125,-5.125,-5.125
stube,28.700001,-37.599998,0,8,8,19,19,19,19,19,13.875,13.875,5.875,5.875,-5.125,-5.125,-5.125,-5.125,-5.125
stube,28.700001,-37.599998,0,8,8,19,19,19,19,19,13.875,13.875,5.875,5.875,-5.125,-5.125,-5.125,-5.125,-5.125
stube,28.700001,-37.599998,0,8,8,19,19,19,19,19,13.875,13.875,5.875,5.875,-5.125,-5.125,-5.125,-5.125,-5.125
stube,28.700001,-37.599998,1,0,0,15,15,15,20,20,10.75,9.75,10.75,10.75,-4.25,-4.25,-4.25,-9.25,-9.25
stube,29.200001,-36.299999,1,0,0,15,15,15,20,20,10.75,9.75,10.75,10.75,-4.25,-4.25,-4.25,-9.25,-9.25
stube,29.200001,-36.299999,1,0,0,15,15,15,20,20,10.75,9.75,10.75,10.75,-4.25,-4.25,-4.25,-9.25,-9.25
stube,29.200001,-36.299999,1,0,0,15,15,15,20,20,10.75,9.75,10.75,10.75,-4.25,-4.25,-4.25,-9.25,-9.25
stube,29.200001,-36.299999,1,0,0,15,15,15,20,20,10.75,9.75,10.75,10.75,-4.25,-4.25,-4.25,-9.25,-9.25
stube,28.799999,-35.700001,1,0,0,15,15,15,20,20,10.75,9.75,10.75,10.75,-4.25,-4.25,-4.25,-9.25,-9.25
stube,28.799999,-35.700001,1,0,0,15,15,15,20,20,10.75,9.75,10.75,10.75,-4.25,-4.25,-4.25,-9.25,-9.25
stube,28.799999,-35.700001,1,0,0,15,15,15,20,20,10.75,9.75,10.75,10.75,-4.25,-4.25,-4.25,-9.25,-9.25
stube,28.799999,-35.700001,1,0,0,15,15,15,20,20,10.75,9.75,10.75,10.75,-4.25,-4.25,-4.25,-9.25,-9.25
stube,25.5,-37.799999,1,0,0,15,15,15,20,20,10.75,9.75,10.75,10.75,-4.25,-4.25,-4.25,-9.25,-9.25
stube,25.5,-37.799999,1,0,0,15,15,15,20,20,10.75,9.75,10.75,10.75,-4.25,-4.25,-4.25,-9.25,-9.25
stube,25.5,-37.799999,1,0,0,15,15,15,20,20,10.75,9.75,10.75,10.75,-4.25,-4.25,-4.25,-9.25,-9.25
stube,25.5,-37.799999,1,0,0,15,15,15,20,20,10.75,9.75,10.75,10.75,-4.25,-4.25,-4.25,-9.25,-9.25
stube,21.5,-39.599998,1,0,0,15,15,15,20,20,10.75,9.75,10.75,10.75,-4.25,-4.25,-4.25,-9.25,-9.25
stube,21.5,-39.599998,1,0,0,15,15,15,20,20,10.75,9.75,10.75,10.75,-4.25,-4.25,-4.25,-9.25,-9.25
stube,21.5,-39.599998,1,0,0,10,10,10,29,29,11.125,10.125,11.125,11.125,1.125,1.125,1.125,-17.875,-17.875
stube,21.5,-39.599998,1,0,0,10,10,10,29,29,11.125,10.125,11.125,11.125,1.125,1.125,1.125,-17.875,-17.875
stube,18.6,-40.200001,1,0,0,10,10,10,29,29,11.125,10.125,11.125,11.125,1.125,1.125,1.125,-17.875,-17.875
stube,18.6,-40.200001,1,0,0,10,10,10,29,29,11.125,10.125,11.125,11.125,1.125,1.125,1.125,-17.875,-17.875
stube,18.6,-40.200001,1,0,0,10,10,10,29,29,11.125,10.125,11.125,11.125,1.125,1.125,1.125,-17.875,-17.875
stube,18.6,-40.200001,1,0,0,10,10,10,29,29,11.125,10.125,11.125,11.125,1.125,1.125,1.125,-17.875,-17.875
stube,18.5,-39.5,1,0,0,10,10,10,29,29,11.125,10.125,11.125,11.125,1.125,1.125,1.125,-17.875,-17.875
stube,18.5,-39.5,1,0,0,10,10,10,29,29,11.125,10.125,11.125,11.125,1.125,1.125,1.125,-17.875,-17.875
stube,18.5,-39.5,1,0,0,10,10,10,29,29,11.125,10.125,11.125,11.125,1.125,1.125,1.125,-17.875,-17.875
stube,18.5,-39.5,1,0,0,10,10,10,29,29,11.125,10.125,11.125,11.125,1.125,1.125,1.125,-17.875,-17.875
stube,18.1,-39,1,0,0,10,10,10,29,29,11.125,10.125,11.125,11.125,1.125,1.125,1.125,-17.875,-17.875
stube,18.1,-39,1,0,0,10,10,10,29,29,11.125,10.125,11.125,11.125,1.125,1.125,1.125,-17.875,-17.875
stube,18.1,-39,1,0,0,10,10,10,29,29,11.125,10.125,11.125,11.125,1.125,1.125,1.125,-17.875,-17.875
stube,18.1,-39,2,0,30,30,30,30,30,30,22.75,20.75,22.75,-7.25,-7.25,-7.25,-7.25,-7.25,-7.25
stube,18.5,-38.200001,2,0,30,30,30,30,30,30,22.75,20.75,22.75,-7.25,-7.25,-7.25,-7.25,-7.25,-7.25
stube,18.5,-38.200001,2,0,30,30,30,30,30,30,22.75,20.75,22.75,-7.25,-7.25,-7.25,-7.25,-7.25,-7.25
stube,18.5,-38.200001,2,0,30,30,30,30,30,30,22.75,20.75,22.75,-7.25,-7.25,-7.25,-7.25,-7.25,-7.25
stube,18.5,-38.200001,2,0,30,30,30,30,30,30,22.75,20.75,22.75,-7.25,-7.25,-7.25,-7.25,-7.25,-7.25
stube,19.299999,-37.200001,2,0,30,30,30,30,30,30,22.75,20.75,22.75,-7.25,-7.25,-7.25,-7.25,-7.25,-7.25
stube,19.299999,-37.200001,2,0,30,30,30,30,30,30,22.75,20.75,22.75,-7.25,-7.25,-7.25,-7.25,-7.25,-7.25
stube,19.299999,-37.200001,2,0,30,30,30,30,30,30,22.75,20.75,22.75,-7.25,-7.25,-7.25,-7.25,-7.25,-7.25
stube,19.299999,-37.200001,2,0,30,30,30,30,30,30,22.75,20.75,22.75,-7.25,-7.25,-7.25,-7.25,-7.25,-7.25
stube,20.200001,-36.099998,2,0,30,30,30,30,30,30,22.75,20.75,22.75,-7.25,-7.25,-7.25,-7.25,-7.25,-7.25
stube,20.200001,-36.099998,2,0,30,30,30,30,30,30,22.75,20.75,22.75,-7.25,-7.25,-7.25,-7.25,-7.25,-7.25
stube,20.200001,-36.099998,2,0,30,30,30,30,30,30,22.75,20.75,22.75,-7.25,-7.25,-7.25,-7.25,-7.25,-7.25
stube,20.200001,-36.099998,2,0,30,30,30,30,30,30,22.75,20.75,22.75,-7.25,-7.25,-7.25,-7.25,-7.25,-7.25
stube,20,-35.599998,2,0,30,30,30,30,30,30,22.75,20.75,22.75,-7.25,-7.25,-7.25,-7.25,-7.25,-7.25
stube,20,-35.599998,2,0,30,30,30,30,30,30,22.75,20.75,22.75,-7.25,-7.25,-7.25,-7.25,-7.25,-7.25
stube,20,-35.599998,1,0,29,29,29,29,29,29,21.875,20.875,21.875,-7.125,-7.125,-7.125,-7.125,-7.125,-7.125
stube,20,-35.599998,1,0,29,29,29,29,29,29,21.875,20.875,21.875,-7.125,-7.125,-7.125,-7.125,-7.125,-7.125
stube,19.200001,-35.5,1,0,29,29,29,29,29,29,21.875,20.875,21.875,-7.125,-7.125,-7.125,-7.125,-7.125,-7.125
stube,19.200001,-35.5,1,0,29,29,29,29,29,29,21.875,20.875,21.875,-7.125,-7.125,-7.125,-7.125,-7.125,-7.125
stube,19.200001,-35.5,1,0,29,29,29,29,29,29,21.875,20.875,21.875,-7.125,-7.125,-7.125,-7.125,-7.125,-7.125
stube,19.200001,-35.5,1,0,29,29,29,29,29,29,21.875,20.875,21.875,-7.125,-7.125,-7.125,-7.125,-7.125,-7.125
stube,16.4,-36.400002,1,0,29,29,29,29,29,29,21.875,20.875,21.875,-7.125,-7.125,-7.125,-7.125,-7.125,-7.125
stube,16.4,-36.400002,1,0,29,29,29,29,29,29,21.875,20.875,21.875,-7.125,-7.125,-7.125,-7.125,-7.125,-7.125
stube,16.4,-36.400002,1,0,29,29,29,29,29,29,21.875,20.875,21.875,-7.125,-7.125,-7.125,-7.125,-7.125,-7.125
stube,16.4,-36.400002,1,0,29,29,29,29,29,29,21.875,20.875,21.875,-7.125,-7.125,-7.125,-7.125,-7.125,-7.125
stube,16.6,-35.900002,1,0,29,29,29,29,29,29,21.875,20.875,21.875,-7.125,-7.125,-7.125,-7.125,-7.125,-7.125
stube,16.6,-35.900002,1,0,29,29,29,29,29,29,21.875,20.875,21.875,-7.125,-7.125,-7.125,-7.125,-7.125,-7.125
stube,16.6,-35.900002,1,0,29,29,29,29,29,29,21.875,20.875,21.875,-7.125,-7.125,-7.125,-7.125,-7.125,-7.125
stube,16.6,-35.900002,1,0,29,29,29,29,29,29,21.875,20.875,21.875,-7.125,-7.125,-7.125,-7.125,-7.125,-7.125
stube,16.6,-35.5,1,0,29,29,29,29,29,29,21.875,20.875,21.875,-7.125,-7.125,-7.125,-7.125,-7.125,-7.125
stube,16.6,-35.5,8,0,36,36,36,36,36,36,28,20,28,-8,-8,-8,-8,-8,-8
stube,16.6,-35.5,8,0,36,36,36,36,36,36,28,20,28,-8,-8,-8,-8,-8,-8
stube,16.6,-35.5,8,0,36,36,36,36,36,36,28,20,28,-8,-8,-8,-8,-8,-8
stube,16.799999,-35.200001,8,0,36,36,36,36,36,36,28,20,28,-8,-8,-8,-8,-8,-8
stube,16.799999,-35.200001,8,0,36,36,36,36,36,36,28,20,28,-8,-8,-8,-8,-8,-8
stube,16.799999,-35.200001,8,0,36,36,36,36,36,36,28,20,28,-8,-8,-8,-8,-8,-8
stube,16.799999,-35.200001,8,0,36,36,36,36,36,36,28,20,28,-8,-8,-8,-8,-8,-8
stube,16.799999,-35.099998,8,0,36,36,36,36,36,36,28,20,28,-8,-8,-8,-8,-8,-8
stube,16.799999,-35.099998,8,0,36,36,36,36,36,36,28,20,28,-8,-8,-8,-8,-8,-8
stube,16.799999,-35.099998,8,0,36,36,36,36,36,36,28,20,28,-8,-8,-8,-8,-8,-8
stube,16.799999,-35.099998,8,0,36,36,36,36,36,36,28,20,28,-8,-8,-8,-8,-8,-8
stube,16.299999,-35.299999,8,0,36,36,36,36,36,36,28,20,28,-8,-8,-8,-8,-8,-8
stube,16.299999,-35.299999,8,0,36,36,36,36,36,36,28,20,28,-8,-8,-8,-8,-8,-8
stube,16.299999,-35.299999,8,0,36,36,36,36,36,36,28,20,28,-8,-8,-8,-8,-8,-8
stube,16.299999,-35.299999,8,0,36,36,36,36,36,36,28,20,28,-8,-8,-8,-8,-8,-8
stube,15.9,-35.400002,8,0,36,36,36,36,36,36,28,20,28,-8,-8,-8,-8,-8,-8
stube,15.9,-35.400002,8,0,36,36,36,36,36,36,28,20,28,-8,-8,-8,-8,-8,-8
stube,15.9,-35.400002,8,0,36,36,36,36,36,36,28,20,28,-8,-8,-8,-8,-8,-8
stube,15.9,-35.400002,8,0,36,36,36,36,36,36,28,20,28,-8,-8,-8,-8,-8,-8
stube,16.1,-35.200001,8,0,36,36,36,36,36,36,28,20,28,-8,-8,-8,-8,-8,-8
stube,16.1,-35.200001,8,0,36,36,36,36,36,36,28,20,28,-8,-8,-8,-8,-8,-8
stube,16.1,-35.200001,8,0,36,36,36,36,36,36,28,20,28,-8,-8,-8,-8,-8,-8
stube,16.1,-35.200001,8,0,36,36,36,36,36,36,28,20,28,-8,-8,-8,-8,-8,-8
stube,13.6,-36.099998,8,0,36,36,36,36,36,36,28,20,28,-8,-8,-8,-8,-8,-8
stube,13.6,-36.099998,8,0,36,36,36,36,36,36,28,20,28,-8,-8,-8,-8,-8,-8
stube,13.6,-36.099998,8,0,36,36,36,36,36,36,28,20,28,-8,-8,-8,-8,-8,-8
stube,13.6,-36.099998,8,0,36,36,36,36,36,36,28,20,28,-8,-8,-8,-8,-8,-8
stube,13.3,-36,8,0,36,36,36,36,36,36,28,20,28,-8,-8,-8,-8,-8,-8
stube,13.3,-36,8,0,36,36,36,36,36,36,28,20,28,-8,-8,-8,-8,-8,-8
stube,13.3,-36,8,0,36,36,36,36,36,36,28,20,28,-8,-8,-8,-8,-8,-8
stube,13.3,-36,8,0,36,36,36,36,36,36,28,20,28,-8,-8,-8,-8,-8,-8
stube,18.1,-33.5,8,0,36,36,36,36,36,36,28,20,28,-8,-8,-8,-8,-8,-8
stube,18.1,-33.5,8,0,36,36,36,36,36,36,28,20,28,-8,-8,-8,-8,-8,-8
stube,18.1,-33.5,8,0,36,36,36,36,36,36,28,20,28,-8,-8,-8,-8,-8,-8
stube,18.1,-33.5,8,0,36,36,36,36,36,36,28,20,28,-8,-8,-8,-8,-8,-8
stube,18.6,-32.599998,8,0,36,36,36,36,36,36,28,20,28,-8,-8,-8,-8,-8,-8
stube,18.6,-32.599998,4,0,32,32,32,32,32,32,24.5,20.5,24.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5
stube,18.6,-32.599998,4,0,32,32,32,32,32,32,24.5,20.5,24.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5
stube,18.6,-32.599998,4,0,32,32,32,32,32,32,24.5,20.5,24.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5
stube,20.5,-30.4,4,0,32,32,32,32,32,32,24.5,20.5,24.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5
stube,20.5,-30.4,4,0,32,32,32,32,32,32,24.5,20.5,24.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5
stube,20.5,-30.4,4,0,32,32,32,32,32,32,24.5,20.5,24.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5
stube,20.5,-30.4,4,0,32,32,32,32,32,32,24.5,20.5,24.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5
stube,18.6,-30.5,4,0,32,32,32,32,32,32,24.5,20.5,24.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5
stube,18.6,-30.5,4,0,32,32,32,32,32,32,24.5,20.5,24.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5
stube,18.6,-30.5,4,0,32,32,32,32,32,32,24.5,20.5,24.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5
stube,18.6,-30.5,4,0,32,32,32,32,32,32,24.5,20.5,24.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5
stube,17.4,-30.299999,4,0,32,32,32,32,32,32,24.5,20.5,24.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5
stube,17.4,-30.299999,4,0,32,32,32,32,32,32,24.5,20.5,24.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5
stube,17.4,-30.299999,4,0,32,32,32,32,32,32,24.5,20.5,24.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5
stube,17.4,-30.299999,7,0,35,35,35,35,35,35,27.125,20.125,27.125,-7.875,-7.875,-7.875,-7.875,-7.875,-7.875
stube,16.200001,-30,7,0,35,35,35,35,35,35,27.125,20.125,27.125,-7.875,-7.875,-7.875,-7.875,-7.875,-7.875
stube,16.200001,-30,7,0,35,35,35,35,35,35,27.125,20.125,27.125,-7.875,-7.875,-7.875,-7.875,-7.875,-7.875
stube,16.200001,-30,7,0,35,35,35,35,35,35,27.125,20.125,27.125,-7.875,-7.875,-7.875,-7.875,-7.875,-7.875
stube,16.200001,-30,7,0,35,35,35,35,35,35,27.125,20.125,27.125,-7.875,-7.875,-7.875,-7.875,-7.875,-7.875
stube,15.9,-29.200001,7,0,35,35,35,35,35,35,27.125,20.125,27.125,-7.875,-7.875,-7.875,-7.875,-7.875,-7.875
stube,15.9,-29.200001,7,0,35,35,35,35,35,35,27.125,20.125,27.125,-7.875,-7.875,-7.875,-7.875,-7.875,-7.875
stube,15.9,-29.200001,7,0,35,35,35,35,35,35,27.125,20.125,27.125,-7.875,-7.875,-7.875,-7.875,-7.875,-7.875
stube,15.9,-29.200001,7,0,35,35,35,35,35,35,27.125,20.125,27.125,-7.875,-7.875,-7.875,-7.875,-7.875,-7.875
stube,14.2,-29.200001,7,0,35,35,35,35,35,35,27.125,20.125,27.125,-7.875,-7.875,-7.875,-7.875,-7.875,-7.875
stube,14.2,-29.200001,7,0,35,35,35,35,35,35,27.125,20.125,27.125,-7.875,-7.875,-7.875,-7.875,-7.875,-7.875
stube,14.2,-29.200001,7,0,35,35,35,35,35,35,27.125,20.125,27.125,-7.875,-7.875,-7.875,-7.875,-7.875,-7.875
