@relation TestInstances

@attribute room {wc,301,302,304,306,307,gang}
@attribute magneticY numeric
@attribute magneticZ numeric
@attribute rssValue0 numeric
@attribute rssValue1 numeric
@attribute rssValue2 numeric
@attribute rssValue3 numeric
@attribute rssValue4 numeric
@attribute rssValue5 numeric
@attribute rssValue6 numeric
@attribute rssValue7 numeric
@attribute mean numeric
@attribute rssVariance0 numeric
@attribute rssVariance1 numeric
@attribute rssVariance2 numeric
@attribute rssVariance3 numeric
@attribute rssVariance4 numeric
@attribute rssVariance5 numeric
@attribute rssVariance6 numeric
@attribute rssVariance7 numeric

@data
wc,22.4,-32.700001,24,33,0,0,0,0,49,49,19.375,-4.625,-13.625,19.375,19.375,19.375,19.375,-29.625,-29.625
wc,22.4,-32.700001,24,33,0,0,0,0,49,49,19.375,-4.625,-13.625,19.375,19.375,19.375,19.375,-29.625,-29.625
wc,22.4,-32.700001,24,33,0,0,0,0,49,49,19.375,-4.625,-13.625,19.375,19.375,19.375,19.375,-29.625,-29.625
wc,23.9,-32.400002,24,33,0,0,0,0,49,49,19.375,-4.625,-13.625,19.375,19.375,19.375,19.375,-29.625,-29.625
wc,23.9,-32.400002,24,33,0,0,0,0,49,49,19.375,-4.625,-13.625,19.375,19.375,19.375,19.375,-29.625,-29.625
wc,23.9,-32.400002,24,33,0,0,0,0,49,49,19.375,-4.625,-13.625,19.375,19.375,19.375,19.375,-29.625,-29.625
wc,23.9,-32.400002,24,33,0,0,0,0,49,49,19.375,-4.625,-13.625,19.375,19.375,19.375,19.375,-29.625,-29.625
wc,25.299999,-32.099998,24,33,0,0,0,0,49,49,19.375,-4.625,-13.625,19.375,19.375,19.375,19.375,-29.625,-29.625
wc,25.299999,-32.099998,24,33,0,0,0,0,49,49,19.375,-4.625,-13.625,19.375,19.375,19.375,19.375,-29.625,-29.625
wc,25.299999,-32.099998,24,33,0,0,0,0,49,49,19.375,-4.625,-13.625,19.375,19.375,19.375,19.375,-29.625,-29.625
wc,25.299999,-32.099998,24,33,0,0,0,0,49,49,19.375,-4.625,-13.625,19.375,19.375,19.375,19.375,-29.625,-29.625
wc,26.799999,-31.5,24,33,0,0,0,0,49,49,19.375,-4.625,-13.625,19.375,19.375,19.375,19.375,-29.625,-29.625
wc,26.799999,-31.5,24,33,0,0,0,0,49,49,19.375,-4.625,-13.625,19.375,19.375,19.375,19.375,-29.625,-29.625
wc,26.799999,-31.5,24,33,0,0,0,0,49,49,19.375,-4.625,-13.625,19.375,19.375,19.375,19.375,-29.625,-29.625
wc,26.799999,-31.5,24,33,0,0,0,0,49,49,19.375,-4.625,-13.625,19.375,19.375,19.375,19.375,-29.625,-29.625
wc,27.9,-31.1,24,33,0,0,0,0,49,49,19.375,-4.625,-13.625,19.375,19.375,19.375,19.375,-29.625,-29.625
wc,27.9,-31.1,24,33,0,0,0,0,49,49,19.375,-4.625,-13.625,19.375,19.375,19.375,19.375,-29.625,-29.625
wc,27.9,-31.1,24,33,0,0,0,0,49,49,19.375,-4.625,-13.625,19.375,19.375,19.375,19.375,-29.625,-29.625
wc,27.9,-31.1,24,33,0,0,0,0,49,49,19.375,-4.625,-13.625,19.375,19.375,19.375,19.375,-29.625,-29.625
