@relation TestInstances

@attribute room {stube,gang}
@attribute magneticY numeric
@attribute magneticZ numeric
@attribute rssValue0 numeric
@attribute rssValue1 numeric
@attribute rssValue2 numeric
@attribute rssValue3 numeric
@attribute rssValue4 numeric
@attribute rssValue5 numeric
@attribute rssValue6 numeric
@attribute rssValue7 numeric
@attribute mean numeric
@attribute rssVariance0 numeric
@attribute rssVariance1 numeric
@attribute rssVariance2 numeric
@attribute rssVariance3 numeric
@attribute rssVariance4 numeric
@attribute rssVariance5 numeric
@attribute rssVariance6 numeric
@attribute rssVariance7 numeric

@data
stube,21.200001,-43.599998,0,15,39,39,39,39,39,39,31.125,31.125,16.125,-7.875,-7.875,-7.875,-7.875,-7.875,-7.875
stube,21.200001,-43.599998,0,15,39,39,39,39,39,39,31.125,31.125,16.125,-7.875,-7.875,-7.875,-7.875,-7.875,-7.875
stube,21.299999,-43.299999,0,15,39,39,39,39,39,39,31.125,31.125,16.125,-7.875,-7.875,-7.875,-7.875,-7.875,-7.875
stube,21.299999,-43.299999,0,15,39,39,39,39,39,39,31.125,31.125,16.125,-7.875,-7.875,-7.875,-7.875,-7.875,-7.875
stube,21.299999,-43.299999,0,15,39,39,39,39,39,39,31.125,31.125,16.125,-7.875,-7.875,-7.875,-7.875,-7.875,-7.875
stube,21.299999,-43.299999,0,15,39,39,39,39,39,39,31.125,31.125,16.125,-7.875,-7.875,-7.875,-7.875,-7.875,-7.875
stube,20.700001,-43.400002,0,15,39,39,39,39,39,39,31.125,31.125,16.125,-7.875,-7.875,-7.875,-7.875,-7.875,-7.875
stube,20.700001,-43.400002,0,15,39,39,39,39,39,39,31.125,31.125,16.125,-7.875,-7.875,-7.875,-7.875,-7.875,-7.875
stube,20.700001,-43.400002,0,15,39,39,39,39,39,39,31.125,31.125,16.125,-7.875,-7.875,-7.875,-7.875,-7.875,-7.875
stube,20.700001,-43.400002,0,15,39,39,39,39,39,39,31.125,31.125,16.125,-7.875,-7.875,-7.875,-7.875,-7.875,-7.875
