@relation TestInstances

@attribute room {stube,gang}
@attribute magneticY numeric
@attribute magneticZ numeric
@attribute rssValue0 numeric
@attribute rssValue1 numeric
@attribute rssValue2 numeric
@attribute rssValue3 numeric
@attribute rssValue4 numeric
@attribute rssValue5 numeric
@attribute rssValue6 numeric
@attribute rssValue7 numeric
@attribute mean numeric
@attribute rssVariance0 numeric
@attribute rssVariance1 numeric
@attribute rssVariance2 numeric
@attribute rssVariance3 numeric
@attribute rssVariance4 numeric
@attribute rssVariance5 numeric
@attribute rssVariance6 numeric
@attribute rssVariance7 numeric

@data
stube,20.7,-37.1,0,10,10,31,31,31,31,31,21.875,21.875,11.875,11.875,-9.125,-9.125,-9.125,-9.125,-9.125
stube,20.7,-37,0,10,10,31,31,31,31,31,21.875,21.875,11.875,11.875,-9.125,-9.125,-9.125,-9.125,-9.125
stube,20.7,-37,0,10,10,10,11,11,11,11,9.25,9.25,-0.75,-0.75,-0.75,-1.75,-1.75,-1.75,-1.75
stube,20.8,-36.9,0,10,10,10,11,11,11,11,9.25,9.25,-0.75,-0.75,-0.75,-1.75,-1.75,-1.75,-1.75
stube,20.7,-37.1,0,10,10,10,11,11,11,11,9.25,9.25,-0.75,-0.75,-0.75,-1.75,-1.75,-1.75,-1.75
stube,20.2,-37.4,0,10,10,10,11,11,11,11,9.25,9.25,-0.75,-0.75,-0.75,-1.75,-1.75,-1.75,-1.75
stube,20.3,-37.4,0,10,10,10,11,11,11,11,9.25,9.25,-0.75,-0.75,-0.75,-1.75,-1.75,-1.75,-1.75
stube,20.3,-37.4,0,7,7,20,20,20,20,20,14.25,14.25,7.25,7.25,-5.75,-5.75,-5.75,-5.75,-5.75
stube,19.8,-37.7,0,7,7,20,20,20,20,20,14.25,14.25,7.25,7.25,-5.75,-5.75,-5.75,-5.75,-5.75
stube,20.4,-37.5,0,7,7,20,20,20,20,20,14.25,14.25,7.25,7.25,-5.75,-5.75,-5.75,-5.75,-5.75
stube,21.1,-37.3,0,7,7,20,20,20,20,20,14.25,14.25,7.25,7.25,-5.75,-5.75,-5.75,-5.75,-5.75
stube,21.1,-37.3,0,11,11,24,24,24,24,24,17.75,17.75,6.75,6.75,-6.25,-6.25,-6.25,-6.25,-6.25
stube,22,-36.9,0,11,11,24,24,24,24,24,17.75,17.75,6.75,6.75,-6.25,-6.25,-6.25,-6.25,-6.25
stube,22.5,-36.6,0,11,11,24,24,24,24,24,17.75,17.75,6.75,6.75,-6.25,-6.25,-6.25,-6.25,-6.25
stube,23.1,-36.2,0,11,11,24,24,24,24,24,17.75,17.75,6.75,6.75,-6.25,-6.25,-6.25,-6.25,-6.25
stube,23.1,-36.2,0,8,8,24,24,24,28,28,18,18,10,10,-6,-6,-6,-10,-10
stube,23,-36.3,0,8,8,24,24,24,28,28,18,18,10,10,-6,-6,-6,-10,-10
stube,21.9,-37,0,8,8,24,24,24,28,28,18,18,10,10,-6,-6,-6,-10,-10
stube,21.8,-37.1,0,8,8,24,24,24,28,28,18,18,10,10,-6,-6,-6,-10,-10
stube,21.2,-37.4,0,8,8,24,24,24,28,28,18,18,10,10,-6,-6,-6,-10,-10
stube,21.2,-37.4,0,10,10,20,20,20,28,28,17,17,7,7,-3,-3,-3,-11,-11
stube,20.4,-37.9,0,10,10,20,20,20,28,28,17,17,7,7,-3,-3,-3,-11,-11
stube,19.7,-38.2,0,10,10,20,20,20,28,28,17,17,7,7,-3,-3,-3,-11,-11
stube,20.3,-37.9,0,10,10,20,20,20,28,28,17,17,7,7,-3,-3,-3,-11,-11
stube,21.4,-37.3,0,10,10,25,25,25,28,28,18.875,18.875,8.875,8.875,-6.125,-6.125,-6.125,-9.125,-9.125
stube,21.8,-36.9,0,10,10,25,25,25,28,28,18.875,18.875,8.875,8.875,-6.125,-6.125,-6.125,-9.125,-9.125
stube,21.3,-37,0,10,10,25,25,25,28,28,18.875,18.875,8.875,8.875,-6.125,-6.125,-6.125,-9.125,-9.125
stube,21.1,-37,0,10,10,25,25,25,28,28,18.875,18.875,8.875,8.875,-6.125,-6.125,-6.125,-9.125,-9.125
stube,21.1,-37,0,10,10,27,27,27,28,28,19.625,19.625,9.625,9.625,-7.375,-7.375,-7.375,-8.375,-8.375
stube,20.1,-37.5,0,10,10,27,27,27,28,28,19.625,19.625,9.625,9.625,-7.375,-7.375,-7.375,-8.375,-8.375
stube,19.2,-37.9,0,10,10,27,27,27,28,28,19.625,19.625,9.625,9.625,-7.375,-7.375,-7.375,-8.375,-8.375
stube,19.1,-37.9,0,10,10,27,27,27,28,28,19.625,19.625,9.625,9.625,-7.375,-7.375,-7.375,-8.375,-8.375
stube,19.1,-37.9,0,14,28,28,28,28,28,28,22.75,22.75,8.75,-5.25,-5.25,-5.25,-5.25,-5.25,-5.25
stube,20.3,-37.2,0,14,28,28,28,28,28,28,22.75,22.75,8.75,-5.25,-5.25,-5.25,-5.25,-5.25,-5.25
stube,21,-36.9,0,14,28,28,28,28,28,28,22.75,22.75,8.75,-5.25,-5.25,-5.25,-5.25,-5.25,-5.25
stube,21,-37,0,14,28,28,28,28,28,28,22.75,22.75,8.75,-5.25,-5.25,-5.25,-5.25,-5.25,-5.25
stube,21,-37,0,17,27,27,27,27,27,27,22.375,22.375,5.375,-4.625,-4.625,-4.625,-4.625,-4.625,-4.625
stube,21.5,-36.8,0,17,27,27,27,27,27,27,22.375,22.375,5.375,-4.625,-4.625,-4.625,-4.625,-4.625,-4.625
stube,21.1,-37.2,0,17,27,27,27,27,27,27,22.375,22.375,5.375,-4.625,-4.625,-4.625,-4.625,-4.625,-4.625
stube,20.7,-37.4,0,17,27,27,27,27,27,27,22.375,22.375,5.375,-4.625,-4.625,-4.625,-4.625,-4.625,-4.625
stube,20.7,-37.4,0,12,27,27,27,27,27,27,21.75,21.75,9.75,-5.25,-5.25,-5.25,-5.25,-5.25,-5.25
stube,20.6,-37.6,0,12,27,27,27,27,27,27,21.75,21.75,9.75,-5.25,-5.25,-5.25,-5.25,-5.25,-5.25
stube,21,-37.4,0,12,27,27,27,27,27,27,21.75,21.75,9.75,-5.25,-5.25,-5.25,-5.25,-5.25,-5.25
stube,21,-37.5,0,12,27,27,27,27,27,27,21.75,21.75,9.75,-5.25,-5.25,-5.25,-5.25,-5.25,-5.25
stube,21.1,-37.5,0,9,27,27,27,27,27,27,21.375,21.375,12.375,-5.625,-5.625,-5.625,-5.625,-5.625,-5.625
stube,21.6,-37.2,0,9,27,27,27,27,27,27,21.375,21.375,12.375,-5.625,-5.625,-5.625,-5.625,-5.625,-5.625
stube,21.3,-37.4,0,9,27,27,27,27,27,27,21.375,21.375,12.375,-5.625,-5.625,-5.625,-5.625,-5.625,-5.625
stube,21,-37.6,0,9,27,27,27,27,27,27,21.375,21.375,12.375,-5.625,-5.625,-5.625,-5.625,-5.625,-5.625
stube,21,-37.6,0,8,27,27,27,27,27,27,21.25,21.25,13.25,-5.75,-5.75,-5.75,-5.75,-5.75,-5.75
stube,21,-37.5,0,8,27,27,27,27,27,27,21.25,21.25,13.25,-5.75,-5.75,-5.75,-5.75,-5.75,-5.75
stube,20.7,-37.6,0,8,27,27,27,27,27,27,21.25,21.25,13.25,-5.75,-5.75,-5.75,-5.75,-5.75,-5.75
stube,20,-38,0,8,27,27,27,27,27,27,21.25,21.25,13.25,-5.75,-5.75,-5.75,-5.75,-5.75,-5.75
stube,19.7,-38.1,0,8,27,27,27,27,27,27,21.25,21.25,13.25,-5.75,-5.75,-5.75,-5.75,-5.75,-5.75
stube,19.8,-37.9,0,8,27,27,27,27,27,27,21.25,21.25,13.25,-5.75,-5.75,-5.75,-5.75,-5.75,-5.75
stube,19.8,-37.7,0,8,27,27,27,27,27,27,21.25,21.25,13.25,-5.75,-5.75,-5.75,-5.75,-5.75,-5.75
stube,19.7,-37.7,0,8,27,27,27,27,27,27,21.25,21.25,13.25,-5.75,-5.75,-5.75,-5.75,-5.75,-5.75
stube,19.7,-37.7,0,8,26,26,26,26,26,26,20.5,20.5,12.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5
stube,19.8,-37.6,0,8,26,26,26,26,26,26,20.5,20.5,12.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5
stube,18.6,-38.1,0,8,26,26,26,26,26,26,20.5,20.5,12.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5
stube,18.3,-38.1,0,8,26,26,26,26,26,26,20.5,20.5,12.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5
stube,18.3,-38.1,0,6,26,26,26,26,26,26,20.25,20.25,14.25,-5.75,-5.75,-5.75,-5.75,-5.75,-5.75
stube,17.9,-38.2,0,6,26,26,26,26,26,26,20.25,20.25,14.25,-5.75,-5.75,-5.75,-5.75,-5.75,-5.75
stube,18.1,-38.1,0,6,26,26,26,26,26,26,20.25,20.25,14.25,-5.75,-5.75,-5.75,-5.75,-5.75,-5.75
stube,18.5,-37.9,0,6,26,26,26,26,26,26,20.25,20.25,14.25,-5.75,-5.75,-5.75,-5.75,-5.75,-5.75
stube,18.5,-37.9,0,8,8,17,17,17,17,17,12.625,12.625,4.625,4.625,-4.375,-4.375,-4.375,-4.375,-4.375
stube,19,-37.7,0,8,8,17,17,17,17,17,12.625,12.625,4.625,4.625,-4.375,-4.375,-4.375,-4.375,-4.375
stube,19.9,-37.2,0,8,8,17,17,17,17,17,12.625,12.625,4.625,4.625,-4.375,-4.375,-4.375,-4.375,-4.375
stube,21.3,-36.3,0,8,8,17,17,17,17,17,12.625,12.625,4.625,4.625,-4.375,-4.375,-4.375,-4.375,-4.375
stube,22,-35.9,0,5,5,17,17,17,17,17,11.875,11.875,6.875,6.875,-5.125,-5.125,-5.125,-5.125,-5.125
stube,21.4,-36.2,0,5,5,17,17,17,17,17,11.875,11.875,6.875,6.875,-5.125,-5.125,-5.125,-5.125,-5.125
stube,19.8,-37.2,0,5,5,17,17,17,17,17,11.875,11.875,6.875,6.875,-5.125,-5.125,-5.125,-5.125,-5.125
stube,18.1,-38,0,5,5,17,17,17,17,17,11.875,11.875,6.875,6.875,-5.125,-5.125,-5.125,-5.125,-5.125
stube,18.1,-38,0,5,5,22,22,22,23,23,15.25,15.25,10.25,10.25,-6.75,-6.75,-6.75,-7.75,-7.75
stube,17.1,-38.4,0,5,5,22,22,22,23,23,15.25,15.25,10.25,10.25,-6.75,-6.75,-6.75,-7.75,-7.75
stube,17.7,-38.2,0,5,5,22,22,22,23,23,15.25,15.25,10.25,10.25,-6.75,-6.75,-6.75,-7.75,-7.75
stube,17.8,-38.1,0,5,5,22,22,22,23,23,15.25,15.25,10.25,10.25,-6.75,-6.75,-6.75,-7.75,-7.75
stube,17.8,-38.1,0,4,4,21,21,21,22,22,14.375,14.375,10.375,10.375,-6.625,-6.625,-6.625,-7.625,-7.625
stube,18.1,-38,0,4,4,21,21,21,22,22,14.375,14.375,10.375,10.375,-6.625,-6.625,-6.625,-7.625,-7.625
stube,18.1,-38,0,2,2,15,15,15,20,20,11.125,11.125,9.125,9.125,-3.875,-3.875,-3.875,-8.875,-8.875
stube,19.1,-37.6,0,2,2,15,15,15,20,20,11.125,11.125,9.125,9.125,-3.875,-3.875,-3.875,-8.875,-8.875
stube,20.8,-36.8,0,2,2,15,15,15,20,20,11.125,11.125,9.125,9.125,-3.875,-3.875,-3.875,-8.875,-8.875
stube,21.8,-36.3,0,2,2,15,15,15,20,20,11.125,11.125,9.125,9.125,-3.875,-3.875,-3.875,-8.875,-8.875
stube,21.8,-36.3,0,4,4,14,14,14,20,20,11.25,11.25,7.25,7.25,-2.75,-2.75,-2.75,-8.75,-8.75
stube,21.3,-36.7,0,4,4,14,14,14,20,20,11.25,11.25,7.25,7.25,-2.75,-2.75,-2.75,-8.75,-8.75
stube,20.9,-37.1,0,4,4,14,14,14,20,20,11.25,11.25,7.25,7.25,-2.75,-2.75,-2.75,-8.75,-8.75
stube,19.4,-38,0,4,4,14,14,14,20,20,11.25,11.25,7.25,7.25,-2.75,-2.75,-2.75,-8.75,-8.75
stube,19.4,-38,0,10,25,25,25,25,25,25,20,20,10,-5,-5,-5,-5,-5,-5
stube,18,-38.8,0,10,25,25,25,25,25,25,20,20,10,-5,-5,-5,-5,-5,-5
stube,17.9,-39,0,10,25,25,25,25,25,25,20,20,10,-5,-5,-5,-5,-5,-5
stube,18.3,-38.9,0,10,25,25,25,25,25,25,20,20,10,-5,-5,-5,-5,-5,-5
stube,18.9,-38.7,0,10,25,25,25,25,25,25,20,20,10,-5,-5,-5,-5,-5,-5
stube,18.9,-38.7,0,1,25,25,25,25,25,25,18.875,18.875,17.875,-6.125,-6.125,-6.125,-6.125,-6.125,-6.125
stube,18.4,-39,0,1,25,25,25,25,25,25,18.875,18.875,17.875,-6.125,-6.125,-6.125,-6.125,-6.125,-6.125
stube,18.5,-39,0,1,25,25,25,25,25,25,18.875,18.875,17.875,-6.125,-6.125,-6.125,-6.125,-6.125,-6.125
stube,19.1,-38.7,0,1,25,25,25,25,25,25,18.875,18.875,17.875,-6.125,-6.125,-6.125,-6.125,-6.125,-6.125
stube,19.1,-38.7,0,5,25,25,25,25,25,25,19.375,19.375,14.375,-5.625,-5.625,-5.625,-5.625,-5.625,-5.625
stube,19.2,-38.7,0,5,25,25,25,25,25,25,19.375,19.375,14.375,-5.625,-5.625,-5.625,-5.625,-5.625,-5.625
stube,19.1,-38.8,0,5,25,25,25,25,25,25,19.375,19.375,14.375,-5.625,-5.625,-5.625,-5.625,-5.625,-5.625
stube,19.3,-38.7,0,5,25,25,25,25,25,25,19.375,19.375,14.375,-5.625,-5.625,-5.625,-5.625,-5.625,-5.625
stube,19.3,-38.7,0,8,28,28,28,28,28,28,22,22,14,-6,-6,-6,-6,-6,-6
