@relation TestInstances

@attribute room {stube,kueche,nicola,badgross,badklein,reduit,tobias,joel,gangbad,gangeingang}
@attribute magneticY numeric
@attribute magneticZ numeric
@attribute rssValue0 numeric
@attribute rssValue1 numeric
@attribute rssValue2 numeric
@attribute rssValue3 numeric
@attribute rssValue4 numeric
@attribute rssValue5 numeric
@attribute rssValue6 numeric
@attribute rssValue7 numeric
@attribute mean numeric
@attribute rssVariance0 numeric
@attribute rssVariance1 numeric
@attribute rssVariance2 numeric
@attribute rssVariance3 numeric
@attribute rssVariance4 numeric
@attribute rssVariance5 numeric
@attribute rssVariance6 numeric
@attribute rssVariance7 numeric

@data
stube,29.1,-40.400002,0,10,37,37,37,37,37,37,29,29,19,-8,-8,-8,-8,-8,-8
stube,29.1,-40.400002,0,20,37,37,37,37,37,37,30.25,30.25,10.25,-6.75,-6.75,-6.75,-6.75,-6.75,-6.75
stube,29.1,-40.400002,0,20,37,37,37,37,37,37,30.25,30.25,10.25,-6.75,-6.75,-6.75,-6.75,-6.75,-6.75
stube,28,-41.200001,0,20,37,37,37,37,37,37,30.25,30.25,10.25,-6.75,-6.75,-6.75,-6.75,-6.75,-6.75
stube,28,-41.200001,0,20,37,37,37,37,37,37,30.25,30.25,10.25,-6.75,-6.75,-6.75,-6.75,-6.75,-6.75
stube,28,-41.200001,0,20,37,37,37,37,37,37,30.25,30.25,10.25,-6.75,-6.75,-6.75,-6.75,-6.75,-6.75
stube,28,-41.200001,0,20,37,37,37,37,37,37,30.25,30.25,10.25,-6.75,-6.75,-6.75,-6.75,-6.75,-6.75
stube,26.6,-42.299999,0,20,37,37,37,37,37,37,30.25,30.25,10.25,-6.75,-6.75,-6.75,-6.75,-6.75,-6.75
stube,26.6,-42.299999,0,20,37,37,37,37,37,37,30.25,30.25,10.25,-6.75,-6.75,-6.75,-6.75,-6.75,-6.75
stube,26.6,-42.299999,0,20,37,37,37,37,37,37,30.25,30.25,10.25,-6.75,-6.75,-6.75,-6.75,-6.75,-6.75
stube,26.6,-42.299999,0,20,37,37,37,37,37,37,30.25,30.25,10.25,-6.75,-6.75,-6.75,-6.75,-6.75,-6.75
stube,25.799999,-42.900002,0,20,37,37,37,37,37,37,30.25,30.25,10.25,-6.75,-6.75,-6.75,-6.75,-6.75,-6.75
stube,25.799999,-42.900002,0,20,37,37,37,37,37,37,30.25,30.25,10.25,-6.75,-6.75,-6.75,-6.75,-6.75,-6.75
stube,25.799999,-42.900002,0,20,37,37,37,37,37,37,30.25,30.25,10.25,-6.75,-6.75,-6.75,-6.75,-6.75,-6.75
stube,25.799999,-42.900002,0,20,37,37,37,37,37,37,30.25,30.25,10.25,-6.75,-6.75,-6.75,-6.75,-6.75,-6.75
stube,28,-41.5,0,20,37,37,37,37,37,37,30.25,30.25,10.25,-6.75,-6.75,-6.75,-6.75,-6.75,-6.75
stube,28,-41.5,0,20,37,37,37,37,37,37,30.25,30.25,10.25,-6.75,-6.75,-6.75,-6.75,-6.75,-6.75
stube,28,-41.5,0,20,37,37,37,37,37,37,30.25,30.25,10.25,-6.75,-6.75,-6.75,-6.75,-6.75,-6.75
stube,28,-41.5,0,20,37,37,37,37,37,37,30.25,30.25,10.25,-6.75,-6.75,-6.75,-6.75,-6.75,-6.75
stube,30.4,-39.700001,0,20,37,37,37,37,37,37,30.25,30.25,10.25,-6.75,-6.75,-6.75,-6.75,-6.75,-6.75
stube,30.4,-39.700001,0,20,37,37,37,37,37,37,30.25,30.25,10.25,-6.75,-6.75,-6.75,-6.75,-6.75,-6.75
stube,30.4,-39.700001,0,20,37,37,37,37,37,37,30.25,30.25,10.25,-6.75,-6.75,-6.75,-6.75,-6.75,-6.75
stube,30.4,-39.700001,0,20,37,37,37,37,37,37,30.25,30.25,10.25,-6.75,-6.75,-6.75,-6.75,-6.75,-6.75
stube,31.9,-38.400002,0,20,37,37,37,37,37,37,30.25,30.25,10.25,-6.75,-6.75,-6.75,-6.75,-6.75,-6.75
stube,31.9,-38.400002,0,20,37,37,37,37,37,37,30.25,30.25,10.25,-6.75,-6.75,-6.75,-6.75,-6.75,-6.75
stube,31.9,-38.400002,0,20,37,37,37,37,37,37,30.25,30.25,10.25,-6.75,-6.75,-6.75,-6.75,-6.75,-6.75
stube,31.9,-38.400002,0,20,37,37,37,37,37,37,30.25,30.25,10.25,-6.75,-6.75,-6.75,-6.75,-6.75,-6.75
stube,34.099998,-36.5,0,20,37,37,37,37,37,37,30.25,30.25,10.25,-6.75,-6.75,-6.75,-6.75,-6.75,-6.75
