@relation TestInstances

@attribute room {stube,gang}
@attribute magneticY numeric
@attribute magneticZ numeric
@attribute rssValue0 numeric
@attribute rssValue1 numeric
@attribute rssValue2 numeric
@attribute rssValue3 numeric
@attribute rssValue4 numeric
@attribute rssValue5 numeric
@attribute rssValue6 numeric
@attribute rssValue7 numeric
@attribute mean numeric
@attribute rssVariance0 numeric
@attribute rssVariance1 numeric
@attribute rssVariance2 numeric
@attribute rssVariance3 numeric
@attribute rssVariance4 numeric
@attribute rssVariance5 numeric
@attribute rssVariance6 numeric
@attribute rssVariance7 numeric

@data
stube,18.7,-39,0,15,39,39,39,39,27,27,28.125,28.125,13.125,-10.875,-10.875,-10.875,-10.875,1.125,1.125
stube,18.7,-39,0,17,41,41,41,41,29,29,29.875,29.875,12.875,-11.125,-11.125,-11.125,-11.125,0.875,0.875
stube,19.8,-38.3,0,17,41,41,41,41,29,29,29.875,29.875,12.875,-11.125,-11.125,-11.125,-11.125,0.875,0.875
stube,19.8,-38.3,0,20,41,41,41,41,34,34,31.5,31.5,11.5,-9.5,-9.5,-9.5,-9.5,-2.5,-2.5
stube,21.1,-37.5,0,20,41,41,41,41,34,34,31.5,31.5,11.5,-9.5,-9.5,-9.5,-9.5,-2.5,-2.5
stube,22.2,-36.9,0,20,41,41,41,41,34,34,31.5,31.5,11.5,-9.5,-9.5,-9.5,-9.5,-2.5,-2.5
stube,22.6,-36.6,0,23,41,41,41,41,34,34,31.875,31.875,8.875,-9.125,-9.125,-9.125,-9.125,-2.125,-2.125
stube,22.1,-37,0,23,41,41,41,41,34,34,31.875,31.875,8.875,-9.125,-9.125,-9.125,-9.125,-2.125,-2.125
stube,22,-37,0,23,41,41,41,41,34,34,31.875,31.875,8.875,-9.125,-9.125,-9.125,-9.125,-2.125,-2.125
stube,22.6,-36.7,0,23,41,41,41,41,34,34,31.875,31.875,8.875,-9.125,-9.125,-9.125,-9.125,-2.125,-2.125
stube,22.6,-36.7,0,30,41,41,41,41,34,34,32.75,32.75,2.75,-8.25,-8.25,-8.25,-8.25,-1.25,-1.25
stube,23.2,-36.3,0,30,41,41,41,41,34,34,32.75,32.75,2.75,-8.25,-8.25,-8.25,-8.25,-1.25,-1.25
stube,22.7,-36.7,0,30,41,41,41,41,34,34,32.75,32.75,2.75,-8.25,-8.25,-8.25,-8.25,-1.25,-1.25
stube,22.2,-37.1,0,30,41,41,41,41,34,34,32.75,32.75,2.75,-8.25,-8.25,-8.25,-8.25,-1.25,-1.25
stube,21.4,-37.6,0,30,41,41,41,41,34,34,32.75,32.75,2.75,-8.25,-8.25,-8.25,-8.25,-1.25,-1.25
stube,21.4,-37.6,0,27,41,41,41,41,34,34,32.375,32.375,5.375,-8.625,-8.625,-8.625,-8.625,-1.625,-1.625
stube,21.9,-37.3,0,27,41,41,41,41,34,34,32.375,32.375,5.375,-8.625,-8.625,-8.625,-8.625,-1.625,-1.625
stube,22.1,-37.2,0,27,41,41,41,41,34,34,32.375,32.375,5.375,-8.625,-8.625,-8.625,-8.625,-1.625,-1.625
stube,21.4,-37.6,0,27,41,41,41,41,34,34,32.375,32.375,5.375,-8.625,-8.625,-8.625,-8.625,-1.625,-1.625
stube,21.4,-37.6,0,23,41,41,41,41,37,37,32.625,32.625,9.625,-8.375,-8.375,-8.375,-8.375,-4.375,-4.375
stube,19.7,-38.5,0,23,41,41,41,41,37,37,32.625,32.625,9.625,-8.375,-8.375,-8.375,-8.375,-4.375,-4.375
stube,20.3,-38.1,0,23,41,41,41,41,37,37,32.625,32.625,9.625,-8.375,-8.375,-8.375,-8.375,-4.375,-4.375
stube,20,-38.2,0,23,41,41,41,41,37,37,32.625,32.625,9.625,-8.375,-8.375,-8.375,-8.375,-4.375,-4.375
stube,20.5,-38,0,23,41,41,41,41,37,37,32.625,32.625,9.625,-8.375,-8.375,-8.375,-8.375,-4.375,-4.375
