@relation TestInstances

@attribute room {marius,joel,stube}
@attribute rss0 numeric
@attribute rss1 numeric
@attribute rss2 numeric
@attribute rss3 numeric
@attribute rss4 numeric
@attribute rss5 numeric
@attribute rss6 numeric
@attribute light numeric
@attribute pressure numeric

@data
marius,-68,-68,-68,-68,-68,-68,-68,1,959.40271
marius,-70,-70,-70,-70,-70,-70,-70,2,959.222778
marius,-65,-65,-65,-65,-65,-65,-65,2,959.312744
marius,-61,-61,-61,-61,-61,-61,-61,1,959.282776
marius,-62,-62,-62,-62,-62,-62,-62,1,959.19281
marius,-58,-58,-58,-58,-58,-58,-58,2,959.222778
marius,-63,-63,-63,-63,-63,-63,-63,1,959.282776
marius,-56,-56,-56,-56,-56,-56,-56,1,959.102844
marius,-69,-69,-69,-69,-69,-69,-69,1,959.1828
marius,-71,-71,-71,-71,-71,-71,-71,1,959.1828
marius,-71,-71,-71,-71,-71,-71,-71,1,959.242798
marius,-67,-67,-67,-67,-67,-67,-67,1,959.212769
marius,-67,-67,-67,-67,-67,-67,-67,1,959.242798
marius,-62,-62,-62,-62,-62,-62,-62,1,959.132813
marius,-61,-61,-61,-61,-61,-61,-61,1,959.212769
marius,-58,-58,-58,-58,-58,-58,-58,1,959.1828
marius,-56,-56,-56,-56,-56,-56,-56,1,959.212769
marius,-63,-63,-63,-63,-63,-63,-63,1,959.242798
marius,-62,-62,-62,-62,-62,-62,-62,0,959.212769
marius,-62,-62,-62,-62,-62,-62,-62,1,959.272766
marius,-61,-61,-61,-61,-61,-61,-61,1,959.242798
marius,-65,-65,-65,-65,-65,-65,-65,1,959.242798
marius,-60,-60,-60,-60,-60,-60,-60,1,959.242798
marius,-57,-57,-57,-57,-57,-57,-57,1,959.1828
marius,-57,-57,-57,-57,-57,-57,-57,1,959.272766
marius,-53,-53,-53,-53,-53,-53,-53,1,959.1828
marius,-57,-57,-57,-57,-57,-57,-57,1,959.242798
marius,-57,-57,-57,-57,-57,-57,-57,1,959.272766
marius,-58,-58,-58,-58,-58,-58,-58,2,959.302734
marius,-56,-56,-56,-56,-56,-56,-56,3,959.072876
marius,-61,-61,-61,-61,-61,-61,-61,4,959.1828
marius,-59,-59,-59,-59,-59,-59,-59,55,959.132813
marius,-60,-60,-60,-60,-60,-60,-60,71,959.242798
marius,-61,-61,-61,-61,-61,-61,-61,33,959.242798
marius,-64,-64,-64,-64,-64,-64,-64,12,959.1828
marius,-66,-66,-66,-66,-66,-66,-66,6,959.272766
marius,-65,-65,-65,-65,-65,-65,-65,3,959.132813
marius,-60,-60,-60,-60,-60,-60,-60,2,959.212769
marius,-65,-65,-65,-65,-65,-65,-65,2,959.1828
marius,-65,-65,-65,-65,-65,-65,-65,2,959.102844
marius,-60,-60,-60,-60,-60,-60,-60,1,959.132813
marius,-60,-60,-60,-60,-60,-60,-60,1,959.272766
marius,-67,-67,-67,-67,-67,-67,-67,1,959.212769
marius,-63,-63,-63,-63,-63,-63,-63,1,959.212769
marius,-63,-63,-63,-63,-63,-63,-63,1,959.272766
marius,-57,-57,-57,-57,-57,-57,-57,1,959.1828
marius,-61,-61,-61,-61,-61,-61,-61,1,959.272766
marius,-64,-64,-64,-64,-64,-64,-64,1,959.212769
marius,-61,-61,-61,-61,-61,-61,-61,1,959.272766
marius,-61,-61,-61,-61,-61,-61,-61,1,959.212769
marius,-58,-58,-58,-58,-58,-58,-58,1,959.272766
marius,-58,-58,-58,-58,-58,-58,-58,0,959.212769
marius,-56,-56,-56,-56,-56,-56,-56,1,959.272766
marius,-66,-66,-66,-66,-66,-66,-66,0,959.212769
marius,-58,-58,-58,-58,-58,-58,-58,0,959.242798
marius,-59,-59,-59,-59,-59,-59,-59,0,959.242798
marius,-58,-58,-58,-58,-58,-58,-58,1,959.1828
marius,-53,-53,-53,-53,-53,-53,-53,0,959.242798
marius,-52,-52,-52,-52,-52,-52,-52,0,959.1828
marius,-56,-56,-56,-56,-56,-56,-56,0,959.1828
marius,-52,-52,-52,-52,-52,-52,-52,0,959.102844
marius,-52,-52,-52,-52,-52,-52,-52,0,959.132813
joel,-55,-55,-55,-55,-55,-55,-55,1,959.252808
joel,-54,-54,-54,-54,-54,-54,-54,1,959.142822
joel,-59,-59,-59,-59,-59,-59,-59,1,959.142822
joel,-55,-55,-55,-55,-55,-55,-55,1,959.112854
joel,-55,-55,-55,-55,-55,-55,-55,1,959.252808
joel,-55,-55,-55,-55,-55,-55,-55,1,959.282776
joel,-49,-49,-49,-49,-49,-49,-49,1,959.282776
joel,-65,-65,-65,-65,-65,-65,-65,1,959.102844
joel,-47,-47,-47,-47,-47,-47,-47,2,959.312744
joel,-55,-55,-55,-55,-55,-55,-55,4,959.332764
joel,-50,-50,-50,-50,-50,-50,-50,4,959.332764
joel,-55,-55,-55,-55,-55,-55,-55,3,959.212769
joel,-50,-50,-50,-50,-50,-50,-50,3,959.1828
joel,-50,-50,-50,-50,-50,-50,-50,2,959.212769
joel,-47,-47,-47,-47,-47,-47,-47,1,959.212769
joel,-47,-47,-47,-47,-47,-47,-47,1,959.252808
joel,-47,-47,-47,-47,-47,-47,-47,1,959.222778
joel,-49,-49,-49,-49,-49,-49,-49,1,959.282776
joel,-57,-57,-57,-57,-57,-57,-57,1,959.222778
joel,-56,-56,-56,-56,-56,-56,-56,1,959.19281
joel,-57,-57,-57,-57,-57,-57,-57,1,959.19281
joel,-54,-54,-54,-54,-54,-54,-54,1,959.19281
joel,-55,-55,-55,-55,-55,-55,-55,1,959.252808
joel,-58,-58,-58,-58,-58,-58,-58,1,959.222778
joel,-65,-65,-65,-65,-65,-65,-65,1,959.19281
joel,-69,-69,-69,-69,-69,-69,-69,1,959.252808
joel,-66,-66,-66,-66,-66,-66,-66,1,959.282776
joel,-58,-58,-58,-58,-58,-58,-58,1,959.282776
joel,-54,-54,-54,-54,-54,-54,-54,3,959.252808
joel,-57,-57,-57,-57,-57,-57,-57,8,959.252808
joel,-68,-68,-68,-68,-68,-68,-68,4,959.282776
