@relation TestInstances

@attribute room {door,wall,kitchen,window,center}
@attribute magneticY numeric
@attribute magneticZ numeric
@attribute rssValue0 numeric
@attribute rssValue1 numeric
@attribute rssValue2 numeric
@attribute rssValue3 numeric
@attribute rssValue4 numeric
@attribute rssValue5 numeric
@attribute rssValue6 numeric
@attribute rssValue7 numeric

@data
door,21,-45,-49,-75,-65,-77,0,0,0,0
door,20,-46,-49,-75,-65,-77,0,0,0,0
door,19,-46,-49,-75,-65,-77,0,0,0,0
door,21,-46,-49,-75,-65,-77,0,0,0,0
door,20,-46,-49,-75,-65,-77,0,0,0,0
door,19,-47,-49,-75,-65,-77,0,0,0,0
door,18,-47,-49,-75,-65,-77,0,0,0,0
door,18,-46,-49,-75,-65,-77,0,0,0,0
door,19,-46,-49,-75,-65,-77,0,0,0,0
door,20,-46,-49,-75,-65,-77,0,0,0,0
door,21,-46,-49,-75,-65,-77,0,0,0,0
door,23,-46,-49,-75,-65,-77,0,0,0,0
door,26,-45,-49,-75,-65,-77,0,0,0,0
door,28,-46,-49,-75,-65,-77,0,0,0,0
door,32,-46,-49,-75,-65,-77,0,0,0,0
door,36,-45,-49,-75,-65,-77,0,0,0,0
door,37,-48,-49,-75,-65,-77,0,0,0,0
door,39,-48,-49,-75,-65,-77,0,0,0,0
door,41,-48,-49,-75,-65,-77,0,0,0,0
door,42,-49,-49,-75,-65,-77,0,0,0,0
door,41,-49,-49,-75,-65,-77,0,0,0,0
door,41,-49,-57,-73,-61,-73,0,0,0,0
door,40,-48,-57,-73,-61,-73,0,0,0,0
door,39,-48,-57,-73,-61,-73,0,0,0,0
door,36,-48,-57,-73,-61,-73,0,0,0,0
door,34,-47,-57,-73,-61,-73,0,0,0,0
door,34,-47,-49,-74,-61,-74,0,0,0,0
door,32,-47,-49,-74,-61,-74,0,0,0,0
door,30,-47,-49,-74,-61,-74,0,0,0,0
door,29,-46,-49,-74,-61,-74,0,0,0,0
door,30,-45,-49,-74,-61,-74,0,0,0,0
door,31,-45,-49,-74,-61,-74,0,0,0,0
door,32,-44,-49,-74,-61,-74,0,0,0,0
door,34,-44,-49,-74,-61,-74,0,0,0,0
door,36,-43,-49,-74,-61,-74,0,0,0,0
door,37,-44,-49,-74,-61,-74,0,0,0,0
door,38,-44,-49,-74,-61,-74,0,0,0,0
door,38,-43,-49,-74,-61,-74,0,0,0,0
door,37,-43,-49,-74,-61,-74,0,0,0,0
door,35,-44,-49,-74,-61,-74,0,0,0,0
door,34,-43,-49,-74,-61,-74,0,0,0,0
door,33,-43,-49,-74,-61,-74,0,0,0,0
door,32,-43,-49,-74,-61,-74,0,0,0,0
door,31,-43,-49,-74,-61,-74,0,0,0,0
door,31,-42,-49,-74,-61,-74,0,0,0,0
door,30,-42,-49,-74,-61,-74,0,0,0,0
door,31,-41,-49,-74,-61,-74,0,0,0,0
door,31,-42,-49,-74,-61,-74,0,0,0,0
door,32,-42,-49,-74,-61,-74,0,0,0,0
door,34,-41,-49,-74,-61,-74,0,0,0,0
door,35,-40,-49,-74,-61,-74,0,0,0,0
door,36,-40,-49,-74,-61,-74,0,0,0,0
door,36,-41,-49,-74,-61,-74,0,0,0,0
door,35,-41,-49,-74,-61,-74,0,0,0,0
door,33,-42,-49,-74,-61,-74,0,0,0,0
door,32,-42,-49,-74,-61,-74,0,0,0,0
door,31,-42,-49,-74,-61,-74,0,0,0,0
door,30,-41,-49,-74,-61,-74,0,0,0,0
door,29,-41,-49,-74,-61,-74,0,0,0,0
door,30,-41,-49,-74,-61,-74,0,0,0,0
door,30,-40,-49,-74,-61,-74,0,0,0,0
door,30,-41,-49,-74,-61,-74,0,0,0,0
door,31,-40,-49,-74,-61,-74,0,0,0,0
door,32,-40,-49,-74,-61,-74,0,0,0,0
door,33,-40,-49,-74,-61,-74,0,0,0,0
door,34,-39,-49,-74,-61,-74,0,0,0,0
door,34,-39,-43,-74,-61,-74,0,0,0,0
door,35,-39,-43,-74,-61,-74,0,0,0,0
door,35,-40,-43,-74,-61,-74,0,0,0,0
door,34,-40,-43,-74,-61,-74,0,0,0,0
door,32,-41,-43,-74,-61,-74,0,0,0,0
door,32,-40,-43,-74,-61,-74,0,0,0,0
door,31,-40,-43,-74,-61,-74,0,0,0,0
door,30,-40,-43,-74,-61,-74,0,0,0,0
door,29,-40,-43,-74,-61,-74,0,0,0,0
door,30,-40,-43,-74,-61,-74,0,0,0,0
door,31,-40,-43,-74,-61,-74,0,0,0,0
door,32,-41,-43,-74,-61,-74,0,0,0,0
door,34,-40,-43,-74,-61,-74,0,0,0,0
door,35,-40,-43,-74,-61,-74,0,0,0,0
door,35,-41,-43,-74,-61,-74,0,0,0,0
door,34,-42,-43,-74,-61,-74,0,0,0,0
door,34,-41,-43,-74,-61,-74,0,0,0,0
door,32,-42,-43,-74,-61,-74,0,0,0,0
door,33,-41,-43,-74,-61,-74,0,0,0,0
door,33,-40,-43,-74,-61,-74,0,0,0,0
door,31,-41,-43,-74,-61,-74,0,0,0,0
door,30,-41,-43,-74,-61,-74,0,0,0,0
door,31,-40,-43,-74,-61,-74,0,0,0,0
door,31,-41,-43,-74,-61,-74,0,0,0,0
door,32,-41,-43,-74,-61,-74,0,0,0,0
door,33,-41,-43,-74,-61,-74,0,0,0,0
door,34,-41,-43,-74,-61,-74,0,0,0,0
door,36,-40,-43,-74,-61,-74,0,0,0,0
door,37,-40,-43,-74,-61,-74,0,0,0,0
door,38,-40,-43,-74,-61,-74,0,0,0,0
door,37,-41,-43,-74,-61,-74,0,0,0,0
door,36,-41,-43,-74,-61,-74,0,0,0,0
door,35,-41,-43,-74,-61,-74,0,0,0,0
door,35,-40,-43,-74,-61,-74,0,0,0,0
door,34,-40,-43,-74,-61,-74,0,0,0,0
door,32,-41,-43,-74,-61,-74,0,0,0,0
door,32,-41,-55,-74,-61,-78,0,0,0,0
door,31,-41,-55,-74,-61,-78,0,0,0,0
door,30,-40,-55,-74,-61,-78,0,0,0,0
door,31,-40,-55,-74,-61,-78,0,0,0,0
door,32,-40,-55,-74,-61,-78,0,0,0,0
door,34,-39,-55,-74,-61,-78,0,0,0,0
door,34,-39,-55,-66,-61,-76,0,0,0,0
door,36,-39,-55,-66,-61,-76,0,0,0,0
door,38,-39,-55,-66,-61,-76,0,0,0,0
door,40,-40,-55,-66,-61,-76,0,0,0,0
door,44,-39,-55,-66,-61,-76,0,0,0,0
door,47,-38,-55,-66,-61,-76,0,0,0,0
door,51,-36,-55,-66,-61,-76,0,0,0,0
door,52,-36,-55,-66,-61,-76,0,0,0,0
door,51,-38,-55,-66,-61,-76,0,0,0,0
door,50,-39,-55,-66,-61,-76,0,0,0,0
door,48,-40,-55,-66,-61,-76,0,0,0,0
door,46,-40,-55,-66,-61,-76,0,0,0,0
door,44,-40,-55,-66,-61,-76,0,0,0,0
door,40,-40,-55,-66,-61,-76,0,0,0,0
door,39,-40,-55,-66,-61,-76,0,0,0,0
door,37,-39,-55,-66,-61,-76,0,0,0,0
door,34,-40,-55,-66,-61,-76,0,0,0,0
door,33,-40,-55,-66,-61,-76,0,0,0,0
door,31,-40,-55,-66,-61,-76,0,0,0,0
door,31,-39,-55,-66,-61,-76,0,0,0,0
door,32,-40,-55,-66,-61,-76,0,0,0,0
door,31,-42,-55,-66,-61,-76,0,0,0,0
door,34,-41,-55,-66,-61,-76,0,0,0,0
door,36,-41,-55,-66,-61,-76,0,0,0,0
door,38,-40,-55,-66,-61,-76,0,0,0,0
door,39,-40,-55,-66,-61,-76,0,0,0,0
door,39,-41,-55,-66,-61,-76,0,0,0,0
door,37,-41,-55,-66,-61,-76,0,0,0,0
door,35,-41,-55,-66,-61,-76,0,0,0,0
door,34,-41,-55,-66,-61,-76,0,0,0,0
door,32,-41,-55,-66,-61,-76,0,0,0,0
door,31,-41,-55,-66,-61,-76,0,0,0,0
door,30,-41,-55,-66,-61,-76,0,0,0,0
door,28,-41,-55,-66,-61,-76,0,0,0,0
door,27,-41,-55,-66,-61,-76,0,0,0,0
door,28,-41,-55,-66,-61,-76,0,0,0,0
door,28,-40,-55,-66,-61,-76,0,0,0,0
door,28,-39,-55,-66,-61,-76,0,0,0,0
door,29,-38,-55,-66,-61,-76,0,0,0,0
door,31,-36,-55,-66,-61,-76,0,0,0,0
door,32,-35,-55,-66,-61,-76,0,0,0,0
door,33,-34,-55,-66,-61,-76,0,0,0,0
door,32,-34,-55,-66,-61,-76,0,0,0,0
door,31,-35,-55,-66,-61,-76,0,0,0,0
door,30,-36,-55,-66,-61,-76,0,0,0,0
door,29,-36,-55,-66,-61,-76,0,0,0,0
door,28,-37,-55,-66,-61,-76,0,0,0,0
door,27,-37,-55,-66,-61,-76,0,0,0,0
door,26,-38,-55,-66,-61,-76,0,0,0,0
door,25,-39,-55,-66,-61,-76,0,0,0,0
door,24,-39,-55,-66,-61,-76,0,0,0,0
door,24,-40,-55,-66,-61,-76,0,0,0,0
door,25,-39,-55,-66,-61,-76,0,0,0,0
door,24,-39,-55,-66,-61,-76,0,0,0,0
door,24,-38,-55,-66,-61,-76,0,0,0,0
door,23,-38,-55,-66,-61,-76,0,0,0,0
door,22,-39,-55,-66,-61,-76,0,0,0,0
door,21,-39,-55,-66,-61,-76,0,0,0,0
door,21,-40,-55,-66,-61,-76,0,0,0,0
door,22,-40,-55,-66,-61,-76,0,0,0,0
door,19,-42,-55,-66,-61,-76,0,0,0,0
door,17,-42,-55,-66,-61,-76,0,0,0,0
door,16,-42,-55,-66,-61,-76,0,0,0,0
door,15,-42,-55,-66,-61,-76,0,0,0,0
door,14,-42,-55,-66,-61,-76,0,0,0,0
door,13,-42,-55,-66,-61,-76,0,0,0,0
door,14,-42,-55,-66,-61,-76,0,0,0,0
door,16,-41,-55,-66,-61,-76,0,0,0,0
door,18,-41,-55,-66,-61,-76,0,0,0,0
door,19,-41,-55,-66,-61,-76,0,0,0,0
door,20,-41,-55,-66,-61,-76,0,0,0,0
door,21,-41,-55,-66,-61,-76,0,0,0,0
door,21,-42,-55,-66,-61,-76,0,0,0,0
door,22,-43,-55,-66,-61,-76,0,0,0,0
door,23,-44,-55,-66,-61,-76,0,0,0,0
door,24,-44,-55,-66,-61,-76,0,0,0,0
door,23,-46,-55,-66,-61,-76,0,0,0,0
door,23,-47,-55,-66,-61,-76,0,0,0,0
door,24,-48,-55,-66,-61,-76,0,0,0,0
door,23,-49,-55,-66,-61,-76,0,0,0,0
door,22,-49,-55,-66,-61,-76,0,0,0,0
door,22,-48,-55,-66,-61,-76,0,0,0,0
door,22,-47,-55,-66,-61,-76,0,0,0,0
door,22,-46,-55,-66,-61,-76,0,0,0,0
door,23,-45,-55,-66,-61,-76,0,0,0,0
door,23,-44,-55,-66,-61,-76,0,0,0,0
door,23,-43,-55,-66,-61,-76,0,0,0,0
door,22,-43,-55,-66,-61,-76,0,0,0,0
door,21,-43,-55,-66,-61,-76,0,0,0,0
door,22,-42,-55,-66,-61,-76,0,0,0,0
door,22,-41,-55,-66,-61,-76,0,0,0,0
door,21,-41,-55,-66,-61,-76,0,0,0,0
door,20,-42,-55,-66,-61,-76,0,0,0,0
door,21,-41,-55,-66,-61,-76,0,0,0,0
door,21,-42,-55,-66,-61,-76,0,0,0,0
door,20,-43,-55,-66,-61,-76,0,0,0,0
door,18,-44,-55,-66,-61,-76,0,0,0,0
door,17,-45,-55,-66,-61,-76,0,0,0,0
door,16,-45,-55,-66,-61,-76,0,0,0,0
door,17,-45,-55,-66,-61,-76,0,0,0,0
door,18,-44,-55,-66,-61,-76,0,0,0,0
door,18,-43,-55,-66,-61,-76,0,0,0,0
door,20,-43,-55,-66,-61,-76,0,0,0,0
door,21,-42,-55,-66,-61,-76,0,0,0,0
door,22,-41,-55,-66,-61,-76,0,0,0,0
door,21,-41,-55,-66,-61,-76,0,0,0,0
door,22,-41,-55,-66,-61,-76,0,0,0,0
door,21,-41,-55,-66,-61,-76,0,0,0,0
door,20,-42,-55,-66,-61,-76,0,0,0,0
door,21,-42,-55,-66,-61,-76,0,0,0,0
