Dataset thesis/cds/room,,,,,,,,,,,,
OnlyRSS7AccessPoints,,,,,,,,,,,,
126 training instances, 78 testing instances,,,,,,,,,,,
Classifier Name, Accuracy, Test Time, Train Time,,,,,,,,,
KStar,83.33,1095,2,,,,,,,,,
SMO,82.05,63,1758,,,,,,,,,
IBk,82.05,262,7,,,,,,,,,
NaiveBayes,82.05,150,49,,,,,,,,,
RandomForest,79.49,46,483,,,,,,,,,
Logistic,73.08,21,1758,,,,,,,,,
J48,64.1,59,296,,,,,,,,,
MultilayerPerceptron,43.59,11,883,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
RSSAndGravityRawAndMagneticRaw,,,,,,,,,,,,
126 training instances, 78 testing instances,,,,,,,,,,,
Classifier Name, Accuracy, Test Time, Train Time,,,,,,,,,
SMO,82.05,79,1438,,,,,,,,,
IBk,82.05,346,11,,,,,,,,,
NaiveBayes,82.05,207,57,,,,,,,,,
RandomForest,78.21,34,223,,,,,,,,,
Logistic,73.08,26,1604,,,,,,,,,
J48,64.1,19,351,,,,,,,,,
MultilayerPerceptron,39.74,8,656,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
RSSAndMagneticProcessed,,,,,,,,,,,,
12022 training instances, 7152 testing instances,,,,,,,,,,,
Classifier Name, Accuracy, Test Time, Train Time,,,,,,,,,
SMO,87.51,3,64,,,,,,,,,
IBk,85.57,995,0,,,,,,,,,
NaiveBayes,82.82,19,1,,,,,,,,,
Logistic,78.64,7,1093,,,,,,,,,
RandomForest,78.22,1,14,,,,Legend:,1,2,3,4,5
J48,71.27,0,9,,,,,7 First RSS Values,RSSAndGravityRawAndMagneticRaw,RSSAndMagneticProcessed,RSSAndGravityMagnitudeGeomagneticMagnitude,RSSAndMagneticProcessedAndGravityMagnitudeGeomagneticMagnitude
MultilayerPerceptron,68.3,1,110,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
RSSAndGravityMagnitudeGeomagneticMagnitude,,,,,,,Classifier Name,1,2,3,4,5
12022 training instances, 7152 testing instances,,,,,,SMO,82.05,82.05,87.51,88.06,86.98
Classifier Name, Accuracy, Test Time, Train Time,,,,IBk,82.05,82.05,85.57,85.21,83.71
SMO,88.06,14,129,,,,NaiveBayes,82.05,82.05,82.82,80.94,79.99
IBk,85.21,1259,0,,,,RandomForest,79.49,78.21,78.22,80.89,72.25
NaiveBayes,80.94,36,5,,,,Logistic,73.08,73.08,78.64,68.62,73.21
RandomForest,80.89,5,39,,,,J48,64.1,64.1,71.27,71.27,71.27
J48,71.27,2,28,,,,MultilayerPerceptron,43.59,39.74,68.3,68.4,79.81
Logistic,68.62,28,1575,,,,,,,,,
MultilayerPerceptron,68.4,1,126,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
RSSAndMagneticProcessedAndGravityMagnitudeGeomagneticMagnitude,,,,,,,,,,,,
12022 training instances, 7152 testing instances,,,,,,,,,,,
Classifier Name, Accuracy, Test Time, Train Time,,,,,,,,,
SMO,86.98,5,92,,,,,,,,,
IBk,83.71,1064,0,,,,,,,,,
NaiveBayes,79.99,41,7,,,,,,,,,
MultilayerPerceptron,79.81,2,137,,,,,,,,,
Logistic,73.21,12,1561,,,,,,,,,
RandomForest,72.25,7,33,,,,,,,,,
J48,71.27,1,42,,,,,,,,,
