Dataset thesis/bern/room

RSSAndMagneticProcessedAndGravityMagnitudeGeomagneticMagnitude
12022 training instances, 7152 testing instances
Classifier Name, Accuracy, Test Time, Train Time
SMO, 86.98, 1.0, 91.0
IBk, 83.71, 2018.0, 0.0
NaiveBayes, 79.99, 22.0, 1.0
MultilayerPerceptron, 79.81, 1.0, 121.0
Logistic, 73.21, 13.0, 1711.0
RandomForest, 72.25, 1.0, 16.0
J48, 71.27, 1.0, 9.0


RSSAndMagneticProcessedAndGravityMagnitudeGeomagneticMagnitudeAndLatitudeLongitude
12040 training instances, 7165 testing instances
Classifier Name, Accuracy, Test Time, Train Time
SMO, 84.16, 25.0, 88.0
IBk, 81.1, 3144.0, 0.0
Logistic, 55.77, 35.0, 1361.0
MultilayerPerceptron, 44.93, 3.0, 480.0
NaiveBayes, 44.12, 39.0, 2.0
RandomForest, 41.55, 3.0, 88.0
J48, 35.65, 4.0, 27.0


RSSAndMagneticProcessedAndGravityMagnitudeGeomagneticMagnitudeAndLight
14569 training instances, 8624 testing instances
Classifier Name, Accuracy, Test Time, Train Time
NaiveBayes, 90.13, 25.0, 1.0
SMO, 88.02, 1.0, 70.0
IBk, 84.74, 1339.0, 0.0
RandomForest, 82.33, 1.0, 17.0
J48, 76.57, 0.0, 10.0
MultilayerPerceptron, 73.16, 1.0, 117.0
Logistic, 71.81, 5.0, 820.0





Confusion Matrix Naive Bayes Light
    a    b    c    d    e    f    g    h    i   <-- classified as
 2145    0    0    0   19    0    0    0    0 |    a = 1
    0  640    0    0    0    0    0   25    0 |    b = 2
    0  104  786    0    0    0    0    0    0 |    c = 3
    0  112    0  137    0    0    0   42    0 |    d = 4
   77    0   45    0  507    0    0   56    0 |    e = 5
    0    0  101    0    0 1217    0    0    0 |    f = 6
    0   73    3    0    0    0  984    0   11 |    g = 7
    0    3    0  116    0    0    0  528    0 |    h = 8
    0    0    0    0    0    0    0   64  829 |    i = 9

